Dates,CCI Values
2021-10-08,92.6845
2021-10-07,111.7136
2021-10-06,-2.3643
2021-10-05,49.7065
2021-10-04,65.9367
2021-10-01,70.4138
2021-09-30,47.0538
2021-09-29,119.4205
2021-09-28,55.9559
2021-09-27,165.3126
2021-09-24,162.7874
2021-09-23,236.5026
2021-09-22,105.2642
2021-09-21,-162.2179
2021-09-20,-244.8407
2021-09-17,-18.4877
2021-09-16,-9.0924
2021-09-15,-51.9243
2021-09-14,-63.6377
2021-09-13,-64.7773
2021-09-10,-107.5440
2021-09-09,-106.7582
2021-09-08,-195.8715
2021-09-07,-257.7898
2021-09-03,-52.4124
2021-09-02,80.1541
2021-09-01,26.0461
2021-08-31,24.8876
2021-08-30,9.0149
2021-08-27,9.5806
2021-08-26,-42.2712
2021-08-25,-26.4572
2021-08-24,-30.2803
2021-08-23,-61.8920
2021-08-20,-121.8992
2021-08-19,-162.7775
2021-08-18,-154.0988
2021-08-17,-157.2766
2021-08-16,-54.1919
2021-08-13,71.0097
2021-08-12,136.1082
2021-08-11,164.7749
2021-08-10,121.9385
2021-08-09,49.0361
2021-08-06,83.3934
2021-08-05,45.7627
2021-08-04,33.2595
2021-08-03,12.1054
2021-08-02,34.7374
2021-07-30,61.7747
2021-07-29,137.6363
2021-07-28,188.0968
2021-07-27,43.5239
2021-07-26,44.2518
2021-07-23,-0.8727
2021-07-22,-31.8711
2021-07-21,-29.0377
2021-07-20,-102.3487
2021-07-19,-185.2303
2021-07-16,-149.7579
2021-07-15,-160.4506
2021-07-14,-169.9049
2021-07-13,-158.2929
2021-07-12,29.7786
2021-07-09,1.7682
2021-07-08,-97.9765
2021-07-07,-115.7688
2021-07-06,-107.3417
2021-07-02,-114.8616
2021-07-01,-50.4975
2021-06-30,-74.0094
2021-06-29,-99.6649
2021-06-28,-56.1120
2021-06-25,125.9827
2021-06-24,105.1452
2021-06-23,6.0330
2021-06-22,-31.3772
2021-06-21,-52.0459
2021-06-18,-156.0557
2021-06-17,-170.4720
2021-06-16,-160.0952
2021-06-15,-111.3945
2021-06-14,-148.7405
2021-06-11,-99.8530
2021-06-10,-30.8729
2021-06-09,-17.9199
2021-06-08,58.9301
2021-06-07,46.5023
2021-06-04,40.4001
2021-06-03,64.9103
2021-06-02,115.5213
2021-06-01,123.4179
2021-05-28,100.9079
2021-05-27,157.0251
2021-05-26,117.8814
2021-05-25,166.9664
2021-05-24,177.6889
2021-05-21,140.7615
2021-05-20,-22.6356
2021-05-19,-101.3539
2021-05-18,5.7542
2021-05-17,-48.3466
2021-05-14,-48.5341
2021-05-13,-123.4578
2021-05-12,-162.8163
2021-05-11,-135.7162
2021-05-10,32.7327
2021-05-07,-37.2595
2021-05-06,-129.6024
2021-05-05,-159.7453
