Dates,OBV Values
2011-10-07,146100100.0000
2011-10-06,140519300.0000
2011-10-05,134953400.0000
2011-10-04,129127800.0000
2011-10-03,121327800.0000
2011-09-30,129618200.0000
2011-09-29,135082500.0000
2011-09-28,128988300.0000
2011-09-27,133683800.0000
2011-09-26,127273500.0000
2011-09-23,120241700.0000
2011-09-22,114002300.0000
2011-09-21,126058000.0000
2011-09-20,130575200.0000
2011-09-19,134006800.0000
2011-09-16,138843600.0000
2011-09-15,131916900.0000
2011-09-14,126653200.0000
2011-09-13,120870600.0000
2011-09-12,115587000.0000
2011-09-09,110066400.0000
2011-09-08,115482100.0000
2011-09-07,122348600.0000
2011-09-06,116818300.0000
2011-09-02,123297100.0000
2011-09-01,128032200.0000
2011-08-31,134201700.0000
2011-08-30,127394300.0000
2011-08-29,120410100.0000
2011-08-26,116106200.0000
2011-08-25,109907000.0000
2011-08-24,116347000.0000
2011-08-23,111495000.0000
2011-08-22,104967300.0000
2011-08-19,98104500.0000
2011-08-18,107334400.0000
2011-08-17,115443200.0000
2011-08-16,121706600.0000
2011-08-15,128548000.0000
2011-08-12,121614600.0000
2011-08-11,111531800.0000
2011-08-10,95992700.0000
2011-08-09,109542300.0000
2011-08-08,95419500.0000
2011-08-05,108980500.0000
2011-08-04,120623600.0000
2011-08-03,131330700.0000
2011-08-02,138080500.0000
2011-08-01,145132900.0000
2011-07-29,150687500.0000
2011-07-28,156649500.0000
2011-07-27,151201100.0000
2011-07-26,141394200.0000
2011-07-25,148456100.0000
2011-07-22,152446900.0000
2011-07-21,155368200.0000
2011-07-20,151066700.0000
2011-07-19,143040700.0000
2011-07-18,135606500.0000
2011-07-15,142901400.0000
2011-07-14,138842900.0000
2011-07-13,144534100.0000
2011-07-12,139826400.0000
2011-07-11,145599400.0000
2011-07-08,149978400.0000
2011-07-07,154029600.0000
2011-07-06,149052700.0000
2011-07-05,145294900.0000
2011-07-01,148425200.0000
2011-06-30,144777400.0000
2011-06-29,140532100.0000
2011-06-28,136618300.0000
2011-06-27,132780400.0000
2011-06-24,128752200.0000
2011-06-23,122663700.0000
2011-06-22,130702100.0000
2011-06-21,137934300.0000
2011-06-20,143428200.0000
2011-06-17,139618600.0000
2011-06-16,134082500.0000
2011-06-15,129636000.0000
2011-06-14,136167900.0000
2011-06-13,131392200.0000
2011-06-10,127304900.0000
2011-06-09,132444500.0000
2011-06-08,129483700.0000
2011-06-07,133255800.0000
2011-06-06,136643300.0000
2011-06-03,139953500.0000
2011-06-02,144192800.0000
2011-06-01,140586600.0000
2011-05-31,145845700.0000
2011-05-27,141139300.0000
2011-05-26,137936600.0000
2011-05-25,133559600.0000
2011-05-24,129425600.0000
2011-05-23,133209300.0000
2011-05-20,136796600.0000
2011-05-19,140797000.0000
2011-05-18,137456100.0000
2011-05-17,133821900.0000
2011-05-16,139013000.0000
2011-05-13,142813400.0000
2011-05-12,146621900.0000
2011-05-11,142921900.0000
2011-05-10,146775600.0000
2011-05-09,142923200.0000
2011-05-06,139785600.0000
2011-05-05,135219800.0000
2011-05-04,139938700.0000
2011-05-03,145673900.0000
2011-05-02,150401900.0000
2011-04-29,156035200.0000
2011-04-28,147984800.0000
2011-04-27,140625100.0000
2011-04-26,133162700.0000
2011-04-25,128061800.0000
2011-04-21,130586000.0000
2011-04-20,127428900.0000
2011-04-19,121072600.0000
2011-04-18,116720600.0000
2011-04-15,110495100.0000
2011-04-14,106318500.0000
2011-04-13,102226900.0000
2011-04-12,107305300.0000
2011-04-11,110746400.0000
2011-04-08,108051800.0000
2011-04-07,111151300.0000
2011-04-06,106777900.0000
2011-04-05,101974300.0000
2011-04-04,107191900.0000
2011-04-01,110889000.0000
2011-03-31,107021400.0000
2011-03-30,102822200.0000
2011-03-29,98946800.0000
2011-03-28,94164300.0000
2011-03-25,98021600.0000
2011-03-24,93324700.0000
2011-03-23,88964500.0000
2011-03-22,83632100.0000
2011-03-21,78907100.0000
2011-03-18,73609200.0000
2011-03-17,68548000.0000
2011-03-16,64139200.0000
2011-03-15,73763000.0000
2011-03-14,80010600.0000
2011-03-11,84388600.0000
2011-03-10,80532800.0000
2011-03-09,86038500.0000
2011-03-08,80658900.0000
2011-03-07,75002600.0000
2011-03-04,80134600.0000
2011-03-03,74431700.0000
2011-03-02,68974000.0000
2011-03-01,76043500.0000
2011-02-28,81229700.0000
2011-02-25,85328200.0000
2011-02-24,77201000.0000
2011-02-23,70185400.0000
2011-02-22,75737300.0000
2011-02-18,81297400.0000
2011-02-17,75938800.0000
2011-02-16,78985200.0000
2011-02-15,74528600.0000
2011-02-14,78916100.0000
2011-02-11,74824900.0000
2011-02-10,78901000.0000
2011-02-09,73984000.0000
2011-02-08,69418300.0000
2011-02-07,65334400.0000
2011-02-04,61181200.0000
2011-02-03,57102000.0000
2011-02-02,62194000.0000
2011-02-01,57944900.0000
2011-01-31,53164500.0000
2011-01-28,48604700.0000
2011-01-27,53981100.0000
2011-01-26,48237500.0000
2011-01-25,61348500.0000
2011-01-24,66535200.0000
2011-01-21,61038100.0000
2011-01-20,56596900.0000
2011-01-19,63506300.0000
2011-01-18,72096800.0000
2011-01-14,62466100.0000
2011-01-13,57914600.0000
2011-01-12,61954700.0000
2011-01-11,56018900.0000
2011-01-10,60462500.0000
2011-01-07,64859900.0000
2011-01-06,58062900.0000
2011-01-05,50555700.0000
2011-01-04,44665700.0000
2011-01-03,36685800.0000
2010-12-31,28612900.0000
2010-12-30,26475500.0000
2010-12-29,28818400.0000
2010-12-28,26313700.0000
2010-12-27,23678600.0000
2010-12-23,26227100.0000
2010-12-22,22898200.0000
2010-12-21,17642200.0000
2010-12-20,12549300.0000
2010-12-17,22260300.0000
2010-12-16,13375600.0000
2010-12-15,8206500.0000
2010-12-14,11641300.0000
