Dates,DX Values
2020-03-03,17.0673
2020-03-02,19.9842
2020-02-28,24.6865
2020-02-27,19.5581
2020-02-26,11.6210
2020-02-25,11.6210
2020-02-24,5.8923
2020-02-21,1.1395
2020-02-20,3.9656
2020-02-19,4.2261
2020-02-18,3.4792
2020-02-14,4.5017
2020-02-13,7.0271
2020-02-12,7.6654
2020-02-11,6.7892
2020-02-10,5.7920
2020-02-07,3.3227
2020-02-06,3.3227
2020-02-05,3.5767
2020-02-04,9.2400
2020-02-03,9.2400
2020-01-31,8.2433
2020-01-30,7.9404
2020-01-29,7.2403
2020-01-28,11.5607
2020-01-27,11.3001
2020-01-24,11.3001
2020-01-23,15.8231
2020-01-22,18.9680
2020-01-21,17.7235
2020-01-17,10.0123
2020-01-16,6.8837
2020-01-15,6.6923
2020-01-14,6.6923
2020-01-13,5.8113
2020-01-10,5.8113
2020-01-09,4.5636
2020-01-08,8.7525
2020-01-07,8.2331
2020-01-06,13.5572
2020-01-03,12.4627
2020-01-02,13.3578
2019-12-31,17.3891
2019-12-30,16.3604
2019-12-27,14.8591
2019-12-26,15.0288
2019-12-24,13.5964
2019-12-23,12.9116
2019-12-20,15.8090
2019-12-19,14.5509
2019-12-18,14.5509
2019-12-17,16.9732
2019-12-16,14.5773
2019-12-13,8.0205
2019-12-12,8.0205
2019-12-11,8.5880
2019-12-10,4.3501
2019-12-09,3.3095
2019-12-06,3.3095
2019-12-05,5.3765
2019-12-04,3.8464
2019-12-03,3.8464
2019-12-02,0.2247
2019-11-29,5.4571
2019-11-27,5.7893
2019-11-26,8.2467
2019-11-25,8.0309
2019-11-22,7.6914
2019-11-21,6.4341
2019-11-20,6.4341
2019-11-19,6.4341
2019-11-18,9.6066
2019-11-15,8.7067
2019-11-14,6.5591
2019-11-13,5.7509
2019-11-12,5.7509
2019-11-11,5.7509
2019-11-08,0.1802
2019-11-07,2.2710
2019-11-06,1.3495
2019-11-05,1.3767
2019-11-04,3.2189
2019-11-01,6.2073
2019-10-31,6.2073
2019-10-30,4.5884
2019-10-29,4.7182
2019-10-28,6.9202
2019-10-25,7.6738
2019-10-24,7.6738
2019-10-23,7.6738
2019-10-22,11.9741
2019-10-21,15.4854
2019-10-18,7.8163
2019-10-17,4.0096
2019-10-16,4.1036
2019-10-15,2.2306
2019-10-14,3.3228
2019-10-11,2.4870
2019-10-10,1.3473
2019-10-09,2.9041
2019-10-08,2.6638
2019-10-07,4.8254
2019-10-04,3.9193
2019-10-03,2.1661
2019-10-02,2.4211
2019-10-01,7.7179
2019-09-30,8.7635
2019-09-27,11.1325
2019-09-26,12.1798
2019-09-25,12.1798
2019-09-24,8.4406
2019-09-23,7.6847
2019-09-20,9.4179
2019-09-19,11.9317
2019-09-18,11.2177
2019-09-17,10.6460
2019-09-16,9.1772
2019-09-13,10.1676
2019-09-12,10.1676
2019-09-11,9.9763
2019-09-10,4.3854
2019-09-09,0.6925
2019-09-06,2.6858
2019-09-05,2.5998
2019-09-04,0.3038
2019-09-03,1.5079
2019-08-30,3.8040
2019-08-29,3.6615
2019-08-28,1.1175
2019-08-27,2.2209
2019-08-26,3.7071
2019-08-23,3.7071
2019-08-22,2.0679
2019-08-21,8.7542
2019-08-20,13.5289
2019-08-19,12.4838
