Dates,STOCH Values
2021-04-05,33.1134
2021-04-01,27.6037
2021-03-31,34.0362
2021-03-30,37.6904
2021-03-29,41.5536
2021-03-26,36.8144
2021-03-25,42.8727
2021-03-24,50.1559
2021-03-23,42.7276
2021-03-22,41.6479
2021-03-19,32.1722
2021-03-18,36.3791
2021-03-17,22.3181
2021-03-16,18.4897
2021-03-15,12.3897
2021-03-12,12.0855
2021-03-11,7.6760
2021-03-10,6.5939
2021-03-09,9.1864
2021-03-08,4.3486
2021-03-05,16.8661
2021-03-04,16.6166
2021-03-03,35.9786
2021-03-02,29.6330
2021-03-01,53.1463
2021-02-26,61.6862
2021-02-25,62.4288
2021-02-24,68.1197
2021-02-23,51.1021
2021-02-22,57.4804
2021-02-19,33.7800
2021-02-18,27.7061
2021-02-17,20.3033
2021-02-16,16.1535
2021-02-12,15.7941
2021-02-11,17.0502
2021-02-10,14.8545
2021-02-09,14.1784
2021-02-08,11.8219
2021-02-05,13.3347
2021-02-04,12.0834
2021-02-03,7.9524
2021-02-02,17.2921
2021-02-01,14.9632
2021-01-29,33.6718
2021-01-28,28.9608
2021-01-27,51.1893
2021-01-26,57.0915
2021-01-25,64.9817
2021-01-22,67.5154
2021-01-21,70.1302
2021-01-20,70.3381
2021-01-19,70.3638
2021-01-15,72.5371
2021-01-14,62.7960
2021-01-13,68.2162
2021-01-12,44.8354
2021-01-11,47.6347
2021-01-08,26.2822
2021-01-07,18.6553
2021-01-06,14.7660
2021-01-05,12.5566
2021-01-04,12.2058
2020-12-31,13.0860
2020-12-30,13.6949
2020-12-29,10.9747
2020-12-28,19.2064
2020-12-24,17.0240
2020-12-23,31.2839
2020-12-22,29.6204
2020-12-21,45.8352
2020-12-18,47.2072
2020-12-17,59.5756
2020-12-16,60.6780
2020-12-15,66.3805
2020-12-14,70.8414
2020-12-11,67.3213
2020-12-10,67.6222
2020-12-09,63.4990
2020-12-08,63.5002
2020-12-07,60.5893
2020-12-04,59.3746
2020-12-03,60.5659
2020-12-02,58.8932
2020-12-01,61.0108
2020-11-30,63.4299
2020-11-27,67.7089
2020-11-25,60.7092
2020-11-24,74.8994
2020-11-23,78.9877
2020-11-20,87.2733
2020-11-19,85.0014
2020-11-18,89.3547
2020-11-17,97.8307
2020-11-16,83.4573
2020-11-13,85.2319
2020-11-12,68.1323
2020-11-11,67.3093
2020-11-10,56.1803
2020-11-09,51.8559
2020-11-06,49.0428
2020-11-05,49.3759
2020-11-04,43.6360
2020-11-03,45.8965
2020-11-02,33.3002
2020-10-30,35.6355
2020-10-29,20.9116
2020-10-28,18.3684
2020-10-27,9.8854
2020-10-26,8.7309
2020-10-23,10.5238
2020-10-22,2.5568
2020-10-21,18.0088
2020-10-20,20.2836
2020-10-19,37.5078
2020-10-16,31.1858
2020-10-15,50.9786
2020-10-14,61.0540
2020-10-13,60.4966
2020-10-12,60.6961
2020-10-09,50.2571
2020-10-08,59.7396
2020-10-07,34.7795
2020-10-06,30.3357
2020-10-05,16.0035
2020-10-02,14.2632
2020-10-01,11.0208
2020-09-30,3.4117
2020-09-29,18.7371
2020-09-28,15.3874
2020-09-25,36.5273
2020-09-24,37.4123
2020-09-23,47.0781
2020-09-22,56.7821
2020-09-21,46.7702
2020-09-18,47.0399
2020-09-17,41.7563
2020-09-16,36.4887
2020-09-15,49.1774
2020-09-14,41.7402
2020-09-11,65.8500
2020-09-10,69.3033
2020-09-09,81.2829
2020-09-08,86.5065
2020-09-04,86.9271
2020-09-03,88.0390
2020-09-02,86.7327
2020-09-01,86.2359
2020-08-31,87.3833
2020-08-28,85.9231
2020-08-27,89.9334
2020-08-26,89.9910
2020-08-25,90.8189
2020-08-24,93.8860
2020-08-21,83.2098
2020-08-20,88.5798
2020-08-19,63.9249
2020-08-18,67.1636
2020-08-17,39.1246
2020-08-14,36.0313
2020-08-13,22.0096
2020-08-12,14.1789
2020-08-11,18.2771
2020-08-10,15.8188
2020-08-07,21.3444
2020-08-06,24.8338
2020-08-05,20.4785
2020-08-04,23.3807
2020-08-03,13.7604
2020-07-31,13.2211
2020-07-30,15.8172
2020-07-29,4.6795
2020-07-28,31.3223
2020-07-27,29.5511
2020-07-24,58.4561
2020-07-23,59.7361
2020-07-22,76.7503
2020-07-21,86.0809
2020-07-20,82.7657
2020-07-17,84.4339
2020-07-16,72.6224
2020-07-15,77.7823
2020-07-14,63.5681
2020-07-13,55.6511
2020-07-10,55.0089
2020-07-09,57.2708
2020-07-08,59.4402
2020-07-07,52.1049
2020-07-06,65.0682
2020-07-02,68.9449
2020-07-01,74.0391
2020-06-30,74.1548
2020-06-29,72.2381
2020-06-26,79.0176
2020-06-25,62.3747
2020-06-24,63.5418
2020-06-23,48.3996
2020-06-22,44.5646
2020-06-19,46.5361
2020-06-18,37.0923
2020-06-17,56.9360
2020-06-16,57.9514
2020-06-15,74.6498
2020-06-12,75.7644
2020-06-11,86.2814
2020-06-10,90.2335
2020-06-09,92.9404
2020-06-08,92.8462
2020-06-05,86.5218
2020-06-04,95.7415
2020-06-03,72.4359
2020-06-02,70.9777
2020-06-01,46.6843
2020-05-29,50.5885
2020-05-28,29.8791
2020-05-27,18.4866
2020-05-26,16.5385
2020-05-22,20.5622
2020-05-21,14.8190
2020-05-20,10.5667
2020-05-19,14.1983
2020-05-18,13.3280
2020-05-15,24.5214
2020-05-14,18.7002
2020-05-13,42.9308
2020-05-12,41.5361
2020-05-11,64.5055
2020-05-08,68.5562
2020-05-07,81.4384
2020-05-06,83.4242
2020-05-05,86.3173
2020-05-04,92.3348
2020-05-01,86.2684
2020-04-30,83.1930
2020-04-29,72.5548
2020-04-28,83.2773
2020-04-27,57.0512
2020-04-24,51.1941
2020-04-23,34.0837
2020-04-22,36.6820
2020-04-21,23.5675
2020-04-20,14.3750
2020-04-17,17.2492
2020-04-16,19.6454
