Dates,BBANDS Values
2021-10-26,176.0398
2021-10-25,190.8376
2021-10-22,182.9300
2021-10-21,175.0224
2021-10-20,190.7063
2021-10-19,182.8720
2021-10-18,175.0377
2021-10-15,190.4289
2021-10-14,182.6890
2021-10-13,174.9491
2021-10-12,190.6158
2021-10-11,181.8950
2021-10-08,173.1742
2021-10-07,188.7054
2021-10-06,180.9580
2021-10-05,173.2106
2021-10-04,186.9826
2021-10-01,179.7770
2021-09-30,172.5714
2021-09-29,185.5426
2021-09-28,178.3330
2021-09-27,171.1234
2021-09-24,185.3802
2021-09-23,178.2150
2021-09-22,171.0498
2021-09-21,185.1984
2021-09-20,177.7920
2021-09-17,170.3856
2021-09-16,185.4386
2021-09-15,177.3920
2021-09-14,169.3454
2021-09-13,185.2715
2021-09-10,176.8430
2021-09-09,168.4145
2021-09-08,182.2205
2021-09-07,175.7220
2021-09-03,169.2235
2021-09-02,179.3155
2021-09-01,174.7130
2021-08-31,170.1105
2021-08-30,179.0925
2021-08-27,174.4040
2021-08-26,169.7155
2021-08-25,177.7696
2021-08-24,174.0510
2021-08-23,170.3324
2021-08-20,177.5015
2021-08-19,173.8740
2021-08-18,170.2465
2021-08-17,178.3689
2021-08-16,174.4400
2021-08-13,170.5111
2021-08-12,177.9965
2021-08-11,174.3620
2021-08-10,170.7275
2021-08-09,178.6768
2021-08-06,173.7510
2021-08-05,168.8252
2021-08-04,178.9523
2021-08-03,173.4630
2021-08-02,167.9737
2021-07-30,180.1903
2021-07-29,172.6600
2021-07-28,165.1297
2021-07-27,181.8740
2021-07-26,171.2720
2021-07-23,160.6700
2021-07-22,183.2914
2021-07-21,169.6690
2021-07-20,156.0466
2021-07-19,185.9703
2021-07-16,167.1410
2021-07-15,148.3117
2021-07-14,186.5833
2021-07-13,163.9440
2021-07-12,141.3047
2021-07-09,185.7569
2021-07-08,160.8400
2021-07-07,135.9231
2021-07-06,181.5638
2021-07-02,157.4750
2021-07-01,133.3862
2021-06-30,175.7589
2021-06-29,153.6930
2021-06-28,131.6271
2021-06-25,172.6909
2021-06-24,150.1980
2021-06-23,127.7051
2021-06-22,166.3122
2021-06-21,147.9010
2021-06-18,129.4898
2021-06-17,160.3134
2021-06-16,145.6150
2021-06-15,130.9166
2021-06-14,154.9960
2021-06-11,143.7460
2021-06-10,132.4960
2021-06-09,149.4019
2021-06-08,141.9840
2021-06-07,134.5661
2021-06-04,147.8021
2021-06-03,141.0820
2021-06-02,134.3619
2021-06-01,147.3475
2021-05-28,140.4780
2021-05-27,133.6085
2021-05-26,147.0187
2021-05-25,139.8360
2021-05-24,132.6533
2021-05-21,146.4148
2021-05-20,138.7670
2021-05-19,131.1192
2021-05-18,146.5247
2021-05-17,138.0310
2021-05-14,129.5373
2021-05-13,147.0570
2021-05-12,137.6940
2021-05-11,128.3310
2021-05-10,144.0273
2021-05-07,136.1860
2021-05-06,128.3447
2021-05-05,142.3095
2021-05-04,135.1710
2021-05-03,128.0325
2021-04-30,140.5064
2021-04-29,134.0180
2021-04-28,127.5296
2021-04-27,138.8970
2021-04-26,133.3250
2021-04-23,127.7530
2021-04-22,137.1465
2021-04-21,132.6970
2021-04-20,128.2475
2021-04-19,135.6084
2021-04-16,132.3140
2021-04-15,129.0196
2021-04-14,135.4103
2021-04-13,131.3100
2021-04-12,127.2097
2021-04-09,137.2788
2021-04-08,130.1030
2021-04-07,122.9272
2021-04-06,136.9123
2021-04-05,129.3960
2021-04-01,121.8797
2021-03-31,137.5880
2021-03-30,129.6980
2021-03-29,121.8080
2021-03-26,137.1727
2021-03-25,129.2920
2021-03-24,121.4113
2021-03-23,136.5870
2021-03-22,128.8360
2021-03-19,121.0850
2021-03-18,136.8556
2021-03-17,128.9830
2021-03-16,121.1104
2021-03-15,139.3288
2021-03-12,129.6340
2021-03-11,119.9392
2021-03-10,143.4457
2021-03-09,130.7520
2021-03-08,118.0583
2021-03-05,147.6212
2021-03-04,131.9950
2021-03-03,116.3688
2021-03-02,150.6788
2021-03-01,133.8780
2021-02-26,117.0772
2021-02-25,151.6446
2021-02-24,136.1990
2021-02-23,120.7534
2021-02-22,154.1739
2021-02-19,138.6440
2021-02-18,123.1141
2021-02-17,156.5176
2021-02-16,140.2260
2021-02-12,123.9344
2021-02-11,156.5283
2021-02-10,142.2060
2021-02-09,127.8837
2021-02-08,158.9978
2021-02-05,145.3440
2021-02-04,131.6902
2021-02-03,159.7514
2021-02-02,147.9700
2021-02-01,136.1886
2021-01-29,161.2144
2021-01-28,149.8780
2021-01-27,138.5416
2021-01-26,162.0751
2021-01-25,151.1440
2021-01-22,140.2129
2021-01-21,162.1627
2021-01-20,151.7890
2021-01-19,141.4153
2021-01-15,161.7886
2021-01-14,152.4830
2021-01-13,143.1774
2021-01-12,160.9556
2021-01-11,153.4200
2021-01-08,145.8844
2021-01-07,162.5763
2021-01-06,154.4670
2021-01-05,146.3577
2021-01-04,164.2584
2020-12-31,155.7620
2020-12-30,147.2656
2020-12-29,165.8074
2020-12-28,157.5730
2020-12-24,149.3386
2020-12-23,167.3892
2020-12-22,158.1540
2020-12-21,148.9188
2020-12-18,170.7379
2020-12-17,159.3400
2020-12-16,147.9421
2020-12-15,171.5339
2020-12-14,159.9210
2020-12-11,148.3081
2020-12-10,171.6415
2020-12-09,160.3330
2020-12-08,149.0245
2020-12-07,171.0737
2020-12-04,160.9920
2020-12-03,150.9103
2020-12-02,170.1362
2020-12-01,162.1020
2020-11-30,154.0678
2020-11-27,170.2658
2020-11-25,163.6050
2020-11-24,156.9442
2020-11-23,170.8652
2020-11-20,164.3000
2020-11-19,157.7348
2020-11-18,173.1400
2020-11-17,165.2870
2020-11-16,157.4340
2020-11-13,174.2411
2020-11-12,165.7920
2020-11-11,157.3429
2020-11-10,175.0905
2020-11-09,166.3380
2020-11-06,157.5855
2020-11-05,174.7767
2020-11-04,166.1880
2020-11-03,157.5993
2020-11-02,175.2810
2020-10-30,166.7300
2020-10-29,158.1790
2020-10-28,174.6832
2020-10-27,167.2080
2020-10-26,159.7328
2020-10-23,173.1509
2020-10-22,167.8990
2020-10-21,162.6471
2020-10-20,172.6669
2020-10-19,168.1110
2020-10-16,163.5551
2020-10-15,172.5254
2020-10-14,167.8920
2020-10-13,163.2586
2020-10-12,172.5148
2020-10-09,167.8360
2020-10-08,163.1572
2020-10-07,171.4161
2020-10-06,166.9560
2020-10-05,162.4959
2020-10-02,170.8979
2020-10-01,166.8160
2020-09-30,162.7341
2020-09-29,171.2803
2020-09-28,165.7480
2020-09-25,160.2157
2020-09-24,171.4591
2020-09-23,164.8690
2020-09-22,158.2789
2020-09-21,171.3656
2020-09-18,163.5760
2020-09-17,155.7864
2020-09-16,171.6431
2020-09-15,162.6830
2020-09-14,153.7229
2020-09-11,171.1044
2020-09-10,161.7580
2020-09-09,152.4116
2020-09-08,170.3615
2020-09-04,161.0700
2020-09-03,151.7785
2020-09-02,169.1370
2020-09-01,160.5610
2020-08-31,151.9850
2020-08-28,167.3468
2020-08-27,159.7350
2020-08-26,152.1232
2020-08-25,166.5077
2020-08-24,159.0200
2020-08-21,151.5323
2020-08-20,163.8498
