Dates,HT_SINE Values
2020-12-30,-0.8462
2020-12-29,-0.8690
2020-12-28,-0.9644
2020-12-24,-0.7195
2020-12-23,-0.9998
2020-12-22,-0.5629
2020-12-21,-0.9825
2020-12-18,-0.3864
2020-12-17,-0.9254
2020-12-16,0.1261
2020-12-15,-0.6123
2020-12-14,0.4697
2020-12-11,-0.2921
2020-12-10,0.8799
2020-12-09,0.2861
2020-12-08,0.9798
2020-12-07,0.5515
2020-12-04,0.9762
2020-12-03,0.8436
2020-12-02,0.9103
2020-12-01,0.9364
2020-11-30,0.7898
2020-11-27,0.9922
2020-11-25,0.6434
2020-11-24,0.9963
2020-11-23,0.5191
2020-11-20,0.9714
2020-11-19,0.3477
2020-11-18,0.9089
2020-11-17,0.2106
2020-11-16,0.8402
2020-11-13,-0.0031
2020-11-12,0.7049
2020-11-11,-0.1540
2020-11-10,0.5898
2020-11-09,-0.2250
2020-11-06,0.5299
2020-11-05,-0.2073
2020-11-04,0.5451
2020-11-03,-0.1838
2020-11-02,0.5651
2020-10-30,-0.2176
2020-10-29,0.5363
2020-10-28,-0.2427
2020-10-27,0.5144
2020-10-26,-0.2473
2020-10-23,0.5103
2020-10-22,-0.3096
2020-10-21,0.4535
2020-10-20,-0.3990
2020-10-19,0.3663
2020-10-16,-0.5378
2020-10-15,0.2159
2020-10-14,-0.6086
2020-10-13,0.1308
2020-10-12,-0.8047
2020-10-09,-0.1492
2020-10-08,-0.9522
2020-10-07,-0.4572
2020-10-06,-0.9998
2020-10-05,-0.7205
2020-10-02,-0.9479
2020-10-01,-0.8955
2020-09-30,-0.8074
2020-09-29,-0.9881
2020-09-28,-0.5788
2020-09-25,-0.9859
2020-09-24,-0.2935
2020-09-23,-0.8835
2020-09-22,0.1810
2020-09-21,-0.5674
2020-09-18,0.5035
2020-09-17,-0.2549
2020-09-16,0.8961
2020-09-15,0.3198
2020-09-14,0.9902
2020-09-11,0.6016
2020-09-10,0.9514
2020-09-09,0.8905
2020-09-08,0.7303
2020-09-04,0.9994
2020-09-03,0.4988
2020-09-02,0.9656
2020-09-01,0.1152
2020-08-31,0.7838
2020-08-28,-0.3167
2020-08-27,0.4468
2020-08-26,-0.6834
2020-08-25,0.0329
2020-08-24,-0.9001
2020-08-21,-0.3284
2020-08-20,-0.9938
2020-08-19,-0.6242
2020-08-18,-0.9831
2020-08-17,-0.8247
2020-08-14,-0.9502
2020-08-13,-0.8922
2020-08-12,-0.8910
2020-08-11,-0.9511
2020-08-10,-0.8204
2020-08-07,-0.9844
2020-08-06,-0.7163
2020-08-05,-0.9999
2020-08-04,-0.5298
2020-08-03,-0.9743
2020-07-31,-0.3908
2020-07-30,-0.9272
2020-07-29,-0.2520
2020-07-28,-0.8625
2020-07-27,-0.0996
2020-07-24,-0.7740
2020-07-23,-0.0068
2020-07-22,-0.7119
2020-07-21,0.0391
2020-07-20,-0.6789
2020-07-17,0.0175
2020-07-16,-0.6946
2020-07-15,-0.0802
2020-07-14,-0.7616
2020-07-13,-0.2063
2020-07-10,-0.8378
2020-07-09,-0.3136
2020-07-08,-0.8932
2020-07-07,-0.3017
2020-07-06,-0.8875
2020-07-02,-0.3111
2020-07-01,-0.8920
2020-06-30,-0.1903
2020-06-29,-0.8287
2020-06-26,-0.0289
2020-06-25,-0.7272
2020-06-24,0.2236
2020-06-23,-0.5311
2020-06-22,0.5724
2020-06-19,-0.1751
2020-06-18,0.9598
2020-06-17,0.4802
2020-06-16,0.9959
2020-06-15,0.7681
2020-06-12,0.7596
2020-06-11,0.9970
2020-06-10,0.3643
2020-06-09,0.9161
2020-06-08,-0.3349
2020-06-05,0.4295
2020-06-04,-0.6518
2020-06-03,0.0753
2020-06-02,-0.7827
2020-06-01,-0.1134
2020-05-29,-0.2167
2020-05-28,0.5370
2020-05-27,0.8384
2020-05-26,0.9783
2020-05-22,0.8144
2020-05-21,0.9862
2020-05-20,0.7698
2020-05-19,0.9957
2020-05-18,0.5933
2020-05-15,0.9887
2020-05-14,0.4868
2020-05-13,0.9619
2020-05-12,0.2830
2020-05-11,0.8783
2020-05-08,0.1137
2020-05-07,0.7829
2020-05-06,-0.2140
2020-05-05,0.5394
2020-05-04,-0.6132
2020-05-01,0.1250
2020-04-30,-0.8302
2020-04-29,-0.1928
2020-04-28,-0.9518
2020-04-27,-0.4561
2020-04-24,-0.9990
2020-04-23,-0.6747
2020-04-22,-0.9834
2020-04-21,-0.8238
2020-04-20,-0.9299
2020-04-17,-0.9176
2020-04-16,-0.8204
2020-04-15,-0.9844
2020-04-14,-0.6604
2020-04-13,-0.9979
2020-04-09,-0.4569
2020-04-08,-0.9521
2020-04-07,-0.1300
2020-04-06,-0.7931
2020-04-03,0.1781
2020-04-02,-0.5698
2020-04-01,0.5605
2020-03-31,-0.1893
2020-03-30,0.7646
2020-03-27,0.0849
2020-03-26,0.9440
2020-03-25,0.4341
2020-03-24,0.9962
2020-03-23,0.7658
2020-03-20,0.9237
2020-03-19,0.9240
2020-03-18,0.7153
2020-03-17,0.9999
2020-03-16,0.4870
2020-03-13,0.9619
2020-03-12,0.3150
2020-03-11,0.8938
2020-03-10,0.1150
2020-03-09,0.7837
2020-03-06,0.1127
2020-03-05,0.7823
2020-03-04,0.0746
2020-03-03,0.7579
2020-03-02,-0.1349
2020-02-28,0.6053
2020-02-27,-0.2451
2020-02-26,0.5122
2020-02-25,-0.3226
2020-02-24,0.4412
2020-02-21,-0.3989
2020-02-20,0.3663
2020-02-19,-0.4733
2020-02-18,0.2882
2020-02-14,-0.6278
2020-02-13,0.1065
2020-02-12,-0.8494
2020-02-11,-0.2275
2020-02-10,-0.9438
2020-02-07,-0.4337
2020-02-06,-1.0000
2020-02-05,-0.7038
2020-02-04,-0.9770
2020-02-03,-0.8416
2020-01-31,-0.9463
2020-01-30,-0.8977
2020-01-29,-0.9424
2020-01-28,-0.9029
2020-01-27,-0.8974
2020-01-24,-0.9465
2020-01-23,-0.8365
2020-01-22,-0.9790
2020-01-21,-0.7553
2020-01-17,-0.9975
2020-01-16,-0.5950
2020-01-15,-0.9890
2020-01-14,-0.4883
2020-01-13,-0.9624
2020-01-10,-0.3334
2020-01-09,-0.9024
2020-01-08,-0.1995
2020-01-07,-0.8340
2020-01-06,-0.0915
2020-01-03,-0.7689
2020-01-02,0.0270
2019-12-31,-0.6878
2019-12-30,0.1638
2019-12-27,-0.5817
2019-12-26,0.3401
2019-12-24,-0.4245
2019-12-23,0.5351
2019-12-20,-0.2190
2019-12-19,0.7118
2019-12-18,0.0066
2019-12-17,0.6823
2019-12-16,-0.0345
2019-12-13,0.7585
2019-12-12,0.0755
2019-12-11,0.8470
2019-12-10,0.2231
2019-12-09,0.9255
2019-12-06,0.3867
2019-12-05,0.9997
2019-12-04,0.6887
2019-12-03,0.9304
2019-12-02,0.9171
2019-11-29,0.7382
2019-11-27,0.9990
2019-11-26,0.5218
2019-11-25,0.9722
2019-11-22,0.4586
2019-11-21,0.9526
2019-11-20,0.3913
2019-11-19,0.9274
2019-11-18,0.2347
2019-11-15,0.8533
2019-11-14,0.0535
2019-11-13,0.7439
2019-11-12,-0.1892
2019-11-11,0.5605
2019-11-08,-0.6304
2019-11-07,0.1031
2019-11-06,-0.8150
2019-11-05,-0.1665
2019-11-04,-0.9202
2019-11-01,-0.3738
2019-10-31,-0.2151
2019-10-30,0.5384
2019-10-29,0.9999
2019-10-28,0.7181
2019-10-25,0.9834
2019-10-24,0.8235
2019-10-23,0.9312
2019-10-22,0.9162
2019-10-21,0.8337
2019-10-18,0.9800
2019-10-17,0.6840
2019-10-16,0.9995
2019-10-15,0.4869
2019-10-14,0.9619
2019-10-11,0.1028
2019-10-10,0.7760
2019-10-09,-0.1664
2019-10-08,0.5796
2019-10-07,-0.4283
2019-10-04,0.3361
2019-10-03,-0.6567
2019-10-02,0.0689
2019-10-01,-0.8442
2019-09-30,-0.2180
2019-09-27,-0.9679
2019-09-26,-0.5065
2019-09-25,-0.9931
2019-09-24,-0.7854
2019-09-23,-0.8244
2019-09-20,-0.9832
2019-09-19,-0.5500
2019-09-18,-0.9795
2019-09-17,-0.3328
2019-09-16,-0.9021
2019-09-13,-0.2329
2019-09-12,-0.8523
