Dates,MAMA Values
2021-06-09,179.8657
2021-06-08,218.8367
2021-06-07,180.2815
2021-06-04,219.0325
2021-06-03,180.7013
2021-06-02,219.2272
2021-06-01,181.0970
2021-05-28,219.4208
2021-05-27,181.5730
2021-05-26,219.6134
2021-05-25,182.0216
2021-05-24,219.8046
2021-05-21,182.4789
2021-05-20,219.9944
2021-05-19,182.9403
2021-05-18,220.1830
2021-05-17,183.4411
2021-05-14,220.3701
2021-05-13,183.9433
2021-05-12,220.5557
2021-05-11,184.5674
2021-05-10,220.7397
2021-05-07,185.2614
2021-05-06,220.9214
2021-05-05,185.8499
2021-05-04,221.1006
2021-05-03,186.3764
2021-04-30,221.2778
2021-04-29,186.8486
2021-04-28,221.4531
2021-04-27,187.3135
2021-04-26,221.6270
2021-04-23,187.7991
2021-04-22,221.7995
2021-04-21,188.2895
2021-04-20,221.9703
2021-04-19,188.7722
2021-04-16,222.1396
2021-04-15,189.3593
2021-04-14,222.3072
2021-04-13,189.9448
2021-04-12,222.4728
2021-04-09,190.5277
2021-04-08,222.6363
2021-04-07,191.1621
2021-04-06,222.7976
2021-04-05,191.8601
2021-04-01,222.9566
2021-03-31,192.5920
2021-03-30,223.1129
2021-03-29,193.2841
2021-03-26,223.2662
2021-03-25,194.0173
2021-03-24,223.4169
2021-03-23,194.6928
2021-03-22,223.5646
2021-03-19,195.3915
2021-03-18,223.7097
2021-03-17,196.0313
2021-03-16,223.8520
2021-03-15,196.7584
2021-03-12,223.9918
2021-03-11,197.4610
2021-03-10,224.1287
2021-03-09,198.2118
2021-03-08,224.2627
2021-03-05,198.9069
2021-03-04,224.3936
2021-03-03,199.5732
2021-03-02,224.5217
2021-03-01,200.2425
2021-02-26,224.6470
2021-02-25,200.7611
2021-02-24,224.7697
2021-02-23,201.2691
2021-02-22,224.8903
2021-02-19,201.7165
2021-02-18,225.0090
2021-02-17,202.2028
2021-02-16,225.1261
2021-02-12,202.7441
2021-02-11,225.2413
2021-02-10,203.2886
2021-02-09,225.3543
2021-02-08,203.7842
2021-02-05,225.4652
2021-02-04,204.2825
2021-02-03,225.5741
2021-02-02,204.6587
2021-02-01,225.6811
2021-01-29,204.9490
2021-01-28,225.7868
2021-01-27,205.2322
2021-01-26,225.8915
2021-01-25,205.4767
2021-01-22,225.9953
2021-01-21,205.6982
2021-01-20,226.0984
2021-01-19,205.8974
2021-01-15,226.2009
