Dates,NATR Values
2021-11-23,3.2786
2021-11-22,3.3532
2021-11-19,3.3372
2021-11-18,2.8084
2021-11-17,2.8081
2021-11-16,2.7810
2021-11-15,2.6321
2021-11-12,2.4324
2021-11-11,2.4765
2021-11-10,2.5517
2021-11-09,2.3826
2021-11-08,2.3599
2021-11-05,2.3597
2021-11-04,2.1601
2021-11-03,2.2426
2021-11-02,2.3481
2021-11-01,2.3273
2021-10-29,2.2573
2021-10-28,2.3405
2021-10-27,2.3936
2021-10-26,2.2345
2021-10-25,2.0989
2021-10-22,2.2122
2021-10-21,2.2274
2021-10-20,2.2328
2021-10-19,2.2614
2021-10-18,2.3792
2021-10-15,2.4775
2021-10-14,2.5775
2021-10-13,2.5504
2021-10-12,2.5656
2021-10-11,2.5426
2021-10-08,2.4931
2021-10-07,2.6065
2021-10-06,2.7173
2021-10-05,2.7362
2021-10-04,2.8487
2021-10-01,2.8408
2021-09-30,2.9009
2021-09-29,2.8158
2021-09-28,2.6417
2021-09-27,2.4556
2021-09-24,2.4007
2021-09-23,2.4825
2021-09-22,2.5219
2021-09-21,2.4108
2021-09-20,2.4517
2021-09-17,2.3192
2021-09-16,2.3967
2021-09-15,2.4967
2021-09-14,2.5972
2021-09-13,2.5669
2021-09-10,2.6045
2021-09-09,2.5450
2021-09-08,2.5524
2021-09-07,2.5093
2021-09-03,2.4323
2021-09-02,2.4828
2021-09-01,2.4995
2021-08-31,2.5502
2021-08-30,2.6411
2021-08-27,2.6379
2021-08-26,2.6978
2021-08-25,2.5847
2021-08-24,2.7061
2021-08-23,2.8473
2021-08-20,2.8714
2021-08-19,2.9991
2021-08-18,2.8594
2021-08-17,2.8935
2021-08-16,2.6699
2021-08-13,2.5513
2021-08-12,2.5383
2021-08-11,2.5897
2021-08-10,2.6866
2021-08-09,2.7800
2021-08-06,2.7805
2021-08-05,2.9327
2021-08-04,3.0586
2021-08-03,3.0215
2021-08-02,3.0285
2021-07-30,3.0733
2021-07-29,3.0400
2021-07-28,3.2011
2021-07-27,2.9448
2021-07-26,2.9530
2021-07-23,3.0327
2021-07-22,3.1904
2021-07-21,3.3071
2021-07-20,3.4107
2021-07-19,3.3986
2021-07-16,2.9295
2021-07-15,2.8342
2021-07-14,2.8350
2021-07-13,2.7956
2021-07-12,2.5023
2021-07-09,2.5655
2021-07-08,2.6893
2021-07-07,2.5103
2021-07-06,2.3853
2021-07-02,2.4704
2021-07-01,2.4024
2021-06-30,2.5232
2021-06-29,2.5938
2021-06-28,2.4283
2021-06-25,2.1816
2021-06-24,2.2233
2021-06-23,2.2142
2021-06-22,2.2895
2021-06-21,2.3380
2021-06-18,2.2928
2021-06-17,2.3646
2021-06-16,2.3113
2021-06-15,2.2987
2021-06-14,2.4069
2021-06-11,2.4355
2021-06-10,2.4557
2021-06-09,2.4145
2021-06-08,2.4017
2021-06-07,2.3921
2021-06-04,2.4918
2021-06-03,2.6174
2021-06-02,2.5901
2021-06-01,2.7233
2021-05-28,2.7326
2021-05-27,2.7554
2021-05-26,2.6629
2021-05-25,2.8456
2021-05-24,2.9091
2021-05-21,2.9892
2021-05-20,3.0038
2021-05-19,3.1544
2021-05-18,3.1017
2021-05-17,3.1554
2021-05-14,3.2607
2021-05-13,3.4099
2021-05-12,3.3074
2021-05-11,3.1026
2021-05-10,2.9542
2021-05-07,2.8410
2021-05-06,2.8518
2021-05-05,2.9663
2021-05-04,2.9303
2021-05-03,2.7146
2021-04-30,2.8716
2021-04-29,2.9769
2021-04-28,3.0370
2021-04-27,2.8360
2021-04-26,2.9768
2021-04-23,3.0578
2021-04-22,3.1969
2021-04-21,3.2329
2021-04-20,3.3102
2021-04-19,2.9885
2021-04-16,2.9998
2021-04-15,2.9925
2021-04-14,3.1012
2021-04-13,3.1233
2021-04-12,3.1490
2021-04-09,3.1923
2021-04-08,3.2707
2021-04-07,3.4201
2021-04-06,3.5408
2021-04-05,3.6695
2021-04-01,3.8501
2021-03-31,3.9617
2021-03-30,4.1904
2021-03-29,4.4802
2021-03-26,4.6463
2021-03-25,4.6377
2021-03-24,4.5867
2021-03-23,4.6052
2021-03-22,4.3887
2021-03-19,4.4627
2021-03-18,4.6254
2021-03-17,4.4597
2021-03-16,4.6856
2021-03-15,4.5164
2021-03-12,4.3642
2021-03-11,4.3986
2021-03-10,4.5077
2021-03-09,4.5485
2021-03-08,4.6329
2021-03-05,4.8344
2021-03-04,4.5388
2021-03-03,4.0636
2021-03-02,4.0143
2021-03-01,4.1859
2021-02-26,4.1380
