Dates,PLUS_DI Values
2019-02-19,26.7919
2019-02-15,26.8504
2019-02-14,26.6199
2019-02-13,26.6946
2019-02-12,26.6844
2019-02-11,26.7197
2019-02-08,26.5320
2019-02-07,26.6559
2019-02-06,26.7919
2019-02-05,26.7335
2019-02-04,26.1006
2019-02-01,25.9895
2019-01-31,25.8808
2019-01-30,25.9939
2019-01-29,24.8948
2019-01-28,24.6851
2019-01-25,24.7908
2019-01-24,24.6878
2019-01-23,24.7242
2019-01-22,24.8590
2019-01-18,25.0261
2019-01-17,24.9347
2019-01-16,24.5773
2019-01-15,24.5235
2019-01-14,24.5749
2019-01-11,24.6673
2019-01-10,24.7090
2019-01-09,24.4737
2019-01-08,24.1979
2019-01-07,23.7248
2019-01-04,23.6922
2019-01-03,23.3992
2019-01-02,23.6176
2018-12-31,23.7744
2018-12-28,23.7495
2018-12-27,23.5633
2018-12-26,23.5933
2018-12-24,23.1999
2018-12-21,23.3585
2018-12-20,23.5273
2018-12-19,23.7426
2018-12-18,24.0176
2018-12-17,23.9479
2018-12-14,23.9313
2018-12-13,24.0911
2018-12-12,24.1651
2018-12-11,24.3257
2018-12-10,24.0913
2018-12-07,24.2825
2018-12-06,24.2797
