Dates,HT_DCPHASE Values
2020-09-22,47.5113
2020-09-21,49.4688
2020-09-18,39.7409
2020-09-17,26.2031
2020-09-16,15.5373
2020-09-15,-0.1623
2020-09-14,-13.4638
2020-09-11,-27.8127
2020-09-10,307.7190
2020-09-09,288.6025
2020-09-08,261.1200
2020-09-04,177.5162
2020-09-03,131.9068
2020-09-02,103.1846
2020-09-01,82.0054
2020-08-31,43.3057
2020-08-28,13.1814
2020-08-27,-27.0151
2020-08-26,297.1861
2020-08-25,273.9389
2020-08-24,245.2198
2020-08-21,227.0619
2020-08-20,204.0337
2020-08-19,165.9741
2020-08-18,129.2723
2020-08-17,109.7554
2020-08-14,91.7174
2020-08-13,74.6780
2020-08-12,64.3124
2020-08-11,47.5561
2020-08-10,31.6810
2020-08-07,15.0183
2020-08-06,0.5750
2020-08-05,-8.3157
2020-08-04,-16.3399
2020-08-03,-25.7442
2020-07-31,-33.7180
2020-07-30,-36.7563
2020-07-29,-35.5849
2020-07-28,-18.4470
2020-07-27,20.0996
2020-07-24,34.7023
2020-07-23,30.0656
2020-07-22,0.5739
2020-07-21,-15.4403
2020-07-20,-15.0659
2020-07-17,10.9731
2020-07-16,44.8982
2020-07-15,46.8729
2020-07-14,43.6815
2020-07-13,40.8574
2020-07-10,33.8653
2020-07-09,27.2686
2020-07-08,25.4304
2020-07-07,39.6793
2020-07-06,35.2620
2020-07-02,19.0546
2020-07-01,-5.2705
2020-06-30,-34.1288
2020-06-29,284.7377
2020-06-26,267.5578
2020-06-25,244.5042
2020-06-24,227.5851
2020-06-23,218.0389
2020-06-22,210.0784
2020-06-19,202.8216
2020-06-18,195.8628
2020-06-17,187.6922
2020-06-16,181.1251
2020-06-15,174.2911
2020-06-12,166.9051
2020-06-11,159.2068
2020-06-10,153.0843
2020-06-09,150.5843
2020-06-08,153.9199
2020-06-05,158.5962
2020-06-04,159.9991
2020-06-03,157.0656
2020-06-02,155.1219
2020-06-01,143.6878
2020-05-29,130.2491
2020-05-28,115.5427
2020-05-27,107.0619
2020-05-26,96.4397
2020-05-22,74.8810
2020-05-21,50.8333
2020-05-20,35.0978
2020-05-19,13.6233
2020-05-18,-1.3487
2020-05-15,-8.2608
2020-05-14,-2.8968
2020-05-13,8.2980
2020-05-12,22.4435
2020-05-11,27.7015
2020-05-08,22.0305
2020-05-07,22.7267
2020-05-06,24.8801
2020-05-05,27.1329
2020-05-04,16.0704
2020-05-01,-0.6497
2020-04-30,-22.4570
2020-04-29,311.7817
2020-04-28,291.5312
2020-04-27,271.6344
2020-04-24,194.1504
2020-04-23,122.4023
2020-04-22,98.6090
2020-04-21,25.1922
2020-04-20,300.0832
2020-04-17,261.0577
2020-04-16,247.6649
2020-04-15,212.8732
2020-04-14,153.9469
2020-04-13,103.5101
2020-04-09,88.4365
2020-04-08,69.4729
2020-04-07,55.2821
2020-04-06,43.2660
2020-04-03,36.9507
2020-04-02,31.4740
2020-04-01,25.9617
2020-03-31,20.3123
2020-03-30,14.2788
2020-03-27,8.0155
2020-03-26,0.5199
2020-03-25,-5.2730
2020-03-24,-11.0595
2020-03-23,-15.9948
2020-03-20,-17.4681
2020-03-19,-19.7365
2020-03-18,-20.1487
2020-03-17,-25.0182
2020-03-16,-30.9449
2020-03-13,-31.2528
2020-03-12,-27.7533
2020-03-11,-26.8920
2020-03-10,-31.7714
2020-03-09,-38.4772
2020-03-06,-41.8419
2020-03-05,308.9262
2020-03-04,308.4214
2020-03-03,301.6873
2020-03-02,287.9314
2020-02-28,271.7002
2020-02-27,252.7858
2020-02-26,232.9818
2020-02-25,211.2136
2020-02-24,196.1980
2020-02-21,176.1779
2020-02-20,162.4914
2020-02-19,149.9780
2020-02-18,137.7509
2020-02-14,138.3640
2020-02-13,132.4161
2020-02-12,125.8495
2020-02-11,110.2164
2020-02-10,84.9223
2020-02-07,66.0121
2020-02-06,43.1047
2020-02-05,27.3935
2020-02-04,9.7391
2020-02-03,-0.8095
2020-01-31,-10.9540
2020-01-30,-17.2652
2020-01-29,-27.6834
2020-01-28,-34.8632
2020-01-27,314.7767
2020-01-24,303.3800
2020-01-23,290.8435
2020-01-22,275.5652
2020-01-21,249.1118
2020-01-17,113.5434
2020-01-16,93.9095
2020-01-15,74.7212
2020-01-14,66.6812
2020-01-13,64.4463
2020-01-10,56.1953
