Dates,HT_PHASOR Values
2021-11-15,3.4609
2021-11-12,-0.3742
2021-11-11,2.8279
2021-11-10,8.8654
2021-11-09,-2.8615
2021-11-08,16.8555
2021-11-05,-8.9049
2021-11-04,13.8569
2021-11-03,-12.1241
2021-11-02,2.6242
2021-11-01,-10.1262
2021-10-29,-8.1526
2021-10-28,-6.6505
2021-10-27,-13.9288
2021-10-26,-2.0779
2021-10-25,-14.8608
2021-10-22,1.7565
2021-10-21,-11.9693
2021-10-20,5.9613
2021-10-19,-4.0279
2021-10-18,5.0359
2021-10-15,13.8145
2021-10-14,-2.7089
2021-10-13,20.7008
2021-10-12,-7.8963
2021-10-11,13.1034
2021-10-08,-10.0304
2021-10-07,-1.5109
2021-10-06,-5.9680
2021-10-05,-10.3086
2021-10-04,-3.4137
2021-10-01,-9.9390
2021-09-30,-0.3044
2021-09-29,-11.6752
2021-09-28,3.2908
2021-09-27,-7.5201
2021-09-24,3.8610
2021-09-23,-1.5288
2021-09-22,3.5724
2021-09-21,0.0747
2021-09-20,3.7326
2021-09-17,2.8394
2021-09-16,1.9190
2021-09-15,5.3408
2021-09-14,0.1247
2021-09-13,1.7001
2021-09-10,0.2573
2021-09-09,-1.7966
2021-09-08,1.0114
2021-09-07,-10.1035
2021-09-03,5.7585
2021-09-02,-10.4766
2021-09-01,6.2839
2021-08-31,-8.7938
2021-08-30,10.8864
2021-08-27,-5.3244
2021-08-26,9.7285
2021-08-25,13.4067
2021-08-24,3.8169
2021-08-23,15.9486
2021-08-20,1.0871
2021-08-19,11.7415
2021-08-18,-2.2963
2021-08-17,4.6083
2021-08-16,-1.6022
2021-08-13,-5.7532
2021-08-12,1.1262
2021-08-11,-12.1556
2021-08-10,6.2189
2021-08-09,-11.6001
2021-08-06,8.9232
2021-08-05,-4.8245
2021-08-04,9.4137
2021-08-03,1.6901
2021-08-02,6.6001
2021-07-30,5.6737
2021-07-29,4.0806
2021-07-28,1.3247
2021-07-27,5.7343
2021-07-26,0.1982
2021-07-23,4.7310
2021-07-22,0.5905
2021-07-21,6.1391
2021-07-20,0.8061
2021-07-19,4.3043
2021-07-16,6.3840
2021-07-15,0.5272
2021-07-14,3.5094
2021-07-13,1.6813
2021-07-12,1.2397
2021-07-09,0.2301
2021-07-08,3.4688
2021-07-07,-1.0579
2021-07-06,0.1529
2021-07-02,0.3165
2021-07-01,-0.3849
2021-06-30,-0.5387
2021-06-29,1.0622
2021-06-28,-0.9284
2021-06-25,-2.1984
2021-06-24,0.9285
2021-06-23,-2.4446
2021-06-22,1.1859
2021-06-21,-3.0166
2021-06-18,3.5695
2021-06-17,-2.4714
2021-06-16,2.4727
2021-06-15,0.2253
2021-06-14,1.7223
2021-06-11,-5.7115
2021-06-10,5.9159
2021-06-09,-11.1412
2021-06-08,10.7141
2021-06-07,-6.7625
2021-06-04,12.2338
2021-06-03,4.7496
2021-06-02,9.7003
2021-06-01,19.8852
2021-05-28,0.2931
2021-05-27,38.3384
2021-05-26,-16.6626
2021-05-25,31.1309
2021-05-24,-20.8797
2021-05-21,-1.2066
2021-05-20,-14.3547
2021-05-19,-19.4586
2021-05-18,-7.0832
2021-05-17,-27.3571
2021-05-14,1.4985
2021-05-13,-28.0235
2021-05-12,6.9501
2021-05-11,-17.3823
2021-05-10,9.0273
2021-05-07,-13.2381
2021-05-06,12.8710
2021-05-05,-5.2195
2021-05-04,10.5879
2021-05-03,7.4078
2021-04-30,8.1421
2021-04-29,0.5324
2021-04-28,11.0712
2021-04-27,1.4094
2021-04-26,9.8979
2021-04-23,13.5006
2021-04-22,4.2233
2021-04-21,21.0520
2021-04-20,-3.1051
2021-04-19,15.4377
2021-04-16,-4.6111
2021-04-15,6.4371
2021-04-14,-5.9205
2021-04-13,-0.0782
2021-04-12,-4.2033
2021-04-09,-6.9431
2021-04-08,-1.3608
2021-04-07,-8.1192
2021-04-06,2.1155
2021-04-05,-0.2717
2021-04-01,-0.2693
2021-03-31,13.4326
2021-03-30,-6.0151
2021-03-29,18.4732
2021-03-26,-11.2130
2021-03-25,20.7414
2021-03-24,-16.9173
2021-03-23,10.5967
2021-03-22,-16.4697
2021-03-19,1.6614
2021-03-18,-18.4606
2021-03-17,-7.7750
2021-03-16,-12.2002
2021-03-15,-20.6094
2021-03-12,-4.0854
2021-03-11,-15.8169
2021-03-10,0.0476
2021-03-09,-7.2853
2021-03-08,1.7807
2021-03-05,4.7955
2021-03-04,-4.0814
2021-03-03,16.1238
2021-03-02,-11.7481
2021-03-01,14.8767
2021-02-26,-15.9007
2021-02-25,9.8995
2021-02-24,-19.5287
2021-02-23,3.7366
2021-02-22,-18.9986
2021-02-19,-8.3718
2021-02-18,-12.2129
2021-02-17,-13.1083
2021-02-16,-8.4509
2021-02-12,-11.5661
2021-02-11,-4.7300
2021-02-10,-12.0457
2021-02-09,-0.8450
2021-02-08,-11.4846
2021-02-05,3.2642
2021-02-04,-8.3336
2021-02-03,4.2387
2021-02-02,-2.2141
2021-02-01,3.9541
2021-01-29,-2.2665
2021-01-28,6.5897
2021-01-27,2.8331
2021-01-26,3.1231
2021-01-25,13.1219
2021-01-22,-2.5953
2021-01-21,15.0593
2021-01-20,-7.1495
2021-01-19,13.3315
2021-01-15,-10.4710
2021-01-14,7.9396
2021-01-13,-11.8659
2021-01-12,2.4244
2021-01-11,-12.4487
2021-01-08,-6.2938
2021-01-07,-7.7024
2021-01-06,-14.2672
2021-01-05,-2.8099
2021-01-04,-11.8436
2020-12-31,-0.7527
2020-12-30,-10.0940
2020-12-29,2.9930
2020-12-28,-9.7611
2020-12-24,5.9846
2020-12-23,-1.2820
2020-12-22,3.4464
2020-12-21,6.6305
2020-12-18,0.7678
2020-12-17,3.8919
2020-12-16,0.8634
2020-12-15,4.8239
2020-12-14,-2.3739
2020-12-11,1.3736
2020-12-10,-0.7541
2020-12-09,-7.1843
2020-12-08,1.0614
2020-12-07,-12.4827
2020-12-04,6.4560
2020-12-03,-20.5794
2020-12-02,14.3925
2020-12-01,-13.1072
2020-11-30,15.6224
2020-11-27,3.3365
2020-11-25,11.7758
2020-11-24,17.6786
2020-11-23,3.7736
2020-11-20,18.0383
2020-11-19,1.9462
2020-11-18,8.6053
2020-11-17,2.0900
2020-11-16,12.3485
2020-11-13,-0.9218
2020-11-12,24.9225
2020-11-11,-9.3444
2020-11-10,38.4630
2020-11-09,-20.7634
2020-11-06,24.4194
2020-11-05,-22.7271
2020-11-04,-2.9217
2020-11-03,-17.9227
2020-11-02,-18.7259
2020-10-30,-10.3656
2020-10-29,-19.8540
2020-10-28,-5.9913
2020-10-27,-14.9437
2020-10-26,-0.8718
2020-10-23,-10.5339
2020-10-22,1.8639
2020-10-21,6.0819
2020-10-20,-4.8705
2020-10-19,17.6369
2020-10-16,-11.4482
2020-10-15,14.9257
2020-10-14,-16.6773
2020-10-13,2.0525
2020-10-12,-12.8987
2020-10-09,-14.1293
2020-10-08,-5.4069
2020-10-07,-16.4522
2020-10-06,-0.1680
2020-10-05,-12.1338
2020-10-02,2.9203
2020-10-01,-2.9186
2020-09-30,-0.2473
2020-09-29,3.5956
2020-09-28,-2.4739
2020-09-25,-5.1568
2020-09-24,3.0871
2020-09-23,-12.1707
2020-09-22,7.6681
2020-09-21,-6.0468
2020-09-18,7.5252
2020-09-17,-1.2898
2020-09-16,7.3357
2020-09-15,0.7348
2020-09-14,5.4397
2020-09-11,-0.6487
2020-09-10,6.3213
2020-09-09,-9.2347
2020-09-08,11.8230
2020-09-04,-11.4194
2020-09-03,16.9607
2020-09-02,1.8761
2020-09-01,13.7325
2020-08-31,29.5346
2020-08-28,-1.4470
2020-08-27,45.7079
2020-08-26,-15.0562
2020-08-25,35.8048
2020-08-24,-21.0377
2020-08-21,12.8891
2020-08-20,-17.8795
2020-08-19,-4.0903
2020-08-18,-15.8814
2020-08-17,3.0805
2020-08-14,-20.6174
2020-08-13,-3.5659
2020-08-12,-16.9594
2020-08-11,-22.4434
2020-08-10,-9.8426
2020-08-07,-27.6737
2020-08-06,-1.4213
2020-08-05,-30.3495
2020-08-04,6.8460
2020-08-03,-20.1501
2020-07-31,9.6613
2020-07-30,-3.3738
2020-07-29,7.6669
2020-07-28,4.7342
2020-07-27,5.2275
2020-07-24,7.6557
2020-07-23,1.1965
2020-07-22,5.1801
2020-07-21,1.1206
2020-07-20,-2.9657
2020-07-17,3.9720
2020-07-16,-4.2886
2020-07-15,4.9972
2020-07-14,-4.1255
2020-07-13,7.9234
2020-07-10,-1.4129
2020-07-09,6.7242
2020-07-08,6.6692
2020-07-07,1.7922
2020-07-06,7.6412
2020-07-02,-0.7470
2020-07-01,2.2721
2020-06-30,-0.1068
2020-06-29,-3.2470
2020-06-26,2.4058
2020-06-25,-6.4623
2020-06-24,5.1830
2020-06-23,-7.0409
2020-06-22,7.8792
2020-06-19,-4.6638
2020-06-18,9.5188
2020-06-17,-0.0604
2020-06-16,8.9573
2020-06-15,9.6620
2020-06-12,1.9550
2020-06-11,16.2662
2020-06-10,-3.6981
2020-06-09,12.7080
2020-06-08,-6.4474
2020-06-05,11.2334
2020-06-04,-10.0748
2020-06-03,7.7495
2020-06-02,-11.3966
2020-06-01,3.9257
2020-05-29,-13.8428
2020-05-28,-4.9301
2020-05-27,-9.3051
2020-05-26,-19.8815
2020-05-22,-1.3837
2020-05-21,-24.7704
2020-05-20,5.8021
2020-05-19,-21.9829
2020-05-18,11.7084
2020-05-15,-14.4884
2020-05-14,14.1859
2020-05-13,5.3773
2020-05-12,8.3797
2020-05-11,16.2126
2020-05-08,5.7676
2020-05-07,25.0608
2020-05-06,-5.6475
2020-05-05,40.0032
2020-05-04,-17.1457
2020-05-01,19.7899
2020-04-30,-15.2219
2020-04-29,8.6573
2020-04-28,-19.3075
2020-04-27,5.0602
2020-04-24,-16.0826
2020-04-23,-5.8154
2020-04-22,-15.3595
2020-04-21,4.5414
2020-04-20,-19.3522
2020-04-17,2.6759
2020-04-16,-20.3089
2020-04-15,-18.1140
2020-04-14,-11.0843
2020-04-13,-38.3156
2020-04-09,0.5207
2020-04-08,-28.2389
2020-04-07,3.1272
2020-04-06,-21.1814
2020-04-03,11.3346
2020-04-02,-13.1336
2020-04-01,10.3212
2020-03-31,14.7356
2020-03-30,0.6093
2020-03-27,14.0484
2020-03-26,-0.5673
2020-03-25,-4.1758
2020-03-24,2.6135
2020-03-23,-16.3745
2020-03-20,9.5327
2020-03-19,-24.0029
2020-03-18,15.9366
2020-03-17,-5.7478
2020-03-16,11.4702
