Dates,CMO Values
2021-12-29,-2.5771
2021-12-28,-2.2868
2021-12-27,-2.6516
2021-12-23,-2.5289
2021-12-22,-2.8396
2021-12-21,-3.1063
2021-12-20,-4.4778
2021-12-17,-4.0002
2021-12-16,-4.2301
2021-12-15,-3.6959
2021-12-14,-3.6878
2021-12-13,-3.4695
2021-12-10,-2.5838
2021-12-09,-2.2927
2021-12-08,-1.8877
2021-12-07,-2.1548
2021-12-06,-2.5134
2021-12-03,-3.4181
2021-12-02,-2.9696
2021-12-01,-4.7349
2021-11-30,-3.6156
2021-11-29,-3.5397
2021-11-26,-3.4571
2021-11-24,-2.1192
2021-11-23,-2.3013
2021-11-22,-2.2104
2021-11-19,-1.7107
2021-11-18,-0.1360
2021-11-17,-0.2127
2021-11-16,-0.3122
2021-11-15,0.5713
2021-11-12,-0.9094
2021-11-11,-1.1045
2021-11-10,-1.2130
2021-11-09,-0.9378
2021-11-08,-0.7107
2021-11-05,-0.4969
2021-11-04,-1.8987
2021-11-03,-1.8570
2021-11-02,-1.9321
2021-11-01,-1.7180
2021-10-29,-2.6481
2021-10-28,-2.5518
2021-10-27,-2.7046
2021-10-26,-2.3309
2021-10-25,-1.9725
2021-10-22,-1.9608
2021-10-21,-1.8011
2021-10-20,-1.5881
2021-10-19,-1.6120
2021-10-18,-1.4952
2021-10-15,-1.4883
2021-10-14,-1.4424
2021-10-13,-0.9444
2021-10-12,-0.7385
2021-10-11,-0.4071
2021-10-08,-0.4141
2021-10-07,-0.4038
2021-10-06,-0.5749
2021-10-05,-0.6402
2021-10-04,-0.7121
2021-10-01,-0.4639
2021-09-30,-1.1539
2021-09-29,-0.5460
2021-09-28,-1.3411
2021-09-27,-0.6947
2021-09-24,-1.0119
2021-09-23,-1.0451
2021-09-22,-1.5162
2021-09-21,-2.4938
2021-09-20,-2.3844
2021-09-17,-1.9580
2021-09-16,-1.9580
2021-09-15,-1.8635
2021-09-14,-2.1656
2021-09-13,-1.8475
2021-09-10,-2.3230
2021-09-09,-1.9263
2021-09-08,-2.2168
2021-09-07,-1.9060
2021-09-03,-1.4778
2021-09-02,-1.1874
2021-09-01,-1.4907
2021-08-31,-1.3409
2021-08-30,-1.5458
2021-08-27,-1.1035
2021-08-26,-1.6869
2021-08-25,-1.1974
2021-08-24,-1.1542
2021-08-23,-1.3782
2021-08-20,-2.1243
2021-08-19,-2.1810
2021-08-18,-1.4508
2021-08-17,-1.1051
2021-08-16,-0.3662
2021-08-13,0.2220
2021-08-12,0.6292
2021-08-11,0.7727
2021-08-10,0.3725
2021-08-09,-0.0073
2021-08-06,-0.1090
2021-08-05,-0.2589
2021-08-04,-0.6161
2021-08-03,-0.3536
2021-08-02,-0.7572
2021-07-30,-0.6363
2021-07-29,-0.0893
2021-07-28,-0.0957
2021-07-27,-1.0908
2021-07-26,-0.7127
2021-07-23,-1.1781
2021-07-22,-1.2480
2021-07-21,-1.0733
2021-07-20,-1.6508
2021-07-19,-2.7518
2021-07-16,-1.6301
2021-07-15,-1.1000
2021-07-14,-0.9212
2021-07-13,-0.5241
2021-07-12,0.5549
2021-07-09,0.6950
2021-07-08,0.3956
2021-07-07,-0.1359
2021-07-06,0.3295
2021-07-02,0.3872
2021-07-01,0.7125
2021-06-30,0.6946
2021-06-29,0.2961
2021-06-28,0.7407
2021-06-25,1.6395
2021-06-24,1.8747
2021-06-23,1.1471
2021-06-22,1.1695
2021-06-21,1.3290
2021-06-18,0.5042
2021-06-17,0.7017
2021-06-16,1.0239
2021-06-15,1.4761
2021-06-14,1.3320
2021-06-11,1.5579
2021-06-10,1.6696
2021-06-09,1.6412
2021-06-08,2.1345
2021-06-07,2.1245
2021-06-04,1.8495
2021-06-03,1.8911
2021-06-02,2.4424
2021-06-01,2.3541
2021-05-28,1.5865
2021-05-27,1.9672
2021-05-26,1.0315
2021-05-25,0.9680
2021-05-24,0.6357
2021-05-21,0.3717
2021-05-20,-0.3546
2021-05-19,-0.6836
2021-05-18,-0.3687
2021-05-17,-0.3255
2021-05-14,-0.2764
2021-05-13,-0.8638
2021-05-12,-1.0517
2021-05-11,-0.2465
2021-05-10,0.1590
2021-05-07,0.4137
2021-05-06,-0.1510
2021-05-05,-0.3140
2021-05-04,0.2287
2021-05-03,0.3843
2021-04-30,0.2974
2021-04-29,0.4590
2021-04-28,0.4120
2021-04-27,1.1055
2021-04-26,1.0056
2021-04-23,0.7089
2021-04-22,0.3154
2021-04-21,0.4710
2021-04-20,0.2910
2021-04-19,1.2792
2021-04-16,1.6774
2021-04-15,1.9673
2021-04-14,2.0979
2021-04-13,2.1807
2021-04-12,1.8269
2021-04-09,2.1052
2021-04-08,2.3590
2021-04-07,2.1375
2021-04-06,2.3900
2021-04-05,2.7991
2021-04-01,2.2053
2021-03-31,2.3764
2021-03-30,2.1253
2021-03-29,1.9874
2021-03-26,1.4635
2021-03-25,1.6856
2021-03-24,0.9464
2021-03-23,1.1377
2021-03-22,2.0935
2021-03-19,2.5369
2021-03-18,2.5601
