Dates,TEMA Values
2021-06-08,255.3122
2021-06-07,255.2362
2021-06-04,254.8505
2021-06-03,255.7333
2021-06-02,256.3164
2021-06-01,253.1157
2021-05-28,248.4939
2021-05-27,246.4000
2021-05-26,240.4506
2021-05-25,237.6206
2021-05-24,233.6413
2021-05-21,229.8424
2021-05-20,225.9573
2021-05-19,225.0948
2021-05-18,226.1020
2021-05-17,225.6161
2021-05-14,224.7636
2021-05-13,223.3799
2021-05-12,225.4970
2021-05-11,230.1029
2021-05-10,231.6357
2021-05-07,231.3159
2021-05-06,229.3015
2021-05-05,230.3391
2021-05-04,233.1909
2021-05-03,233.9455
2021-04-30,234.2068
2021-04-29,235.3872
2021-04-28,236.2431
2021-04-27,238.0305
2021-04-26,236.1731
2021-04-23,234.3832
2021-04-22,234.1332
2021-04-21,236.8636
2021-04-20,240.1945
2021-04-19,246.6552
2021-04-16,249.6068
2021-04-15,251.3550
2021-04-14,252.0180
2021-04-13,252.1366
2021-04-12,251.7677
2021-04-09,253.7488
2021-04-08,254.7397
2021-04-07,254.3991
2021-04-06,255.3979
2021-04-05,255.0195
2021-04-01,251.5348
2021-03-31,250.6123
2021-03-30,248.0405
2021-03-29,246.0816
2021-03-26,244.2655
2021-03-25,245.4865
2021-03-24,245.8394
2021-03-23,251.7482
2021-03-22,259.0281
2021-03-19,262.7746
2021-03-18,264.7409
2021-03-17,266.8505
2021-03-16,264.1597
2021-03-15,264.9729
2021-03-12,258.2860
2021-03-11,245.1936
2021-03-10,236.7694
2021-03-09,228.3791
2021-03-08,225.6118
2021-03-05,225.7495
2021-03-04,226.2930
2021-03-03,225.8564
2021-03-02,222.3810
2021-03-01,220.6733
2021-02-26,217.1474
2021-02-25,220.1077
2021-02-24,221.3124
2021-02-23,214.2333
2021-02-22,215.1928
2021-02-19,215.9726
2021-02-18,213.8932
2021-02-17,216.6917
2021-02-16,215.8932
2021-02-12,213.3740
2021-02-11,213.6042
2021-02-10,213.9372
2021-02-09,213.3330
2021-02-08,210.0432
2021-02-05,207.1097
2021-02-04,205.3348
2021-02-03,200.8224
2021-02-02,196.3761
2021-02-01,194.3024
2021-01-29,194.9140
2021-01-28,197.2025
2021-01-27,198.8075
2021-01-26,203.5524
2021-01-25,205.3318
2021-01-22,207.1943
