Dates,MIDPOINT Values
2022-03-16,179.0800
2022-03-15,183.4900
2022-03-14,183.4900
2022-03-11,187.2550
2022-03-10,187.2550
2022-03-09,187.2550
2022-03-08,187.2550
2022-03-07,187.2550
2022-03-04,194.9350
2022-03-03,201.2150
2022-03-02,206.9200
2022-03-01,206.9200
2022-02-28,207.6750
2022-02-25,207.6750
2022-02-24,207.6750
2022-02-23,207.6750
2022-02-22,208.8350
2022-02-18,213.9800
2022-02-17,212.6900
2022-02-16,212.6600
2022-02-15,212.5700
2022-02-14,212.5700
2022-02-11,209.4950
2022-02-10,204.6600
2022-02-09,202.8050
2022-02-08,201.5100
2022-02-07,200.8350
2022-02-04,199.0450
2022-02-03,199.0450
2022-02-02,201.9700
2022-02-01,203.4150
2022-01-31,207.3800
2022-01-28,207.8550
2022-01-27,207.8550
2022-01-26,210.1150
2022-01-25,215.0300
2022-01-24,215.0800
2022-01-21,215.7000
2022-01-20,217.6350
2022-01-19,217.6350
2022-01-18,217.6350
2022-01-14,216.9100
2022-01-13,212.6100
2022-01-12,209.3850
2022-01-11,208.6700
2022-01-10,208.4100
2022-01-07,208.4100
2022-01-06,207.4750
2022-01-05,207.4750
2022-01-04,206.5750
2022-01-03,198.1700
2021-12-31,197.3050
2021-12-30,197.3050
2021-12-29,197.3050
2021-12-28,197.3050
2021-12-27,196.3500
2021-12-23,196.7700
2021-12-22,198.0200
2021-12-21,199.7550
2021-12-20,199.7550
2021-12-17,200.9100
2021-12-16,200.9100
2021-12-15,203.2300
2021-12-14,199.6100
2021-12-13,199.6100
2021-12-10,199.6100
2021-12-09,199.6100
2021-12-08,199.6100
2021-12-07,199.3950
2021-12-06,199.3950
2021-12-03,201.1600
2021-12-02,207.7200
2021-12-01,207.7200
2021-11-30,212.5500
2021-11-29,215.7950
2021-11-26,216.1500
2021-11-24,221.1100
2021-11-23,221.1100
2021-11-22,221.4950
2021-11-19,223.6100
2021-11-18,225.7950
2021-11-17,223.0600
2021-11-16,223.0600
2021-11-15,222.9300
2021-11-12,218.6150
2021-11-11,215.7450
2021-11-10,215.7450
2021-11-09,215.5350
2021-11-08,215.5350
2021-11-05,215.5350
2021-11-04,210.5950
2021-11-03,210.5950
2021-11-02,211.3900
2021-11-01,211.3900
2021-10-29,211.7950
2021-10-28,211.8250
2021-10-27,212.0250
2021-10-26,215.7950
2021-10-25,218.2200
2021-10-22,219.7100
2021-10-21,220.3950
2021-10-20,221.2250
2021-10-19,221.2250
2021-10-18,221.7300
2021-10-15,221.7600
2021-10-14,221.9600
2021-10-13,223.2100
2021-10-12,223.2100
2021-10-11,222.4450
2021-10-08,222.4450
2021-10-07,222.4450
2021-10-06,222.2050
2021-10-05,221.4900
2021-10-04,217.2550
2021-10-01,217.2550
2021-09-30,216.9350
2021-09-29,216.9350
2021-09-28,216.3350
2021-09-27,216.3350
2021-09-24,214.9500
2021-09-23,214.8050
2021-09-22,212.7450
2021-09-21,211.4950
2021-09-20,211.9900
2021-09-17,214.2350
2021-09-16,215.5650
2021-09-15,215.5650
2021-09-14,215.5650
2021-09-13,215.5650
2021-09-10,216.0250
2021-09-09,216.5650
2021-09-08,216.5650
2021-09-07,217.9950
2021-09-03,219.1250
2021-09-02,217.2100
2021-09-01,216.9550
2021-08-31,216.9550
2021-08-30,217.1900
2021-08-27,220.6100
2021-08-26,223.3100
2021-08-25,225.1700
2021-08-24,225.8250
2021-08-23,225.8250
2021-08-20,225.8250
2021-08-19,225.8250
2021-08-18,229.2450
2021-08-17,230.8550
2021-08-16,233.0600
2021-08-13,232.4150
2021-08-12,232.4150
2021-08-11,232.4150
2021-08-10,230.5600
2021-08-09,227.2700
2021-08-06,226.9500
2021-08-05,226.5750
2021-08-04,226.2500
2021-08-03,226.2500
2021-08-02,224.3900
2021-07-30,219.3100
2021-07-29,219.3100
2021-07-28,219.2800
2021-07-27,216.4200
2021-07-26,217.5950
