Dates,MIDPRICE Values
2020-10-12,167.4950
2020-10-09,167.4950
2020-10-08,167.4950
2020-10-07,167.4950
2020-10-06,167.4950
2020-10-05,167.4950
2020-10-02,167.4950
2020-10-01,167.4950
2020-09-30,167.4950
2020-09-29,167.4950
2020-09-28,167.4950
2020-09-25,167.4950
2020-09-24,167.4950
2020-09-23,170.4300
2020-09-22,171.6900
2020-09-21,171.6900
2020-09-18,171.6900
2020-09-17,171.6900
2020-09-16,171.6900
2020-09-15,171.6900
2020-09-14,171.6900
2020-09-11,171.6900
2020-09-10,172.0100
2020-09-09,172.0100
2020-09-08,173.9550
2020-09-04,173.9550
2020-09-03,173.9550
2020-09-02,173.9550
2020-09-01,173.9550
2020-08-31,173.9550
2020-08-28,175.6850
2020-08-27,175.7222
2020-08-26,175.7222
2020-08-25,180.8550
2020-08-24,180.8550
2020-08-21,180.8550
2020-08-20,180.8550
2020-08-19,183.2200
2020-08-18,190.2050
2020-08-17,193.8050
2020-08-14,193.8050
2020-08-13,193.8050
2020-08-12,193.8050
2020-08-11,193.0050
2020-08-10,189.3750
2020-08-07,188.5700
2020-08-06,188.5700
2020-08-05,187.7200
2020-08-04,187.7200
2020-08-03,184.9883
2020-07-31,184.9883
2020-07-30,182.7550
2020-07-29,182.2400
2020-07-28,179.9999
2020-07-27,175.9900
2020-07-24,174.0450
2020-07-23,174.0450
2020-07-22,174.0450
2020-07-21,174.0450
2020-07-20,174.0450
2020-07-17,174.0450
2020-07-16,174.0450
2020-07-15,174.0450
2020-07-14,174.0450
2020-07-13,174.0450
2020-07-10,174.0450
2020-07-09,174.0450
2020-07-08,174.0450
2020-07-07,174.0450
2020-07-06,174.0450
2020-07-02,174.0450
2020-07-01,174.0450
2020-06-30,174.0450
2020-06-29,174.0450
2020-06-26,174.0450
2020-06-25,174.0450
2020-06-24,174.0450
2020-06-23,174.0450
2020-06-22,174.0450
2020-06-19,174.0450
2020-06-18,174.0450
2020-06-17,174.0450
2020-06-16,174.0450
2020-06-15,174.0450
2020-06-12,174.0450
2020-06-11,174.0450
2020-06-10,174.0450
2020-06-09,174.0450
2020-06-08,174.0450
2020-06-05,166.3400
2020-06-04,151.2450
2020-06-03,150.1850
2020-06-02,140.0200
2020-06-01,140.0200
2020-05-29,138.4150
2020-05-28,137.7400
2020-05-27,137.7400
2020-05-26,137.7400
2020-05-22,137.7400
2020-05-21,139.4250
2020-05-20,157.9950
2020-05-19,163.4150
2020-05-18,165.2400
2020-05-15,176.6450
2020-05-14,182.6550
2020-05-13,187.4550
2020-05-12,193.2200
2020-05-11,193.2200
2020-05-08,193.2200
2020-05-07,195.0000
2020-05-06,202.1100
2020-05-05,204.8200
2020-05-04,205.3700
2020-05-01,211.8300
2020-04-30,215.1200
2020-04-29,215.2371
2020-04-28,215.2371
2020-04-27,216.7500
2020-04-24,218.4450
2020-04-23,218.4450
2020-04-22,218.4450
2020-04-21,218.4450
2020-04-20,218.4450
2020-04-17,218.4450
2020-04-16,218.4450
2020-04-15,218.4450
2020-04-14,218.4450
2020-04-13,218.4450
2020-04-09,218.4450
2020-04-08,218.4450
2020-04-07,218.4450
2020-04-06,218.4450
2020-04-03,218.4450
2020-04-02,218.4450
2020-04-01,218.4450
2020-03-31,218.4450
2020-03-30,218.4450
2020-03-27,218.4450
2020-03-26,218.4450
2020-03-25,218.4450
2020-03-24,218.4450
2020-03-23,218.4450
2020-03-20,218.4450
2020-03-19,218.4450
2020-03-18,218.4450
2020-03-17,224.5700
2020-03-16,238.3250
2020-03-13,251.3515
2020-03-12,251.3515
2020-03-11,267.4450
2020-03-10,281.4450
2020-03-09,286.1300
2020-03-06,298.8450
2020-03-05,303.7700
2020-03-04,308.7450
2020-03-03,308.7450
2020-03-02,308.7450
2020-02-28,308.7450
2020-02-27,316.0900
2020-02-26,324.4031
2020-02-25,324.9471
2020-02-24,324.9471
2020-02-21,325.1123
2020-02-20,326.2046
2020-02-19,326.6022
2020-02-18,326.6022
2020-02-14,327.0446
2020-02-13,327.1778
2020-02-12,333.0535
2020-02-11,333.5108
2020-02-10,335.2653
2020-02-07,336.7265
2020-02-06,336.7265
2020-02-05,336.7265
2020-02-04,336.7265
2020-02-03,336.7265
2020-01-31,336.7563
2020-01-30,337.1403
2020-01-29,337.1403
2020-01-28,337.1403
2020-01-27,337.1403
2020-01-24,337.1403
2020-01-23,337.1403
2020-01-22,337.1403
2020-01-21,338.6463
2020-01-17,346.0320
2020-01-16,346.0320
2020-01-15,346.0320
2020-01-14,346.0320
2020-01-13,346.0320
2020-01-10,346.0320
2020-01-09,346.0320
2020-01-08,346.0320
2020-01-07,346.0320
2020-01-06,346.0320
2020-01-03,346.0320
2020-01-02,346.0320
2019-12-31,346.0320
2019-12-30,346.0320
2019-12-27,346.0320
2019-12-26,346.0320
2019-12-24,346.0320
2019-12-23,346.4952
2019-12-20,346.4952
2019-12-19,346.4952
2019-12-18,346.4952
2019-12-17,346.4952
2019-12-16,347.4569
2019-12-13,347.4569
2019-12-12,347.4569
2019-12-11,347.4569
2019-12-10,349.5077
2019-12-09,349.9624
2019-12-06,352.8879
2019-12-05,352.8879
2019-12-04,353.5353
2019-12-03,353.5353
2019-12-02,353.5353
2019-11-29,353.5353
2019-11-27,353.5353
2019-11-26,353.5353
2019-11-25,353.5353
2019-11-22,353.5353
2019-11-21,353.5353
2019-11-20,353.5353
2019-11-19,353.5353
2019-11-18,353.5353
2019-11-15,353.5353
2019-11-14,353.5353
2019-11-13,353.5353
2019-11-12,353.5353
2019-11-11,353.5353
2019-11-08,353.5353
2019-11-07,353.5353
2019-11-06,353.5353
2019-11-05,353.5353
2019-11-04,353.5353
2019-11-01,353.5353
2019-10-31,353.5353
2019-10-30,353.5353
2019-10-29,353.5353
2019-10-28,353.5353
2019-10-25,353.5353
2019-10-24,351.1385
2019-10-23,351.1385
2019-10-22,351.1385
2019-10-21,351.1385
2019-10-18,351.1385
2019-10-17,351.1385
2019-10-16,351.1385
2019-10-15,351.1385
2019-10-14,351.1385
2019-10-11,351.1385
2019-10-10,351.1385
2019-10-09,351.1385
2019-10-08,351.1385
2019-10-07,351.1385
2019-10-04,351.1385
2019-10-03,351.1385
2019-10-02,351.1385
2019-10-01,351.1385
2019-09-30,351.1385
2019-09-27,351.1385
2019-09-26,351.1385
2019-09-25,351.1385
2019-09-24,349.9130
2019-09-23,349.9130
2019-09-20,349.9130
