Dates,WMA Values
2022-01-10,217.5364
2022-01-07,217.6970
2022-01-06,217.7976
2022-01-05,217.9409
2022-01-04,218.0684
2022-01-03,218.1922
2021-12-31,218.3759
2021-12-30,218.6273
2021-12-29,218.8679
2021-12-28,219.1016
2021-12-27,219.3137
2021-12-23,219.5586
2021-12-22,219.7954
2021-12-21,220.0595
2021-12-20,220.3468
2021-12-17,220.7456
2021-12-16,221.1048
2021-12-15,221.4839
2021-12-14,221.8184
2021-12-13,222.1537
2021-12-10,222.4714
2021-12-09,222.7132
2021-12-08,222.9306
2021-12-07,223.1144
2021-12-06,223.3203
2021-12-03,223.5558
2021-12-02,223.8658
2021-12-01,224.1374
2021-11-30,224.5516
2021-11-29,224.8706
2021-11-26,225.1837
2021-11-24,225.4904
2021-11-23,225.6838
2021-11-22,225.8921
2021-11-19,226.0929
2021-11-18,226.2512
2021-11-17,226.2782
2021-11-16,226.3105
2021-11-15,226.3497
2021-11-12,226.3146
2021-11-11,226.3988
2021-11-10,226.4976
2021-11-09,226.6039
2021-11-08,226.6866
2021-11-05,226.7495
2021-11-04,226.7937
2021-11-03,226.9514
2021-11-02,227.1055
2021-11-01,227.2655
2021-10-29,227.4071
2021-10-28,227.6239
2021-10-27,227.8325
2021-10-26,228.0536
2021-10-25,228.2427
2021-10-22,228.4011
2021-10-21,228.5586
2021-10-20,228.7023
2021-10-19,228.8275
2021-10-18,228.9541
2021-10-15,229.0704
2021-10-14,229.1862
2021-10-13,229.2979
2021-10-12,229.3661
2021-10-11,229.4162
2021-10-08,229.4374
2021-10-07,229.4587
2021-10-06,229.4788
2021-10-05,229.5134
2021-10-04,229.5536
2021-10-01,229.6002
2021-09-30,229.6249
2021-09-29,229.7103
2021-09-28,229.7421
2021-09-27,229.8438
2021-09-24,229.8887
2021-09-23,229.9619
2021-09-22,230.0389
2021-09-21,230.1576
2021-09-20,230.3621
2021-09-17,230.5574
2021-09-16,230.7142
2021-09-15,230.8710
2021-09-14,231.0193
2021-09-13,231.1942
2021-09-10,231.3404
2021-09-09,231.5283
2021-09-08,231.6792
2021-09-07,231.8554
2021-09-03,232.0025
2021-09-02,232.1101
2021-09-01,232.1903
2021-08-31,232.2960
2021-08-30,232.3858
2021-08-27,232.4921
2021-08-26,232.5561
2021-08-25,232.6705
2021-08-24,232.7366
2021-08-23,232.7956
2021-08-20,232.8714
2021-08-19,233.0112
2021-08-18,233.1530
2021-08-17,233.2229
2021-08-16,233.2572
2021-08-13,233.2194
2021-08-12,233.1239
2021-08-11,232.9875
2021-08-10,232.8345
2021-08-09,232.7151
2021-08-06,232.6272
2021-08-05,232.5455
2021-08-04,232.4745
2021-08-03,232.4335
2021-08-02,232.3648
2021-07-30,232.3303
2021-07-29,232.2813
2021-07-28,232.1778
2021-07-27,232.0717
2021-07-26,232.0555
2021-07-23,232.0006
2021-07-22,231.9856
2021-07-21,231.9747
2021-07-20,231.9445
2021-07-19,231.9654
2021-07-16,232.0854
2021-07-15,232.0957
2021-07-14,232.0532
2021-07-13,231.9905
2021-07-12,231.8864
2021-07-09,231.6776
2021-07-08,231.4517
2021-07-07,231.2499
2021-07-06,231.0942
2021-07-02,230.8917
2021-07-01,230.6804
2021-06-30,230.4350
2021-06-29,230.1876
2021-06-28,229.9742
2021-06-25,229.7149
2021-06-24,229.3675
2021-06-23,228.9939
2021-06-22,228.6863
2021-06-21,228.3728
2021-06-18,228.0410
2021-06-17,227.7848
2021-06-16,227.5066
2021-06-15,227.1948
2021-06-14,226.8369
2021-06-11,226.4893
2021-06-10,226.1167
2021-06-09,225.7302
2021-06-08,225.3424
2021-06-07,224.9037
2021-06-04,224.4619
2021-06-03,224.0434
2021-06-02,223.6170
2021-06-01,223.1339
2021-05-28,222.6558
2021-05-27,222.2508
2021-05-26,221.8057
2021-05-25,221.4504
2021-05-24,221.0978
2021-05-21,220.7748
2021-05-20,220.4748
2021-05-19,220.2431
2021-05-18,220.0404
2021-05-17,219.8032
2021-05-14,219.5583
2021-05-13,219.3055
2021-05-12,219.1081
2021-05-11,218.9267
2021-05-10,218.6620
2021-05-07,218.3541
2021-05-06,218.0182
2021-05-05,217.7361
2021-05-04,217.4675
2021-05-03,217.1418
2021-04-30,216.7978
2021-04-29,216.4602
2021-04-28,216.1037
2021-04-27,215.7489
2021-04-26,215.3212
2021-04-23,214.9003
2021-04-22,214.5070
2021-04-21,214.1513
2021-04-20,213.7773
2021-04-19,213.4192
2021-04-16,212.9575
2021-04-15,212.4524
2021-04-14,211.9155
2021-04-13,211.3612
2021-04-12,210.7947
2021-04-09,210.2620
2021-04-08,209.6977
2021-04-07,209.1044
2021-04-06,208.5313
2021-04-05,207.9294
2021-04-01,207.2825
2021-03-31,206.6965
2021-03-30,206.0898
2021-03-29,205.5070
2021-03-26,204.9350
2021-03-25,204.4171
2021-03-24,203.8747
2021-03-23,203.4109
2021-03-22,202.9253
2021-03-19,202.3371
2021-03-18,201.6992
2021-03-17,201.0537
2021-03-16,200.3277
2021-03-15,199.6797
2021-03-12,198.9222
2021-03-11,198.1233
2021-03-10,197.4901
2021-03-09,196.9179
2021-03-08,196.4877
2021-03-05,196.1184
2021-03-04,195.7525
2021-03-03,195.3674
2021-03-02,194.9386
2021-03-01,194.5587
2021-02-26,194.1613
2021-02-25,193.8827
2021-02-24,193.5556
2021-02-23,193.0954
2021-02-22,192.8025
2021-02-19,192.4974
2021-02-18,192.1421
2021-02-17,191.8725
2021-02-16,191.5286
2021-02-12,191.1645
2021-02-11,190.8585
2021-02-10,190.5517
2021-02-09,190.2283
2021-02-08,189.8687
2021-02-05,189.5370
2021-02-04,189.2416
2021-02-03,188.9156
2021-02-02,188.6187
2021-02-01,188.3837
2021-01-29,188.1964
2021-01-28,188.0231
2021-01-27,187.8167
2021-01-26,187.6399
2021-01-25,187.3807
2021-01-22,187.1057
2021-01-21,186.8028
2021-01-20,186.4814
2021-01-19,186.1155
2021-01-15,185.7526
2021-01-14,185.4496
2021-01-13,185.0880
2021-01-12,184.7505
2021-01-11,184.3987
2021-01-08,184.0618
2021-01-07,183.6914
2021-01-06,183.2887
2021-01-05,182.8976
2021-01-04,182.4947
2020-12-31,182.1752
2020-12-30,181.7373
2020-12-29,181.2688
2020-12-28,180.8002
2020-12-24,180.3309
2020-12-23,179.8480
2020-12-22,179.3382
2020-12-21,178.8381
2020-12-18,178.3332
2020-12-17,177.8260
2020-12-16,177.3059
2020-12-15,176.7425
2020-12-14,176.1456
2020-12-11,175.5605
2020-12-10,174.9606
2020-12-09,174.3226
2020-12-08,173.7117
2020-12-07,173.0594
2020-12-04,172.3951
2020-12-03,171.7900
2020-12-02,171.1452
2020-12-01,170.6389
2020-11-30,170.2467
2020-11-27,169.8839
2020-11-25,169.4697
2020-11-24,169.0508
2020-11-23,168.6294
2020-11-20,168.2837
2020-11-19,168.0632
2020-11-18,167.7892
2020-11-17,167.5450
2020-11-16,167.2389
2020-11-13,167.0144
2020-11-12,166.9486
2020-11-11,166.9933
2020-11-10,166.9908
2020-11-09,166.9296
2020-11-06,166.9679
2020-11-05,167.2294
2020-11-04,167.5053
2020-11-03,167.8433
2020-11-02,168.1691
2020-10-30,168.5537
2020-10-29,168.9895
