Dates,RSI Values
2021-02-19,59.7547
2021-02-18,48.3910
2021-02-17,60.4136
2021-02-16,63.7761
2021-02-12,55.4390
2021-02-11,54.9575
2021-02-10,57.1459
2021-02-09,62.8681
2021-02-08,59.2282
2021-02-05,54.0920
2021-02-04,58.5684
2021-02-03,54.5048
2021-02-02,44.8417
2021-02-01,35.0201
2021-01-29,31.4669
2021-01-28,34.6046
2021-01-27,27.7824
2021-01-26,36.3456
2021-01-25,38.0546
2021-01-22,41.3966
2021-01-21,43.5771
2021-01-20,49.6314
2021-01-19,48.4507
2021-01-15,36.9684
2021-01-14,44.8304
2021-01-13,39.2105
2021-01-12,40.8760
2021-01-11,37.6586
2021-01-08,41.5668
2021-01-07,45.3981
2021-01-06,42.5488
2021-01-05,43.2746
2021-01-04,26.5219
2020-12-31,40.0807
2020-12-30,44.8279
2020-12-29,43.8650
2020-12-28,43.5270
2020-12-24,45.1475
2020-12-23,49.0889
2020-12-22,47.6143
2020-12-21,48.3483
2020-12-18,48.9117
2020-12-17,50.7127
2020-12-16,56.5346
2020-12-15,61.5179
2020-12-14,60.7633
2020-12-11,62.9211
2020-12-10,68.1428
2020-12-09,66.7053
2020-12-08,72.2920
2020-12-07,74.2782
2020-12-04,71.9077
2020-12-03,77.1715
2020-12-02,71.6103
2020-12-01,65.4617
2020-11-30,63.9716
2020-11-27,70.9020
2020-11-25,72.2525
2020-11-24,73.2481
2020-11-23,70.3390
2020-11-20,64.3723
2020-11-19,70.8921
2020-11-18,69.8142
2020-11-17,77.1358
2020-11-16,74.3971
2020-11-13,67.3652
2020-11-12,60.7769
2020-11-11,67.1535
2020-11-10,75.7708
2020-11-09,70.9914
2020-11-06,50.7168
2020-11-05,49.7668
2020-11-04,41.1978
2020-11-03,43.6788
2020-11-02,34.8515
2020-10-30,26.1695
2020-10-29,29.4406
2020-10-28,29.1340
2020-10-27,35.7525
2020-10-26,42.6119
2020-10-23,53.3788
2020-10-22,56.7589
2020-10-21,47.6731
2020-10-20,54.3397
2020-10-19,54.1176
2020-10-16,54.5585
2020-10-15,49.7871
