Dates,ULTOSC Values
2021-10-26,32.6751
2021-10-25,33.3358
2021-10-22,34.4444
2021-10-21,34.1152
2021-10-20,36.2154
2021-10-19,34.1165
2021-10-18,35.6913
2021-10-15,37.4021
2021-10-14,39.0082
2021-10-13,41.5995
2021-10-12,45.9938
2021-10-11,47.3849
2021-10-08,52.3129
2021-10-07,50.5094
2021-10-06,50.5221
2021-10-05,46.5067
2021-10-04,48.5784
2021-10-01,53.2899
2021-09-30,49.2440
2021-09-29,51.9736
2021-09-28,49.8999
2021-09-27,50.8944
2021-09-24,54.7683
2021-09-23,49.8604
2021-09-22,49.5212
2021-09-21,37.4037
2021-09-20,40.8446
2021-09-17,37.8472
2021-09-16,38.7883
2021-09-15,39.0180
2021-09-14,35.9145
2021-09-13,36.7092
2021-09-10,35.1955
2021-09-09,36.5048
2021-09-08,37.8314
2021-09-07,36.5922
2021-09-03,37.7721
2021-09-02,39.7182
2021-09-01,43.7031
2021-08-31,46.0753
2021-08-30,42.1924
2021-08-27,43.9575
2021-08-26,38.8724
2021-08-25,41.0670
2021-08-24,38.0763
2021-08-23,36.4568
2021-08-20,35.0356
2021-08-19,36.3737
2021-08-18,43.0274
2021-08-17,45.7425
2021-08-16,51.6466
2021-08-13,51.2586
2021-08-12,61.3266
2021-08-11,58.9097
2021-08-10,52.4938
2021-08-09,49.0131
2021-08-06,49.3876
2021-08-05,47.5067
2021-08-04,48.2159
2021-08-03,49.9920
2021-08-02,43.7610
2021-07-30,48.0989
2021-07-29,56.1536
2021-07-28,53.1766
2021-07-27,50.0707
2021-07-26,49.4348
2021-07-23,42.8214
2021-07-22,40.2291
2021-07-21,39.1548
2021-07-20,37.5229
2021-07-19,33.9425
2021-07-16,35.1227
2021-07-15,38.9547
2021-07-14,41.4088
2021-07-13,44.4021
2021-07-12,53.8726
2021-07-09,50.6870
2021-07-08,44.8464
2021-07-07,33.9250
2021-07-06,41.2092
2021-07-02,38.1165
2021-07-01,38.0864
2021-06-30,43.8957
2021-06-29,40.8532
2021-06-28,45.2389
2021-06-25,48.9846
2021-06-24,53.0630
2021-06-23,44.3274
2021-06-22,44.5628
2021-06-21,38.6528
2021-06-18,28.7771
2021-06-17,29.1074
2021-06-16,34.7500
2021-06-15,37.3005
2021-06-14,35.0100
2021-06-11,37.3371
2021-06-10,45.5413
2021-06-09,50.2217
2021-06-08,59.0661
2021-06-07,59.5686
2021-06-04,57.5194
2021-06-03,60.6266
2021-06-02,66.3941
2021-06-01,67.4292
2021-05-28,63.6679
2021-05-27,61.5718
2021-05-26,60.3803
2021-05-25,62.7441
2021-05-24,59.3711
2021-05-21,52.3546
2021-05-20,49.1432
2021-05-19,43.4413
2021-05-18,46.4561
2021-05-17,49.2439
2021-05-14,44.7273
2021-05-13,43.6483
2021-05-12,45.8366
2021-05-11,50.5718
2021-05-10,51.9565
2021-05-07,53.9986
2021-05-06,49.6583
2021-05-05,47.6217
2021-05-04,54.5691
2021-05-03,47.0060
2021-04-30,51.0963
2021-04-29,46.9411
2021-04-28,44.3019
2021-04-27,46.2317
2021-04-26,44.1914
2021-04-23,40.9855
2021-04-22,41.3564
2021-04-21,44.5517
2021-04-20,41.2725
2021-04-19,50.6179
2021-04-16,51.7033
2021-04-15,51.4352
2021-04-14,57.4819
2021-04-13,57.6616
2021-04-12,51.9369
2021-04-09,51.9244
2021-04-08,52.7419
2021-04-07,46.6065
2021-04-06,55.2262
2021-04-05,52.3968
2021-04-01,45.3055
2021-03-31,46.6178
2021-03-30,47.8345
2021-03-29,44.9984
2021-03-26,48.0354
2021-03-25,45.3775
2021-03-24,34.8639
2021-03-23,44.5519
2021-03-22,48.3283
2021-03-19,54.1884
2021-03-18,55.6281
2021-03-17,57.6455
2021-03-16,53.4501
2021-03-15,56.4089
2021-03-12,60.7395
2021-03-11,53.7853
2021-03-10,56.2746
2021-03-09,48.1098
2021-03-08,42.8074
2021-03-05,50.3916
2021-03-04,50.0860
2021-03-03,51.1668
2021-03-02,54.0535
2021-03-01,53.6802
2021-02-26,49.6843
2021-02-25,55.2548
2021-02-24,62.4245
2021-02-23,52.7890
2021-02-22,48.8123
2021-02-19,55.7819
2021-02-18,50.2151
2021-02-17,53.1596
2021-02-16,53.2604
2021-02-12,51.1587
2021-02-11,53.2104
2021-02-10,55.0281
2021-02-09,54.2927
2021-02-08,50.0776
2021-02-05,44.7702
2021-02-04,43.5584
2021-02-03,43.0898
2021-02-02,38.4846
2021-02-01,34.7750
2021-01-29,32.3784
2021-01-28,39.3221
2021-01-27,35.4629
2021-01-26,38.0907
2021-01-25,44.2793
2021-01-22,42.8046
2021-01-21,44.7972
2021-01-20,45.9826
2021-01-19,46.5693
2021-01-15,39.9800
2021-01-14,48.0074
2021-01-13,43.0605
2021-01-12,41.6770
2021-01-11,41.1724
2021-01-08,35.9263
2021-01-07,35.1583
2021-01-06,34.7825
2021-01-05,35.2103
2021-01-04,24.8247
2020-12-31,37.1924
2020-12-30,37.8031
2020-12-29,33.2556
2020-12-28,33.4146
2020-12-24,37.6667
2020-12-23,35.1730
2020-12-22,37.2574
2020-12-21,43.1351
2020-12-18,36.8158
2020-12-17,37.2836
2020-12-16,40.7498
2020-12-15,42.9927
2020-12-14,45.9740
2020-12-11,55.1544
2020-12-10,55.4717
2020-12-09,52.3330
2020-12-08,51.8737
2020-12-07,54.6990
2020-12-04,56.9499
2020-12-03,61.7229
2020-12-02,55.6874
2020-12-01,49.8646
2020-11-30,44.9333
2020-11-27,52.7662
2020-11-25,58.2285
2020-11-24,60.8250
2020-11-23,57.9829
2020-11-20,53.0658
2020-11-19,57.0172
2020-11-18,59.6350
2020-11-17,69.5308
2020-11-16,66.3213
2020-11-13,59.3501
2020-11-12,54.7424
2020-11-11,60.2691
2020-11-10,63.9101
2020-11-09,62.9321
2020-11-06,49.3233
2020-11-05,43.3583
2020-11-04,36.7390
2020-11-03,39.8631
2020-11-02,38.9729
2020-10-30,31.4157
2020-10-29,30.7752
2020-10-28,28.9126
2020-10-27,34.1240
2020-10-26,43.0614
2020-10-23,43.8045
2020-10-22,42.0296
2020-10-21,38.0192
2020-10-20,39.6664
2020-10-19,43.3155
2020-10-16,48.1461
2020-10-15,41.9470
2020-10-14,41.0076
2020-10-13,43.9930
2020-10-12,45.4630
2020-10-09,43.7923
2020-10-08,44.3893
2020-10-07,44.7624
2020-10-06,47.4814
2020-10-05,56.1276
2020-10-02,49.1771
2020-10-01,46.8441
2020-09-30,47.3248
2020-09-29,45.3247
2020-09-28,48.5041
2020-09-25,43.8845
2020-09-24,35.2886
2020-09-23,39.6847
2020-09-22,46.9180
2020-09-21,44.6266
2020-09-18,46.2593
2020-09-17,47.8235
2020-09-16,45.9870
2020-09-15,37.4829
2020-09-14,42.0522
2020-09-11,39.5263
2020-09-10,35.5477
2020-09-09,40.4533
2020-09-08,36.7356
2020-09-04,40.5265
2020-09-03,33.5361
2020-09-02,48.4788
2020-09-01,44.0816
2020-08-31,44.7864
2020-08-28,43.9724
2020-08-27,43.0479
2020-08-26,42.9368
2020-08-25,47.0538
2020-08-24,49.3775
2020-08-21,37.5879
2020-08-20,37.3238
2020-08-19,40.1382
2020-08-18,42.4581
2020-08-17,42.2302
2020-08-14,49.8620
2020-08-13,46.7100
2020-08-12,50.8026
2020-08-11,52.4356
2020-08-10,57.5381
2020-08-07,49.4100
2020-08-06,50.7214
2020-08-05,49.7378
2020-08-04,39.4221
2020-08-03,37.6169
2020-07-31,33.4427
2020-07-30,35.5871
2020-07-29,38.6176
2020-07-28,36.1343
2020-07-27,33.5891
2020-07-24,38.1266
2020-07-23,46.1626
2020-07-22,46.0417
2020-07-21,46.9349
2020-07-20,42.7689
2020-07-17,46.5992
2020-07-16,46.1482
2020-07-15,53.1381
2020-07-14,45.9039
2020-07-13,39.5751
2020-07-10,40.8671
2020-07-09,46.1386
2020-07-08,48.3239
2020-07-07,47.3676
2020-07-06,47.7167
2020-07-02,47.2538
2020-07-01,53.4499
2020-06-30,52.5040
2020-06-29,55.2628
2020-06-26,41.9448
2020-06-25,44.3290
2020-06-24,48.4205
2020-06-23,58.0302
2020-06-22,50.4785
2020-06-19,47.2747
2020-06-18,47.9412
2020-06-17,52.2060
2020-06-16,54.0365
2020-06-15,56.3757
2020-06-12,56.5688
2020-06-11,52.6536
2020-06-10,62.1737
2020-06-09,64.7930
2020-06-08,67.1743
2020-06-05,65.0409
2020-06-04,67.5498
2020-06-03,65.8698
2020-06-02,56.3011
2020-06-01,55.7419
2020-05-29,49.3817
2020-05-28,57.5757
2020-05-27,62.5571
2020-05-26,60.5215
2020-05-22,55.7444
2020-05-21,53.5580
2020-05-20,50.4492
2020-05-19,51.8065
2020-05-18,57.4622
2020-05-15,45.9521
2020-05-14,43.2218
2020-05-13,39.3868
2020-05-12,36.0079
2020-05-11,42.1766
2020-05-08,43.3683
2020-05-07,40.5061
2020-05-06,41.1610
2020-05-05,40.0517
2020-05-04,44.4364
