Dates,TEMA Values
2022-01-10,204.0091
2022-01-07,203.4925
2022-01-06,202.1827
2022-01-05,201.2829
2022-01-04,200.1071
2022-01-03,198.7773
2021-12-31,198.0576
2021-12-30,198.0939
2021-12-29,197.9780
2021-12-28,197.7517
2021-12-27,197.2204
2021-12-23,197.0247
2021-12-22,196.7020
2021-12-21,196.6810
2021-12-20,196.9429
2021-12-17,198.5975
2021-12-16,199.8986
2021-12-15,201.5494
2021-12-14,202.7840
2021-12-13,204.1266
2021-12-10,205.3609
2021-12-09,205.7717
2021-12-08,205.9225
2021-12-07,205.6731
2021-12-06,205.6853
2021-12-03,206.0730
2021-12-02,207.4106
2021-12-01,208.3944
2021-11-30,211.2083
2021-11-29,213.0805
2021-11-26,215.0344
2021-11-24,217.0675
2021-11-23,217.8766
2021-11-22,218.9344
2021-11-19,219.9859
2021-11-18,220.6060
2021-11-17,219.6697
2021-11-16,218.7331
2021-11-15,217.8204
2021-11-12,215.9415
2021-11-11,215.3967
2021-11-10,215.0053
2021-11-09,214.6947
2021-11-08,214.0840
2021-11-05,213.1981
2021-11-04,212.0290
2021-11-03,212.1722
2021-11-02,212.2940
2021-11-01,212.5101
2021-10-29,212.5322
2021-10-28,213.4905
2021-10-27,214.4368
2021-10-26,215.6215
2021-10-25,216.5196
2021-10-22,217.1238
2021-10-21,217.7716
2021-10-20,218.3108
2021-10-19,218.6754
2021-10-18,219.0995
2021-10-15,219.4395
2021-10-14,219.8044
2021-10-13,220.1545
2021-10-12,220.0059
2021-10-11,219.6298
2021-10-08,218.8744
2021-10-07,218.0694
2021-10-06,217.1933
2021-10-05,216.4349
2021-10-04,215.6923
2021-10-01,214.9751
2021-09-30,213.9388
2021-09-29,213.5710
2021-09-28,212.5219
2021-09-27,212.2515
2021-09-24,211.2695
2021-09-23,210.5620
2021-09-22,209.8489
2021-09-21,209.6001
2021-09-20,210.3873
2021-09-17,211.1374
2021-09-16,211.4956
2021-09-15,211.9020
2021-09-14,212.2554
2021-09-13,212.9812
2021-09-10,213.4290
2021-09-09,214.4439
2021-09-08,215.1146
2021-09-07,216.1713
2021-09-03,216.9818
2021-09-02,217.3938
2021-09-01,217.5301
2021-08-31,218.0254
2021-08-30,218.4086
2021-08-27,219.0644
2021-08-26,219.2890
2021-08-25,220.1904
2021-08-24,220.6264
2021-08-23,221.0642
2021-08-20,221.8011
2021-08-19,223.4370
2021-08-18,225.2831
2021-08-17,226.4551
2021-08-16,227.3393
2021-08-13,227.4680
2021-08-12,226.9550
2021-08-11,225.9536
2021-08-10,224.7199
2021-08-09,223.8510
