Dates,PLUS_DM Values
2021-10-06,381.7064
2021-10-05,383.6246
2021-10-04,385.5523
2021-10-01,386.2328
2021-09-30,387.6008
2021-09-29,389.5485
2021-09-28,386.1162
2021-09-27,388.0565
2021-09-24,383.7854
2021-09-23,385.7140
2021-09-22,382.9990
2021-09-21,378.6623
2021-09-20,380.5651
2021-09-17,382.4775
2021-09-16,384.3995
2021-09-15,384.3613
2021-09-14,386.2928
2021-09-13,387.7616
2021-09-10,389.7101
2021-09-09,391.6685
2021-09-08,393.1040
2021-09-07,395.0794
2021-09-03,397.0647
2021-09-02,399.0600
2021-09-01,398.9749
2021-08-31,400.5426
2021-08-30,402.5554
2021-08-27,404.5783
2021-08-26,406.6113
2021-08-25,408.6546
2021-08-24,410.7082
2021-08-23,409.8373
2021-08-20,406.4294
2021-08-19,408.4717
2021-08-18,410.5244
2021-08-17,412.5873
2021-08-16,414.6606
2021-08-13,416.7443
2021-08-12,418.8385
2021-08-11,419.3754
2021-08-10,418.7290
2021-08-09,417.5390
2021-08-06,419.6372
2021-08-05,419.7058
2021-08-04,421.8148
2021-08-03,420.6682
2021-08-02,422.7821
2021-07-30,424.9066
2021-07-29,427.0418
2021-07-28,429.1878
2021-07-27,419.4952
2021-07-26,421.6033
2021-07-23,422.2235
2021-07-22,421.9532
2021-07-21,424.0736
2021-07-20,419.4508
2021-07-19,415.7094
2021-07-16,417.7984
2021-07-15,419.8979
2021-07-14,422.0079
2021-07-13,424.1286
2021-07-12,426.2599
2021-07-09,428.0099
2021-07-08,427.2361
2021-07-07,429.3830
2021-07-06,431.5407
2021-07-02,433.7093
2021-07-01,435.8887
2021-06-30,437.4459
2021-06-29,439.6442
2021-06-28,441.8534
2021-06-25,444.0738
2021-06-24,444.7375
2021-06-23,443.0829
2021-06-22,443.0582
2021-06-21,445.2846
2021-06-18,441.1805
2021-06-17,443.3975
2021-06-16,445.6256
2021-06-15,447.8650
2021-06-14,450.1155
2021-06-11,452.3774
2021-06-10,454.6507
2021-06-09,454.9554
2021-06-08,457.2417
2021-06-07,456.4136
2021-06-04,457.3001
2021-06-03,459.5981
2021-06-02,461.9077
2021-06-01,461.4592
2021-05-28,457.0847
2021-05-27,459.3816
2021-05-26,451.5292
2021-05-25,453.7982
2021-05-24,450.7721
2021-05-21,450.8262
2021-05-20,445.1911
2021-05-19,444.0926
2021-05-18,446.3242
2021-05-17,444.5418
2021-05-14,446.7756
2021-05-13,449.0207
2021-05-12,451.2771
2021-05-11,453.5448
2021-05-10,455.8240
2021-05-07,452.8885
2021-05-06,450.4005
2021-05-05,452.6638
2021-05-04,454.9385
2021-05-03,457.2246
2021-04-30,459.1906
2021-04-29,461.4981
2021-04-28,463.8172
2021-04-27,466.1479
2021-04-26,468.4904
2021-04-23,464.7441
2021-04-22,467.0795
2021-04-21,466.5222
2021-04-20,468.8665
2021-04-19,471.2226
2021-04-16,473.5906
2021-04-15,475.9704
2021-04-14,478.3623
2021-04-13,476.8639
2021-04-12,476.3081
2021-04-09,478.7016
2021-04-08,481.1072
2021-04-07,483.5248
2021-04-06,485.9546
2021-04-05,488.3965
2021-04-01,488.2377
2021-03-31,490.6912
2021-03-30,488.7550
2021-03-29,491.2110
2021-03-26,489.8503
2021-03-25,488.9751
2021-03-24,491.4323
2021-03-23,493.9018
2021-03-22,496.3837
2021-03-19,498.8781
2021-03-18,501.3851
2021-03-17,500.1264
2021-03-16,502.6396
2021-03-15,505.1654
2021-03-12,498.8124
2021-03-11,488.1833
2021-03-10,480.7370
2021-03-09,470.3487
2021-03-08,468.5213
2021-03-05,470.8757
2021-03-04,473.2419
2021-03-03,475.6200
2021-03-02,469.7588
2021-03-01,471.9083
2021-02-26,467.9280
2021-02-25,470.2794
2021-02-24,472.6426
2021-02-23,460.0830
2021-02-22,462.3950
2021-02-19,461.9548
2021-02-18,460.9596
2021-02-17,463.2759
2021-02-16,464.2874
2021-02-12,462.3592
2021-02-11,464.6826
2021-02-10,467.0177
2021-02-09,468.6007
2021-02-08,466.1916
2021-02-05,468.5343
2021-02-04,470.8887
2021-02-03,468.9133
2021-02-02,466.1139
2021-02-01,462.7778
2021-01-29,465.1033
2021-01-28,467.4405
2021-01-27,468.8347
2021-01-26,471.1906
2021-01-25,468.9855
2021-01-22,471.3423
2021-01-21,473.7108
2021-01-20,476.0913
2021-01-19,474.3932
2021-01-15,474.4957
2021-01-14,476.8801
2021-01-13,473.8494
2021-01-12,476.2305
2021-01-11,477.3371
2021-01-08,479.7358
2021-01-07,482.1465
2021-01-06,483.5744
2021-01-05,483.7330
2021-01-04,482.9980
2020-12-31,485.4252
2020-12-30,487.8645
2020-12-29,490.3161
2020-12-28,490.2875
2020-12-24,492.7513
2020-12-23,495.2274
2020-12-22,497.2012
2020-12-21,495.2173
2020-12-18,497.7058
2020-12-17,500.2068
2020-12-16,502.7205
2020-12-15,505.2467
2020-12-14,507.7856
2020-12-11,508.9202
2020-12-10,511.4776
2020-12-09,514.0478
2020-12-08,516.6310
2020-12-07,519.2271
2020-12-04,515.9066
2020-12-03,518.4991
2020-12-02,504.0091
2020-12-01,499.6071
2020-11-30,501.8061
2020-11-27,504.3277
2020-11-25,506.8620
2020-11-24,509.4091
2020-11-23,503.1849
2020-11-20,498.0452
2020-11-19,500.5480
2020-11-18,503.0633
2020-11-17,493.7118
2020-11-16,487.8913
2020-11-13,474.5943
2020-11-12,474.2857
2020-11-11,476.6690
2020-11-10,479.0644
2020-11-09,471.9340
2020-11-06,448.1850
2020-11-05,449.5929
2020-11-04,449.6110
2020-11-03,451.2874
2020-11-02,448.2989
2020-10-30,450.1294
2020-10-29,452.3914
2020-10-28,454.6647
2020-10-27,456.9495
2020-10-26,459.2457
2020-10-23,461.5535
2020-10-22,463.2397
2020-10-21,463.5575
2020-10-20,465.8869
2020-10-19,468.2280
2020-10-16,470.5809
2020-10-15,464.0210
2020-10-14,466.3528
2020-10-13,468.6963
2020-10-12,471.0515
2020-10-09,473.4186
2020-10-08,473.8780
2020-10-07,474.5053
2020-10-06,476.8897
2020-10-05,479.2861
2020-10-02,479.3830
2020-10-01,481.7920
2020-09-30,482.4241
2020-09-29,479.3408
2020-09-28,481.7496
2020-09-25,472.4233
2020-09-24,468.7655
2020-09-23,471.1211
2020-09-22,473.4886
2020-09-21,474.6239
2020-09-18,477.0089
2020-09-17,478.1346
2020-09-16,480.5373
2020-09-15,482.9521
2020-09-14,482.4644
2020-09-11,480.2850
2020-09-10,482.6985
2020-09-09,484.4005
2020-09-08,486.8347
2020-09-04,489.2811
2020-09-03,491.7398
2020-09-02,488.3314
2020-09-01,490.7854
2020-08-31,493.2516
2020-08-28,495.7303
2020-08-27,498.2214
2020-08-26,493.8103
2020-08-25,496.2918
2020-08-24,496.4139
2020-08-21,490.6812
2020-08-20,493.1469
2020-08-19,495.6250
2020-08-18,497.2493
2020-08-17,499.7480
2020-08-14,502.2593
2020-08-13,504.7832
2020-08-12,507.3198
2020-08-11,509.8692
2020-08-10,502.2002
2020-08-07,496.7538
2020-08-06,499.2501
2020-08-05,501.1659
2020-08-04,496.0662
2020-08-03,494.7198
2020-07-31,497.2059
2020-07-30,499.7044
2020-07-29,502.2155
2020-07-28,504.7392
2020-07-27,507.2756
2020-07-24,509.8247
2020-07-23,512.3866
2020-07-22,514.9614
2020-07-21,517.5492
2020-07-20,514.0394
2020-07-17,516.6225
2020-07-16,519.2186
2020-07-15,521.8277
2020-07-14,516.1786
2020-07-13,518.7725
2020-07-10,517.4397
2020-07-09,520.0399
2020-07-08,522.6531
2020-07-07,525.2795
2020-07-06,527.9191
2020-07-02,528.9941
2020-07-01,531.6523
2020-06-30,532.1933
2020-06-29,534.8676
2020-06-26,516.8017
2020-06-25,519.3987
2020-06-24,522.0087
2020-06-23,524.6319
2020-06-22,525.8411
2020-06-19,528.4835
2020-06-18,531.1392
2020-06-17,533.8082
2020-06-16,536.4907
2020-06-15,524.0409
2020-06-12,524.7345
2020-06-11,527.3714
2020-06-10,530.0215
2020-06-09,532.6849
2020-06-08,535.3617
2020-06-05,522.5646
2020-06-04,494.8488
2020-06-03,482.4410
2020-06-02,466.8452
2020-06-01,466.8796
2020-05-29,467.6680
2020-05-28,470.0181
2020-05-27,465.2945
2020-05-26,463.8739
2020-05-22,461.3507
2020-05-21,463.6690
2020-05-20,457.1658
2020-05-19,459.4632
2020-05-18,460.9278
2020-05-15,448.8620
2020-05-14,451.1176
2020-05-13,453.3845
2020-05-12,455.6628
2020-05-11,457.9526
2020-05-08,460.2539
2020-05-07,457.7024
2020-05-06,456.1321
2020-05-05,458.4243
2020-05-04,458.4163
2020-05-01,460.7199
2020-04-30,463.0351
2020-04-29,465.3619
2020-04-28,457.6703
2020-04-27,453.9400
2020-04-24,456.2211
2020-04-23,458.5136
2020-04-22,459.2498
2020-04-21,461.5576
2020-04-20,463.8770
2020-04-17,466.2080
2020-04-16,457.7367
2020-04-15,460.0369
2020-04-14,462.3486
2020-04-13,464.6720
2020-04-09,467.0070
2020-04-08,465.3538
2020-04-07,467.6922
2020-04-06,454.8565
2020-04-03,438.6498
