Dates,HT_TRENDLINE Values
2021-01-27,211.9803
2021-01-26,212.9167
2021-01-25,213.7673
2021-01-22,214.8262
2021-01-21,215.8291
2021-01-20,216.4983
2021-01-19,217.0249
2021-01-15,217.7677
2021-01-14,218.5115
2021-01-13,219.4373
2021-01-12,220.3301
2021-01-11,221.4206
2021-01-08,222.3356
2021-01-07,223.0372
2021-01-06,223.3920
2021-01-05,223.6547
2021-01-04,223.6768
2020-12-31,223.5847
2020-12-30,223.2701
2020-12-29,222.5756
2020-12-28,221.4968
2020-12-24,219.9716
2020-12-23,217.9823
2020-12-22,215.3474
2020-12-21,212.6360
2020-12-18,209.4558
2020-12-17,206.2757
2020-12-16,202.4579
2020-12-15,198.9158
2020-12-14,195.9246
2020-12-11,192.8295
2020-12-10,190.4192
2020-12-09,188.4614
2020-12-08,187.0005
2020-12-07,185.7097
2020-12-04,184.2302
2020-12-03,182.9582
2020-12-02,181.9780
2020-12-01,181.4055
2020-11-30,180.6400
2020-11-27,179.6560
2020-11-25,178.1892
2020-11-24,176.7473
2020-11-23,174.7390
2020-11-20,172.6807
2020-11-19,170.4405
2020-11-18,167.7569
2020-11-17,165.4141
2020-11-16,163.3942
2020-11-13,161.9261
2020-11-12,160.9127
2020-11-11,159.9668
2020-11-10,159.0409
2020-11-09,158.3270
2020-11-06,158.1756
2020-11-05,158.4910
2020-11-04,159.0619
2020-11-03,159.8540
2020-11-02,160.9453
2020-10-30,162.3012
2020-10-29,163.7790
2020-10-28,164.7670
2020-10-27,165.4271
2020-10-26,165.7149
2020-10-23,165.7748
2020-10-22,165.9063
2020-10-21,165.9104
2020-10-20,165.9230
2020-10-19,165.7144
2020-10-16,165.3469
2020-10-15,164.8108
2020-10-14,163.9759
2020-10-13,163.0208
2020-10-12,162.3194
2020-10-09,161.7909
2020-10-08,161.5254
2020-10-07,161.5668
2020-10-06,161.5632
2020-10-05,161.3584
2020-10-02,160.9308
2020-10-01,160.6504
2020-09-30,160.7056
2020-09-29,161.1299
2020-09-28,161.6967
2020-09-25,162.5192
2020-09-24,163.5162
2020-09-23,164.5494
2020-09-22,165.5714
2020-09-21,166.3468
2020-09-18,167.1576
2020-09-17,167.6484
2020-09-16,167.9949
2020-09-15,168.5960
2020-09-14,169.3691
2020-09-11,170.1023
2020-09-10,170.7656
2020-09-09,171.5064
2020-09-08,172.1762
2020-09-04,172.8021
2020-09-03,173.1087
2020-09-02,173.4232
2020-09-01,173.6203
2020-08-31,173.6458
2020-08-28,173.4639
2020-08-27,173.0019
2020-08-26,172.2455
2020-08-25,171.4458
2020-08-24,170.6918
2020-08-21,170.5968
2020-08-20,170.9364
2020-08-19,171.3573
2020-08-18,171.8201
2020-08-17,171.9854
2020-08-14,171.9854
2020-08-13,171.9687
2020-08-12,172.0471
2020-08-11,172.2744
2020-08-10,172.5097
2020-08-07,172.6071
2020-08-06,172.7951
2020-08-05,173.0019
2020-08-04,173.4614
2020-08-03,174.3296
2020-07-31,175.3063
2020-07-30,176.4523
2020-07-29,177.4499
2020-07-28,178.4359
2020-07-27,179.1288
2020-07-24,179.6664
2020-07-23,179.9544
2020-07-22,179.7827
2020-07-21,179.8940
2020-07-20,180.3531
2020-07-17,181.1291
2020-07-16,181.8987
2020-07-15,182.5254
2020-07-14,183.1226
2020-07-13,183.8383
2020-07-10,184.5787
2020-07-09,185.5746
2020-07-08,186.9443
2020-07-07,189.0243
2020-07-06,190.3186
2020-07-02,190.3209
2020-07-01,189.3939
2020-06-30,187.5483
2020-06-29,184.7071
2020-06-26,182.2076
2020-06-25,179.6553
2020-06-24,177.1330
2020-06-23,175.0366
2020-06-22,172.3814
2020-06-19,169.4019
2020-06-18,166.1097
2020-06-17,162.3574
2020-06-16,159.5160
2020-06-15,156.8919
2020-06-12,154.4728
2020-06-11,152.1598
2020-06-10,149.6917
2020-06-09,146.5975
2020-06-08,143.6065
2020-06-05,140.0877
2020-06-04,137.1807
2020-06-03,135.2036
2020-06-02,133.9426
2020-06-01,133.0966
2020-05-29,132.3844
2020-05-28,131.7876
2020-05-27,131.0319
2020-05-26,130.4201
2020-05-22,130.0569
2020-05-21,129.6983
2020-05-20,129.4034
2020-05-19,129.3836
2020-05-18,129.6472
2020-05-15,130.2580
2020-05-14,131.2834
