Dates,ROCR Values
2021-12-17,0.9705
2021-12-16,0.9427
2021-12-15,1.0385
2021-12-14,0.9881
2021-12-13,0.9945
2021-12-10,1.0294
2021-12-09,0.9856
2021-12-08,1.0091
2021-12-07,0.9949
2021-12-06,0.9615
2021-12-03,0.8734
2021-12-02,0.8930
2021-12-01,0.8334
2021-11-30,0.8488
2021-11-29,0.8984
2021-11-26,0.9081
2021-11-24,0.9638
2021-11-23,0.9472
2021-11-22,0.9426
2021-11-19,0.9540
2021-11-18,1.0668
2021-11-17,1.0620
2021-11-16,1.0612
2021-11-15,1.0863
2021-11-12,1.0673
2021-11-11,1.0555
2021-11-10,1.0575
2021-11-09,1.0523
2021-11-08,1.0461
2021-11-05,1.0540
2021-11-04,0.9939
2021-11-03,0.9871
2021-11-02,0.9852
2021-11-01,0.9889
2021-10-29,0.9539
2021-10-28,0.9559
2021-10-27,0.9316
2021-10-26,0.9385
2021-10-25,0.9400
2021-10-22,0.9407
2021-10-21,0.9464
2021-10-20,0.9608
2021-10-19,0.9623
2021-10-18,0.9696
2021-10-15,0.9604
2021-10-14,0.9886
2021-10-13,0.9841
2021-10-12,1.0236
2021-10-11,1.0102
2021-10-08,1.0226
2021-10-07,1.0243
2021-10-06,1.0369
2021-10-05,1.0763
2021-10-04,1.0682
2021-10-01,1.0592
2021-09-30,1.0308
2021-09-29,1.0520
2021-09-28,1.0323
2021-09-27,1.0451
2021-09-24,1.0527
2021-09-23,1.0335
2021-09-22,1.0265
2021-09-21,0.9733
2021-09-20,0.9603
2021-09-17,0.9662
2021-09-16,0.9782
2021-09-15,0.9759
2021-09-14,0.9720
2021-09-13,0.9672
2021-09-10,0.9714
2021-09-09,0.9679
2021-09-08,0.9546
2021-09-07,0.9765
2021-09-03,1.0259
2021-09-02,1.0409
2021-09-01,0.9960
2021-08-31,0.9878
2021-08-30,0.9502
2021-08-27,0.9458
2021-08-26,0.9090
2021-08-25,0.9229
2021-08-24,0.9391
2021-08-23,0.9446
2021-08-20,0.9193
2021-08-19,0.9227
2021-08-18,0.9663
2021-08-17,0.9700
2021-08-16,1.0165
2021-08-13,1.0352
2021-08-12,1.0283
2021-08-11,1.0342
2021-08-10,1.0608
2021-08-09,1.0284
2021-08-06,1.0443
2021-08-05,1.0411
2021-08-04,1.0184
2021-08-03,1.0550
2021-08-02,1.0887
2021-07-30,1.0401
2021-07-29,1.0398
2021-07-28,1.0317
2021-07-27,0.9740
2021-07-26,0.9478
2021-07-23,0.9246
2021-07-22,0.9328
2021-07-21,0.9601
2021-07-20,0.9196
2021-07-19,0.8746
2021-07-16,0.9083
2021-07-15,0.9299
2021-07-14,0.9520
2021-07-13,0.9510
2021-07-12,0.9594
2021-07-09,0.9562
2021-07-08,0.9721
2021-07-07,0.9508
2021-07-06,0.9627
2021-07-02,0.9972
2021-07-01,1.0021
2021-06-30,0.9888
2021-06-29,0.9563
2021-06-28,0.9789
2021-06-25,1.0044
2021-06-24,1.0090
2021-06-23,0.9819
2021-06-22,0.9645
2021-06-21,0.9708
2021-06-18,0.9497
2021-06-17,0.9557
2021-06-16,0.9478
2021-06-15,0.9678
2021-06-14,0.9924
2021-06-11,0.9864
2021-06-10,1.0289
2021-06-09,1.0304
2021-06-08,1.0645
2021-06-07,1.0760
2021-06-04,1.0978
2021-06-03,1.1154
2021-06-02,1.1234
2021-06-01,1.1173
2021-05-28,1.0812
2021-05-27,1.1260
2021-05-26,1.0933
2021-05-25,1.0518
2021-05-24,1.0194
2021-05-21,0.9972
2021-05-20,0.9906
2021-05-19,0.9835
2021-05-18,0.9740
2021-05-17,0.9693
2021-05-14,0.9751
2021-05-13,0.9436
2021-05-12,0.9377
2021-05-11,0.9440
2021-05-10,0.9648
2021-05-07,0.9878
2021-05-06,0.9807
2021-05-05,0.9672
2021-05-04,0.9982
2021-05-03,0.9633
2021-04-30,0.9441
2021-04-29,0.9396
2021-04-28,0.9328
2021-04-27,0.9574
2021-04-26,0.9676
2021-04-23,0.9446
2021-04-22,0.9191
2021-04-21,0.9340
2021-04-20,0.9173
2021-04-19,0.9414
2021-04-16,0.9811
2021-04-15,0.9858
2021-04-14,1.0017
2021-04-13,1.0110
2021-04-12,1.0190
2021-04-09,1.0209
2021-04-08,1.0657
2021-04-07,1.0470
2021-04-06,1.0157
2021-04-05,1.0138
2021-04-01,0.9879
2021-03-31,0.9663
2021-03-30,0.9875
2021-03-29,0.9431
2021-03-26,0.9097
2021-03-25,0.9809
2021-03-24,0.9751
2021-03-23,1.0461
2021-03-22,1.1214
2021-03-19,1.1460
2021-03-18,1.1395
2021-03-17,1.1533
2021-03-16,1.1437
2021-03-15,1.1838
2021-03-12,1.2697
2021-03-11,1.1642
2021-03-10,1.0698
2021-03-09,1.0872
2021-03-08,1.0524
2021-03-05,1.0264
2021-03-04,1.0778
2021-03-03,1.0605
2021-03-02,1.0274
2021-03-01,1.0636
2021-02-26,1.0064
2021-02-25,1.0214
2021-02-24,1.0661
2021-02-23,1.0008
2021-02-22,1.0238
2021-02-19,1.0324
2021-02-18,1.0053
2021-02-17,1.0726
2021-02-16,1.1090
2021-02-12,1.0865
2021-02-11,1.0681
2021-02-10,1.0922
2021-02-09,1.0646
2021-02-08,1.0422
2021-02-05,1.0102
2021-02-04,1.0156
2021-02-03,0.9808
2021-02-02,0.9536
2021-02-01,0.9585
2021-01-29,0.9251
2021-01-28,0.9518
2021-01-27,0.9310
2021-01-26,0.9771
2021-01-25,0.9688
2021-01-22,0.9677
2021-01-21,0.9828
2021-01-20,0.9991
2021-01-19,1.0394
2021-01-15,0.9545
2021-01-14,0.9688
2021-01-13,0.9582
2021-01-12,0.9645
2021-01-11,0.9523
2021-01-08,0.9554
2021-01-07,0.9723
2021-01-06,0.9622
2021-01-05,0.9630
2021-01-04,0.9163
2020-12-31,0.9477
2020-12-30,0.9441
2020-12-29,0.9459
2020-12-28,0.9382
2020-12-24,0.9263
2020-12-23,0.9467
2020-12-22,0.9248
2020-12-21,0.9208
2020-12-18,0.9443
2020-12-17,0.9327
2020-12-16,1.0090
2020-12-15,1.0774
2020-12-14,1.0850
2020-12-11,1.0639
2020-12-10,1.0773
2020-12-09,1.0621
2020-12-08,1.1184
2020-12-07,1.1931
2020-12-04,1.1315
2020-12-03,1.1667
2020-12-02,1.0657
2020-12-01,1.0524
2020-11-30,1.1261
2020-11-27,1.2251
2020-11-25,1.1947
2020-11-24,1.1579
2020-11-23,1.1794
2020-11-20,1.2655
2020-11-19,1.3092
2020-11-18,1.3408
2020-11-17,1.3671
2020-11-16,1.3620
2020-11-13,1.2959
2020-11-12,1.1917
2020-11-11,1.2296
2020-11-10,1.2155
2020-11-09,1.1152
2020-11-06,0.9425
2020-11-05,0.9291
2020-11-04,0.9254
2020-11-03,0.9187
2020-11-02,0.8892
2020-10-30,0.8628
2020-10-29,0.9029
2020-10-28,0.9075
2020-10-27,0.9574
2020-10-26,0.9610
2020-10-23,1.0002
2020-10-22,1.0064
2020-10-21,0.9954
2020-10-20,1.0483
2020-10-19,0.9761
2020-10-16,0.9957
2020-10-15,0.9784
2020-10-14,0.9878
2020-10-13,0.9911
2020-10-12,1.0076
2020-10-09,1.0724
2020-10-08,1.1503
2020-10-07,1.0888
2020-10-06,1.0175
2020-10-05,1.0950
2020-10-02,1.0431
2020-10-01,1.0020
2020-09-30,0.9869
2020-09-29,1.0007
2020-09-28,1.0044
2020-09-25,0.9738
2020-09-24,0.9262
2020-09-23,0.9403
2020-09-22,0.9734
2020-09-21,0.9141
2020-09-18,0.9548
2020-09-17,0.9585
2020-09-16,0.9730
2020-09-15,0.9515
2020-09-14,0.9406
2020-09-11,0.9198
2020-09-10,0.9173
2020-09-09,0.9202
2020-09-08,0.9036
2020-09-04,1.0212
2020-09-03,0.9952
2020-09-02,1.0326
2020-09-01,1.0110
2020-08-31,0.9989
2020-08-28,0.9872
2020-08-27,0.9970
2020-08-26,0.9798
2020-08-25,0.9700
2020-08-24,0.9936
2020-08-21,0.9852
2020-08-20,0.9848
2020-08-19,0.9713
2020-08-18,1.0313
2020-08-17,1.0600
2020-08-14,1.1271
2020-08-13,1.0789
2020-08-12,1.0568
2020-08-11,1.0544
2020-08-10,1.0541
2020-08-07,0.9785
2020-08-06,0.9759
2020-08-05,0.9694
2020-08-04,0.9241
2020-08-03,0.9303
2020-07-31,0.8995
2020-07-30,0.9063
2020-07-29,0.8833
2020-07-28,0.9493
2020-07-27,0.9690
2020-07-24,0.9738
2020-07-23,1.0183
2020-07-22,0.9984
2020-07-21,0.9986
2020-07-20,0.9282
2020-07-17,0.9715
2020-07-16,0.9910
2020-07-15,1.0253
2020-07-14,0.9253
2020-07-13,1.0332
2020-07-10,1.0204
2020-07-09,0.9807
2020-07-08,0.9585
2020-07-07,0.9489
2020-07-06,1.0048
2020-07-02,0.9403
2020-07-01,0.9365
2020-06-30,0.9268
2020-06-29,1.0186
2020-06-26,0.8971
2020-06-25,1.0287
2020-06-24,0.8686
2020-06-23,0.8668
2020-06-22,0.8179
2020-06-19,0.9104
2020-06-18,1.0434
2020-06-17,1.1119
2020-06-16,1.2900
2020-06-15,1.2612
2020-06-12,1.2993
2020-06-11,1.1347
2020-06-10,1.3604
2020-06-09,1.4975
2020-06-08,1.6760
2020-06-05,1.4779
2020-06-04,1.3824
2020-06-03,1.3275
2020-06-02,1.1319
2020-06-01,1.2616
2020-05-29,1.1904
2020-05-28,1.2331
2020-05-27,1.1941
2020-05-26,1.1227
2020-05-22,1.0307
2020-05-21,1.0805
2020-05-20,1.0940
2020-05-19,1.0402
2020-05-18,1.0303
2020-05-15,0.8998
2020-05-14,0.8688
2020-05-13,0.8741
2020-05-12,0.9537
2020-05-11,1.0018
2020-05-08,1.0346
2020-05-07,0.9340
2020-05-06,0.9029
2020-05-05,0.9198
2020-05-04,0.9154
2020-05-01,0.8660
2020-04-30,1.0505
2020-04-29,0.9522
2020-04-28,0.9312
2020-04-27,0.8734
2020-04-24,0.8494
2020-04-23,0.9378
2020-04-22,0.9533
2020-04-21,0.9164
2020-04-20,1.1533
2020-04-17,1.2493
2020-04-16,1.0271
2020-04-15,0.9788
2020-04-14,0.9259
2020-04-13,0.9094
2020-04-09,0.8410
2020-04-08,0.9253
2020-04-07,1.1089
2020-04-06,1.4085
2020-04-03,1.3106
2020-04-02,1.2616
2020-04-01,1.2828
2020-03-31,1.2014
2020-03-30,1.1749
2020-03-27,0.9518
2020-03-26,1.1660
2020-03-25,0.8395
2020-03-24,0.5527
2020-03-23,0.4649
2020-03-20,0.3622
2020-03-19,0.3753
2020-03-18,0.3599
2020-03-17,0.4424
2020-03-16,0.4481
2020-03-13,0.6187
2020-03-12,0.5381
2020-03-11,0.6187
2020-03-10,0.7596
2020-03-09,0.7146
2020-03-06,0.7940
2020-03-05,0.7743
2020-03-04,0.8369
2020-03-03,0.8281
2020-03-02,0.8496
2020-02-28,0.8025
2020-02-27,0.8332
2020-02-26,0.8926
2020-02-25,0.8877
2020-02-24,0.9497
2020-02-21,0.9734
2020-02-20,1.0265
2020-02-19,1.0704
2020-02-18,1.0788
2020-02-14,1.0762
2020-02-13,1.0667
2020-02-12,1.0790
2020-02-11,1.0880
2020-02-10,1.0887
2020-02-07,1.0424
2020-02-06,1.0744
2020-02-05,1.0665
2020-02-04,1.0146
2020-02-03,0.9749
2020-01-31,0.9586
2020-01-30,0.9803
2020-01-29,0.9689
2020-01-28,0.9586
2020-01-27,0.9596
2020-01-24,0.9605
2020-01-23,0.9590
2020-01-22,0.9162
2020-01-21,0.9390
2020-01-17,0.9741
2020-01-16,0.9960
2020-01-15,1.0124
2020-01-14,1.0182
2020-01-13,1.0002
2020-01-10,1.0000
2020-01-09,1.0100
2020-01-08,0.9817
2020-01-07,1.0283
2020-01-06,1.0007
2020-01-03,1.0063
2020-01-02,1.0193
2019-12-31,0.9962
2019-12-30,0.9553
2019-12-27,0.9534
2019-12-26,0.9426
2019-12-24,0.9572
2019-12-23,0.9611
2019-12-20,0.9263
2019-12-19,0.9648
2019-12-18,0.9479
2019-12-17,0.9288
2019-12-16,0.9207
2019-12-13,0.9331
2019-12-12,0.9410
2019-12-11,0.9371
2019-12-10,0.9324
2019-12-09,0.9458
2019-12-06,0.9663
2019-12-05,0.9320
2019-12-04,0.9505
2019-12-03,0.9530
2019-12-02,0.9556
2019-11-29,0.9966
2019-11-27,1.0152
2019-11-26,1.0293
2019-11-25,1.0168
2019-11-22,1.0579
2019-11-21,1.0256
2019-11-20,1.0532
2019-11-19,1.0302
2019-11-18,1.0584
2019-11-15,1.0829
2019-11-14,1.0872
2019-11-13,1.0535
2019-11-12,1.0460
2019-11-11,1.0827
2019-11-08,1.0388
2019-11-07,1.0430
2019-11-06,1.0402
2019-11-05,1.0632
2019-11-04,1.0605
2019-11-01,1.0035
2019-10-31,0.9210
2019-10-30,0.9292
2019-10-29,0.9406
2019-10-28,0.9134
2019-10-25,0.9064
2019-10-24,0.9287
2019-10-23,0.9081
2019-10-22,0.9008
2019-10-21,0.8792
2019-10-18,0.9156
2019-10-17,0.9919
2019-10-16,1.0138
2019-10-15,0.9894
2019-10-14,0.9808
2019-10-11,0.9793
2019-10-10,0.9589
2019-10-09,0.9709
2019-10-08,0.9802
2019-10-07,0.9987
2019-10-04,0.9903
2019-10-03,0.9678
2019-10-02,0.9507
2019-10-01,0.9759
2019-09-30,1.0043
2019-09-27,1.0082
2019-09-26,1.0300
2019-09-25,1.0085
2019-09-24,1.0329
2019-09-23,1.0509
2019-09-20,1.0452
2019-09-19,1.0670
2019-09-18,1.0838
2019-09-17,1.0840
2019-09-16,1.0405
2019-09-13,1.0469
2019-09-12,1.0435
2019-09-11,1.0795
2019-09-10,1.0291
2019-09-09,1.0078
2019-09-06,1.0242
2019-09-05,1.0597
2019-09-04,1.0747
2019-09-03,1.0618
2019-08-30,1.1018
2019-08-29,1.1059
2019-08-28,1.1234
2019-08-27,1.0657
2019-08-26,1.0784
2019-08-23,1.0547
2019-08-22,1.0537
2019-08-21,1.0323
2019-08-20,1.0040
2019-08-19,1.0144
2019-08-16,0.9791
2019-08-15,0.9872
2019-08-14,0.9449
2019-08-13,0.9638
2019-08-12,0.9846
2019-08-09,0.9844
2019-08-08,0.9722
2019-08-07,0.9169
2019-08-06,0.8911
2019-08-05,0.8866
2019-08-02,0.8998
