Dates,MINUS_DI Values
2022-04-08,29.0969
2022-04-07,29.4155
2022-04-06,29.0566
2022-04-05,27.8928
2022-04-04,27.4303
2022-04-01,27.2863
2022-03-31,26.8381
2022-03-30,27.2908
2022-03-29,27.7464
2022-03-28,28.3715
2022-03-25,28.0712
2022-03-24,28.4338
2022-03-23,28.6918
2022-03-22,29.1529
2022-03-21,29.8045
2022-03-18,28.2183
2022-03-17,28.4665
2022-03-16,28.8432
2022-03-15,29.5930
2022-03-14,29.9848
2022-03-11,29.5397
2022-03-10,30.2379
2022-03-09,30.2339
2022-03-08,30.9619
2022-03-07,31.6676
2022-03-04,30.1379
2022-03-03,28.2730
2022-03-02,27.3949
2022-03-01,27.7887
2022-02-28,27.6847
2022-02-25,28.5104
2022-02-24,28.9625
2022-02-23,27.3777
2022-02-22,27.4061
2022-02-18,25.1831
2022-02-17,24.4564
2022-02-16,24.1468
2022-02-15,24.4493
2022-02-14,25.1150
2022-02-11,25.1767
2022-02-10,24.9977
2022-02-09,25.6933
2022-02-08,25.9734
2022-02-07,26.2847
2022-02-04,26.9629
2022-02-03,27.0284
2022-02-02,27.4010
2022-02-01,27.8026
2022-01-31,28.4865
2022-01-28,29.3318
2022-01-27,28.5197
2022-01-26,28.4838
2022-01-25,28.0219
2022-01-24,28.6952
2022-01-21,26.1664
2022-01-20,24.2315
2022-01-19,23.7850
2022-01-18,22.1463
2022-01-14,22.5152
2022-01-13,22.9267
2022-01-12,23.5975
2022-01-11,23.9776
2022-01-10,24.6194
2022-01-07,23.6227
2022-01-06,24.1383
2022-01-05,23.5144
2022-01-04,24.0416
2022-01-03,24.5489
2021-12-31,25.2691
2021-12-30,24.7507
2021-12-29,25.0133
2021-12-28,25.2863
2021-12-27,25.8573
2021-12-23,25.5809
2021-12-22,25.8789
2021-12-21,26.2718
2021-12-20,27.1802
2021-12-17,26.9895
2021-12-16,26.7727
2021-12-15,27.4280
2021-12-14,26.4524
2021-12-13,26.7731
2021-12-10,25.0935
2021-12-09,24.9893
2021-12-08,24.6626
2021-12-07,25.0410
2021-12-06,25.4859
2021-12-03,26.1108
2021-12-02,26.6733
2021-12-01,27.8872
2021-11-30,27.2213
2021-11-29,27.1803
2021-11-26,27.9731
2021-11-24,25.1984
2021-11-23,25.2642
2021-11-22,25.3106
2021-11-19,24.3932
2021-11-18,21.5422
2021-11-17,22.0277
2021-11-16,22.1170
2021-11-15,22.2096
2021-11-12,23.2371
2021-11-11,23.6375
2021-11-10,23.9841
2021-11-09,24.7034
2021-11-08,23.5432
2021-11-05,23.9510
2021-11-04,24.9538
2021-11-03,25.2181
2021-11-02,25.4769
2021-11-01,25.9298
2021-10-29,26.6597
2021-10-28,26.9379
2021-10-27,26.9643
2021-10-26,26.7585
2021-10-25,26.1431
2021-10-22,26.0453
2021-10-21,25.9912
2021-10-20,26.1914
2021-10-19,26.5803
2021-10-18,26.7954
2021-10-15,26.3354
2021-10-14,26.3741
2021-10-13,26.0532
2021-10-12,25.2330
2021-10-11,24.9675
2021-10-08,25.5289
2021-10-07,25.6425
2021-10-06,25.9780
2021-10-05,25.4257
2021-10-04,25.7571
2021-10-01,26.2540
2021-09-30,26.8300
2021-09-29,25.6620
2021-09-28,26.6372
2021-09-27,24.8841
2021-09-24,25.4814
2021-09-23,25.7970
2021-09-22,26.2767
2021-09-21,27.1070
2021-09-20,27.4695
2021-09-17,26.3071
2021-09-16,26.1460
2021-09-15,26.4013
2021-09-14,26.6186
2021-09-13,27.0815
2021-09-10,27.5058
2021-09-09,27.8225
2021-09-08,28.3476
2021-09-07,28.3217
2021-09-03,27.1756
2021-09-02,27.2993
2021-09-01,27.7959
2021-08-31,28.1566
2021-08-30,28.3898
2021-08-27,28.8153
2021-08-26,29.3432
2021-08-25,28.9909
2021-08-24,29.0606
2021-08-23,29.3868
2021-08-20,30.0580
2021-08-19,30.1641
2021-08-18,28.6616
2021-08-17,28.8001
2021-08-16,27.3874
2021-08-13,25.8308
2021-08-12,25.5808
2021-08-11,25.9365
2021-08-10,26.3238
2021-08-09,26.7322
2021-08-06,26.2153
2021-08-05,26.4947
2021-08-04,26.8854
2021-08-03,27.4366
2021-08-02,27.0180
2021-07-30,27.3046
2021-07-29,26.1355
2021-07-28,26.3536
2021-07-27,27.5370
2021-07-26,27.9762
2021-07-23,28.4872
2021-07-22,28.7983
2021-07-21,28.9793
2021-07-20,29.5584
2021-07-19,30.4831
2021-07-16,28.0284
2021-07-15,27.4912
2021-07-14,26.9339
2021-07-13,26.2896
2021-07-12,24.6119
2021-07-09,24.9249
2021-07-08,25.2286
2021-07-07,24.7816
2021-07-06,24.4565
2021-07-02,24.7231
2021-07-01,23.6938
2021-06-30,23.9137
2021-06-29,24.2884
2021-06-28,23.9670
2021-06-25,21.8878
2021-06-24,22.1454
2021-06-23,22.6071
2021-06-22,22.8480
2021-06-21,23.1221
2021-06-18,23.6768
2021-06-17,23.4785
2021-06-16,22.6946
2021-06-15,22.0600
2021-06-14,22.2791
2021-06-11,22.1933
2021-06-10,21.8815
2021-06-09,22.3067
2021-06-08,22.0566
2021-06-07,22.4351
2021-06-04,22.7007
2021-06-03,22.5811
2021-06-02,21.6281
2021-06-01,21.8426
2021-05-28,22.3383
2021-05-27,22.1736
2021-05-26,22.8309
2021-05-25,22.9867
2021-05-24,23.3647
2021-05-21,23.7205
2021-05-20,24.2511
2021-05-19,24.5415
2021-05-18,23.4238
2021-05-17,23.7718
2021-05-14,23.8710
2021-05-13,24.2412
2021-05-12,24.4719
