Dates,MACDEXT Values
2022-03-02,-3.2931
2022-03-01,5.2842
2022-02-28,8.3503
2022-02-25,-3.0661
2022-02-24,6.2518
2022-02-23,8.9523
2022-02-22,-2.7005
2022-02-18,7.0156
2022-02-17,9.4108
2022-02-16,-2.3952
2022-02-15,7.7013
2022-02-14,9.7242
2022-02-11,-2.0230
2022-02-10,8.3083
2022-02-09,9.8974
2022-02-08,-1.5891
2022-02-07,9.0397
2022-02-04,9.9268
2022-02-03,-0.8870
2022-02-02,10.1803
2022-02-01,9.7658
2022-01-31,0.4145
2022-01-28,10.5104
2022-01-27,9.4025
2022-01-26,1.1080
2022-01-25,10.8614
2022-01-24,9.0356
2022-01-21,1.8258
2022-01-20,10.7020
2022-01-19,8.5688
2022-01-18,2.1332
2022-01-14,10.3783
2022-01-13,8.0278
2022-01-12,2.3505
2022-01-11,9.8365
2022-01-10,7.4766
2022-01-07,2.3599
2022-01-06,9.2600
2022-01-05,6.9092
2022-01-04,2.3508
2022-01-03,8.5722
2021-12-31,6.4275
2021-12-30,2.1447
2021-12-29,7.5911
2021-12-28,6.0680
2021-12-27,1.5231
2021-12-23,6.9104
2021-12-22,5.8613
2021-12-21,1.0491
2021-12-20,7.2085
2021-12-17,5.7104
2021-12-16,1.4981
2021-12-15,6.6604
2021-12-14,5.5017
2021-12-13,1.1587
2021-12-10,5.8329
2021-12-09,5.3077
2021-12-08,0.5253
2021-12-07,5.4175
2021-12-06,5.1697
2021-12-03,0.2478
2021-12-02,4.7298
2021-12-01,5.0730
2021-11-30,-0.3432
2021-11-29,4.9248
2021-11-26,5.0486
2021-11-24,-0.1238
2021-11-23,5.3367
2021-11-22,4.9455
2021-11-19,0.3912
2021-11-18,5.7310
2021-11-17,4.8110
2021-11-16,0.9200
2021-11-15,5.5516
2021-11-12,4.6151
2021-11-11,0.9365
2021-11-10,5.3308
2021-11-09,4.3869
2021-11-08,0.9440
2021-11-05,4.9138
2021-11-04,4.2179
2021-11-03,0.6959
2021-11-02,4.5916
2021-11-01,4.1156
2021-10-29,0.4760
2021-10-28,4.5467
2021-10-27,4.1213
2021-10-26,0.4255
2021-10-25,4.5104
2021-10-22,4.2276
2021-10-21,0.2828
2021-10-20,3.9970
2021-10-19,4.4591
2021-10-18,-0.4621
2021-10-15,4.1258
2021-10-14,4.8431
2021-10-13,-0.7173
2021-10-12,3.9681
2021-10-11,5.2917
2021-10-08,-1.3236
2021-10-07,3.4975
2021-10-06,5.8979
2021-10-05,-2.4004
2021-10-04,3.8097
2021-10-01,6.6603
2021-09-30,-2.8505
2021-09-29,3.9935
2021-09-28,7.5325
2021-09-27,-3.5390
2021-09-24,4.6426
2021-09-23,8.5504
2021-09-22,-3.9079
2021-09-21,5.5040
2021-09-20,9.6074
2021-09-17,-4.1035
2021-09-16,6.5938
2021-09-15,10.6586
2021-09-14,-4.0648
2021-09-13,7.4533
2021-09-10,11.6569
2021-09-09,-4.2036
2021-09-08,8.1630
2021-09-07,12.5997
2021-09-03,-4.4367
2021-09-02,9.4240
2021-09-01,13.4838
2021-08-31,-4.0598
2021-08-30,10.3586
2021-08-27,14.1599
2021-08-26,-3.8013
2021-08-25,11.6593
2021-08-24,14.6409
2021-08-23,-2.9816
2021-08-20,13.1553
2021-08-19,14.8737
2021-08-18,-1.7184
2021-08-17,14.1555
2021-08-16,14.8342
2021-08-13,-0.6787
2021-08-12,14.9645
2021-08-11,14.5577
2021-08-10,0.4068
2021-08-09,15.5788
2021-08-06,13.9802
2021-08-05,1.5986
2021-08-04,15.9384
2021-08-03,13.2424
2021-08-02,2.6960
2021-07-30,16.1196
2021-07-29,12.3681
2021-07-28,3.7515
2021-07-27,15.5087
2021-07-26,11.3978
2021-07-23,4.1109
2021-07-22,14.6879
2021-07-21,10.4440
2021-07-20,4.2439
2021-07-19,13.7545
2021-07-16,9.5294
2021-07-15,4.2251
2021-07-14,12.7998
2021-07-13,8.6384
2021-07-12,4.1614
2021-07-09,11.6671
2021-07-08,7.8337
2021-07-07,3.8333
2021-07-06,9.7673
2021-07-02,7.1287
2021-07-01,2.6386
2021-06-30,8.9387
2021-06-29,6.5893
2021-06-28,2.3494
2021-06-25,8.0695
2021-06-24,6.0396
2021-06-23,2.0299
2021-06-22,7.3869
2021-06-21,5.4955
2021-06-18,1.8914
2021-06-17,6.9244
2021-06-16,4.9579
2021-06-15,1.9665
2021-06-14,6.4565
2021-06-11,4.3231
2021-06-10,2.1335
2021-06-09,5.7356
2021-06-08,3.6395
2021-06-07,2.0961
2021-06-04,5.5576
2021-06-03,2.9146
2021-06-02,2.6431
2021-06-01,5.3221
2021-05-28,2.1141
2021-05-27,3.2080
2021-05-26,4.9122
2021-05-25,1.1874
2021-05-24,3.7248
2021-05-21,3.9912
2021-05-20,0.0644
2021-05-19,3.9269
2021-05-18,3.1729
2021-05-17,-1.1476
2021-05-14,4.3205
2021-05-13,2.5481
2021-05-12,-2.3712
2021-05-11,4.9194
2021-05-10,1.2112
2021-05-07,-3.6713
2021-05-06,4.8826
2021-05-05,0.3042
2021-05-04,-4.9453
2021-05-03,5.2496
2021-04-30,-0.7887
2021-04-29,-6.2080
2021-04-28,5.4193
2021-04-27,-1.6466
2021-04-26,-7.3791
2021-04-23,5.7325
2021-04-22,-3.0180
2021-04-21,-8.4600
2021-04-20,5.4420
2021-04-19,-5.1953
2021-04-16,-9.3897
2021-04-15,4.1943
2021-04-14,-6.9162
2021-04-13,-10.1015
2021-04-12,3.1852
2021-04-09,-7.8397
2021-04-08,-10.6548
2021-04-07,2.8151
2021-04-06,-9.1530
2021-04-05,-11.0710
2021-04-01,1.9180
2021-03-31,-10.2547
2021-03-30,-11.2620
2021-03-29,1.0073
2021-03-26,-11.0594
2021-03-25,-11.2756
2021-03-24,0.2162
2021-03-23,-11.3288
2021-03-22,-11.0748
2021-03-19,-0.2539
2021-03-18,-11.3753
2021-03-17,-10.7176
2021-03-16,-0.6577
2021-03-15,-11.3846
2021-03-12,-10.2499
2021-03-11,-1.1346
2021-03-10,-11.6015
2021-03-09,-9.7062
2021-03-08,-1.8953
2021-03-05,-11.8963
2021-03-04,-9.1544
2021-03-03,-2.7419
2021-03-02,-11.5853
2021-03-01,-8.6069
2021-02-26,-2.9784
2021-02-25,-10.8724
2021-02-24,-8.1253
2021-02-23,-2.7470
2021-02-22,-10.3769
2021-02-19,-7.6789
2021-02-18,-2.6979
2021-02-17,-9.2525
2021-02-16,-7.2274
2021-02-12,-2.0251
2021-02-11,-8.1136
2021-02-10,-6.8203
2021-02-09,-1.2933
2021-02-08,-7.1665
2021-02-05,-6.4694
2021-02-04,-0.6970
2021-02-03,-6.4913
2021-02-02,-6.0952
2021-02-01,-0.3960
2021-01-29,-6.6347
2021-01-28,-5.7841
2021-01-27,-0.8506
2021-01-26,-6.9693
2021-01-25,-5.4724
2021-01-22,-1.4969
2021-01-21,-7.2510
2021-01-20,-5.1360
2021-01-19,-2.1149
2021-01-15,-6.8547
2021-01-14,-4.7598
2021-01-13,-2.0949
2021-01-12,-6.3126
2021-01-11,-4.3063
2021-01-08,-2.0062
2021-01-07,-5.5888
2021-01-06,-3.8017
2021-01-05,-1.7871
2021-01-04,-4.9560
2020-12-31,-3.2174
2020-12-30,-1.7386
2020-12-29,-3.7987
2020-12-28,-2.5902
2020-12-24,-1.2085
2020-12-23,-3.6913
2020-12-22,-1.9957
2020-12-21,-1.6955
2020-12-18,-3.8296
2020-12-17,-1.3594
2020-12-16,-2.4701
2020-12-15,-3.9415
2020-12-14,-0.6529
2020-12-11,-3.2887
2020-12-10,-3.8653
2020-12-09,0.0712
2020-12-08,-3.9365
2020-12-07,-2.7731
2020-12-04,0.8400
2020-12-03,-3.6131
2020-12-02,-1.7711
2020-12-01,1.5861
2020-11-30,-3.3572
2020-11-27,-0.3296
2020-11-25,2.3387
2020-11-24,-2.6682
2020-11-23,0.6887
2020-11-20,3.0328
2020-11-19,-2.3442
2020-11-18,1.5512
2020-11-17,3.6695
2020-11-16,-2.1183
2020-11-13,2.0354
2020-11-12,4.3133
2020-11-11,-2.2779
2020-11-10,2.5296
2020-11-09,4.9351
2020-11-06,-2.4055
2020-11-05,2.5752
2020-11-04,5.5307
2020-11-03,-2.9555
2020-11-02,3.0533
2020-10-30,6.1209
2020-10-29,-3.0676
2020-10-28,3.9425
2020-10-27,6.6821
2020-10-26,-2.7396
2020-10-23,5.0015
2020-10-22,7.1638
2020-10-21,-2.1623
2020-10-20,5.9180
2020-10-19,7.5727
2020-10-16,-1.6547
2020-10-15,6.4187
2020-10-14,7.9630
2020-10-13,-1.5442
2020-10-12,7.3457
2020-10-09,8.3495
2020-10-08,-1.0038
2020-10-07,7.6312
2020-10-06,8.6559
2020-10-05,-1.0248
2020-10-02,7.8905
2020-10-01,8.8747
2020-09-30,-0.9842
2020-09-29,7.8868
2020-09-28,9.0137
2020-09-25,-1.1269
2020-09-24,8.1044
2020-09-23,9.1002
2020-09-22,-0.9959
2020-09-21,8.2773
2020-09-18,9.1150
2020-09-17,-0.8377
2020-09-16,8.6817
2020-09-15,9.0954
2020-09-14,-0.4137
2020-09-11,9.4303
2020-09-10,8.9365
2020-09-09,0.4938
2020-09-08,9.8980
2020-09-04,8.6348
2020-09-03,1.2632
2020-09-02,10.1031
2020-09-01,8.2247
2020-08-31,1.8783
2020-08-28,9.6003
2020-08-27,7.7434
2020-08-26,1.8568
2020-08-25,9.1418
2020-08-24,7.2931
2020-08-21,1.8487
2020-08-20,8.6651
2020-08-19,6.8561
2020-08-18,1.8090
2020-08-17,8.2371
2020-08-14,6.3882
2020-08-13,1.8489
2020-08-12,8.1013
2020-08-11,5.9165
2020-08-10,2.1848
2020-08-07,7.2515
2020-08-06,5.4057
2020-08-05,1.8458
