Dates,APO Values
2021-11-29,-3.2313
2021-11-26,-2.1398
2021-11-24,-0.7879
2021-11-23,-0.2105
2021-11-22,0.6792
2021-11-19,1.7264
2021-11-18,2.6073
2021-11-17,2.3579
2021-11-16,2.0694
2021-11-15,1.7545
2021-11-12,0.5848
2021-11-11,0.3184
2021-11-10,0.1347
2021-11-09,-0.0123
2021-11-08,-0.4327
2021-11-05,-1.1556
2021-11-04,-2.2426
2021-11-03,-2.4337
2021-11-02,-2.6778
2021-11-01,-2.8882
2021-10-29,-3.2992
2021-10-28,-3.0070
2021-10-27,-2.6738
2021-10-26,-2.0833
2021-10-25,-1.6252
2021-10-22,-1.3284
2021-10-21,-0.9405
2021-10-20,-0.5711
2021-10-19,-0.2777
2021-10-18,0.1212
2021-10-15,0.5257
2021-10-14,1.0283
2021-10-13,1.6141
2021-10-12,1.8964
2021-10-11,2.0469
2021-10-08,1.9159
2021-10-07,1.7271
2021-10-06,1.4517
2021-10-05,1.2309
2021-10-04,0.9891
2021-10-01,0.7303
2021-09-30,0.1643
2021-09-29,0.0566
2021-09-28,-0.6336
2021-09-27,-0.7977
2021-09-24,-1.5811
2021-09-23,-2.2758
2021-09-22,-3.1000
2021-09-21,-3.6873
2021-09-20,-3.5209
2021-09-17,-3.3581
2021-09-16,-3.4945
2021-09-15,-3.6178
2021-09-14,-3.8101
2021-09-13,-3.7302
2021-09-10,-3.8704
2021-09-09,-3.5674
2021-09-08,-3.4993
2021-09-07,-3.1009
2021-09-03,-2.8385
2021-09-02,-2.8625
2021-09-01,-3.1222
2021-08-31,-3.1324
2021-08-30,-3.2404
2021-08-27,-3.1437
2021-08-26,-3.3910
2021-08-25,-3.1228
2021-08-24,-3.1963
2021-08-23,-3.2844
2021-08-20,-3.1423
2021-08-19,-2.2299
2021-08-18,-0.9811
2021-08-17,-0.0694
2021-08-16,0.7675
2021-08-13,1.1281
2021-08-12,1.0221
2021-08-11,0.4931
2021-08-10,-0.3225
2021-08-09,-0.9812
2021-08-06,-1.4502
2021-08-05,-1.9320
2021-08-04,-2.3773
2021-08-03,-2.5742
2021-08-02,-3.0384
2021-07-30,-3.2050
2021-07-29,-3.4870
2021-07-28,-4.3207
2021-07-27,-5.3157
2021-07-26,-5.5616
2021-07-23,-6.1589
2021-07-22,-6.3910
2021-07-21,-6.5280
2021-07-20,-6.7779
2021-07-19,-6.4496
2021-07-16,-4.9022
2021-07-15,-3.9504
2021-07-14,-3.1892
2021-07-13,-2.3434
2021-07-12,-1.6115
2021-07-09,-1.6813
2021-07-08,-1.8782
2021-07-07,-1.8152
2021-07-06,-1.2002
2021-07-02,-0.8418
2021-07-01,-0.4270
2021-06-30,-0.2020
2021-06-29,0.1055
2021-06-28,0.8833
2021-06-25,1.4357
2021-06-24,1.2624
2021-06-23,0.8000
2021-06-22,0.9108
2021-06-21,1.0176
2021-06-18,0.9864
2021-06-17,1.7397
2021-06-16,2.4855
2021-06-15,3.0906
2021-06-14,3.3833
2021-06-11,3.8502
2021-06-10,4.1722
2021-06-09,4.4147
2021-06-08,4.6884
2021-06-07,4.4910
2021-06-04,4.1839
2021-06-03,4.0101
2021-06-02,3.6892
2021-06-01,2.6863
2021-05-28,1.4578
2021-05-27,0.6536
2021-05-26,-0.7570
2021-05-25,-1.5966
2021-05-24,-2.5807
2021-05-21,-3.4634
2021-05-20,-4.2728
2021-05-19,-4.5137
2021-05-18,-4.4267
2021-05-17,-4.5699
2021-05-14,-4.7301
2021-05-13,-4.9156
2021-05-12,-4.4872
2021-05-11,-3.6858
2021-05-10,-3.4341
2021-05-07,-3.4751
2021-05-06,-3.7357
2021-05-05,-3.4375
2021-05-04,-2.8411
2021-05-03,-2.5933
2021-04-30,-2.3983
2021-04-29,-2.0248
2021-04-28,-1.6846
2021-04-27,-1.1770
2021-04-26,-1.2258
2021-04-23,-1.1654
2021-04-22,-0.7597
2021-04-21,0.1814
2021-04-20,1.2182
2021-04-19,2.7131
2021-04-16,3.5544
2021-04-15,4.1661
2021-04-14,4.5880
2021-04-13,4.9253
2021-04-12,5.1987
2021-04-09,5.8538
2021-04-08,6.3157
2021-04-07,6.5496
2021-04-06,6.9943
2021-04-05,7.1964
2021-04-01,6.9230
2021-03-31,7.1250
2021-03-30,7.1001
2021-03-29,7.2409
2021-03-26,7.4669
2021-03-25,8.2222
2021-03-24,8.8303
2021-03-23,10.2875
2021-03-22,11.7932
2021-03-19,12.5272
2021-03-18,12.8146
2021-03-17,12.9705
2021-03-16,12.2143
2021-03-15,11.9245
2021-03-12,10.3203
2021-03-11,7.7602
2021-03-10,6.1300
2021-03-09,4.6381
2021-03-08,4.1663
2021-03-05,4.1734
2021-03-04,4.2042
2021-03-03,4.0308
2021-03-02,3.3587
2021-03-01,3.0040
2021-02-26,2.3802
2021-02-25,2.8099
2021-02-24,2.8654
2021-02-23,1.5822
2021-02-22,1.6746
2021-02-19,1.6908
2021-02-18,1.2196
2021-02-17,1.5157
2021-02-16,1.1548
2021-02-12,0.5084
2021-02-11,0.3072
2021-02-10,0.0786
2021-02-09,-0.3427
2021-02-08,-1.2013
2021-02-05,-1.9569
2021-02-04,-2.4836
2021-02-03,-3.3956
2021-02-02,-4.1794
2021-02-01,-4.4622
2021-01-29,-4.2391
2021-01-28,-3.7246
2021-01-27,-3.3233
2021-01-26,-2.4369
2021-01-25,-2.0877
2021-01-22,-1.7440
2021-01-21,-1.5324
2021-01-20,-1.4000
2021-01-19,-1.6219
2021-01-15,-1.8062
2021-01-14,-1.3646
2021-01-13,-1.3502
2021-01-12,-1.0373
2021-01-11,-0.7450
2021-01-08,-0.1962
2021-01-07,0.1905
2021-01-06,0.3951
2021-01-05,0.8217
2021-01-04,1.2931
2020-12-31,2.7832
2020-12-30,3.4899
2020-12-29,4.0755
2020-12-28,4.8064
2020-12-24,5.6857
2020-12-23,6.6173
2020-12-22,7.4516
2020-12-21,8.5006
2020-12-18,9.6620
2020-12-17,10.9590
2020-12-16,12.3033
2020-12-15,13.3688
2020-12-14,14.1647
2020-12-11,15.0641
2020-12-10,15.8189
2020-12-09,16.1347
2020-12-08,16.5444
2020-12-07,16.3674
2020-12-04,15.7406
2020-12-03,15.2675
2020-12-02,13.9845
2020-12-01,13.5027
2020-11-30,13.7951
2020-11-27,14.2018
2020-11-25,13.9248
2020-11-24,13.2558
2020-11-23,12.1193
2020-11-20,11.2012
2020-11-19,11.0791
2020-11-18,10.1462
2020-11-17,9.0490
2020-11-16,6.8298
2020-11-13,4.6769
2020-11-12,3.4177
2020-11-11,2.8188
2020-11-10,1.4604
2020-11-09,-0.9606
2020-11-06,-3.0866
2020-11-05,-3.5540
2020-11-04,-4.0327
2020-11-03,-4.0292
2020-11-02,-4.1716
2020-10-30,-3.7787
2020-10-29,-2.7935
2020-10-28,-1.8924
2020-10-27,-0.6996
2020-10-26,0.1102
2020-10-23,0.5729
2020-10-22,0.4904
2020-10-21,0.2038
2020-10-20,0.3655
2020-10-19,0.2225
2020-10-16,0.0499
2020-10-15,-0.1956
