Dates,PPO Values
2021-11-05,-0.5354
2021-11-04,-1.0423
2021-11-03,-1.1302
2021-11-02,-1.2427
2021-11-01,-1.3390
2021-10-29,-1.5289
2021-10-28,-1.3890
2021-10-27,-1.2311
2021-10-26,-0.9555
2021-10-25,-0.7432
2021-10-22,-0.6062
2021-10-21,-0.4282
2021-10-20,-0.2595
2021-10-19,-0.1260
2021-10-18,0.0549
2021-10-15,0.2378
2021-10-14,0.4645
2021-10-13,0.7281
2021-10-12,0.8555
2021-10-11,0.9241
2021-10-08,0.8665
2021-10-07,0.7826
2021-10-06,0.6592
2021-10-05,0.5599
2021-10-04,0.4507
2021-10-01,0.3333
2021-09-30,0.0752
2021-09-29,0.0259
2021-09-28,-0.2907
2021-09-27,-0.3661
2021-09-24,-0.7273
2021-09-23,-1.0484
2021-09-22,-1.4302
2021-09-21,-1.7013
2021-09-20,-1.6197
2021-09-17,-1.5403
2021-09-16,-1.6001
2021-09-15,-1.6535
2021-09-14,-1.7385
2021-09-13,-1.6974
2021-09-10,-1.7578
2021-09-09,-1.6143
2021-09-08,-1.5795
2021-09-07,-1.3946
2021-09-03,-1.2729
2021-09-02,-1.2814
2021-09-01,-1.3964
2021-08-31,-1.3982
2021-08-30,-1.4440
2021-08-27,-1.3976
2021-08-26,-1.5059
2021-08-25,-1.3825
2021-08-24,-1.4126
2021-08-23,-1.4490
2021-08-20,-1.3828
2021-08-19,-0.9763
2021-08-18,-0.4271
2021-08-17,-0.0301
2021-08-16,0.3319
2021-08-13,0.4875
2021-08-12,0.4421
2021-08-11,0.2139
2021-08-10,-0.1403
2021-08-09,-0.4277
2021-08-06,-0.6327
2021-08-05,-0.8436
2021-08-04,-1.0384
2021-08-03,-1.1235
2021-08-02,-1.3261
2021-07-30,-1.3969
2021-07-29,-1.5183
2021-07-28,-1.8825
2021-07-27,-2.3178
2021-07-26,-2.4190
2021-07-23,-2.6750
2021-07-22,-2.7674
2021-07-21,-2.8169
2021-07-20,-2.9155
2021-07-19,-2.7597
2021-07-16,-2.0786
2021-07-15,-1.6648
2021-07-14,-1.3375
2021-07-13,-0.9781
2021-07-12,-0.6701
2021-07-09,-0.6986
2021-07-08,-0.7802
2021-07-07,-0.7530
2021-07-06,-0.4964
2021-07-02,-0.3475
2021-07-01,-0.1759
2021-06-30,-0.0831
2021-06-29,0.0434
2021-06-28,0.3623
2021-06-25,0.5881
2021-06-24,0.5179
2021-06-23,0.3289
2021-06-22,0.3745
2021-06-21,0.4185
2021-06-18,0.4060
2021-06-17,0.7146
2021-06-16,1.0196
2021-06-15,1.2672
2021-06-14,1.3884
2021-06-11,1.5808
2021-06-10,1.7151
2021-06-09,1.8177
2021-06-08,1.9338
2021-06-07,1.8587
2021-06-04,1.7379
2021-06-03,1.6708
2021-06-02,1.5424
2021-06-01,1.1293
2021-05-28,0.6164
2021-05-27,0.2773
2021-05-26,-0.3229
2021-05-25,-0.6825
2021-05-24,-1.1058
2021-05-21,-1.4861
2021-05-20,-1.8345
2021-05-19,-1.9344
2021-05-18,-1.8914
2021-05-17,-1.9482
2021-05-14,-2.0120
2021-05-13,-2.0862
2021-05-12,-1.8960
2021-05-11,-1.5491
2021-05-10,-1.4389
2021-05-07,-1.4533
2021-05-06,-1.5604
2021-05-05,-1.4313
2021-05-04,-1.1782
2021-05-03,-1.0728
2021-04-30,-0.9900
2021-04-29,-0.8336
2021-04-28,-0.6920
2021-04-27,-0.4822
2021-04-26,-0.5019
2021-04-23,-0.4768
2021-04-22,-0.3102
2021-04-21,0.0738
2021-04-20,0.4941
2021-04-19,1.0959
2021-04-16,1.4341
2021-04-15,1.6811
2021-04-14,1.8533
2021-04-13,1.9928
2021-04-12,2.1075
2021-04-09,2.3753
2021-04-08,2.5677
2021-04-07,2.6706
2021-04-06,2.8587
2021-04-05,2.9514
2021-04-01,2.8539
2021-03-31,2.9473
2021-03-30,2.9496
2021-03-29,3.0194
2021-03-26,3.1248
2021-03-25,3.4477
2021-03-24,3.7136
2021-03-23,4.3285
2021-03-22,4.9680
2021-03-19,5.3020
2021-03-18,5.4598
2021-03-17,5.5667
2021-03-16,5.2978
2021-03-15,5.2168
2021-03-12,4.5743
2021-03-11,3.4935
2021-03-10,2.7896
2021-03-09,2.1306
2021-03-08,1.9229
2021-03-05,1.9315
2021-03-04,1.9509
2021-03-03,1.8769
2021-03-02,1.5720
2021-03-01,1.4110
2021-02-26,1.1228
2021-02-25,1.3256
2021-02-24,1.3540
2021-02-23,0.7527
2021-02-22,0.7972
2021-02-19,0.8058
2021-02-18,0.5829
2021-02-17,0.7243
2021-02-16,0.5532
2021-02-12,0.2443
2021-02-11,0.1478
2021-02-10,0.0378
2021-02-09,-0.1653
2021-02-08,-0.5813
2021-02-05,-0.9488
2021-02-04,-1.2049
2021-02-03,-1.6503
2021-02-02,-2.0325
2021-02-01,-2.1661
2021-01-29,-2.0497
2021-01-28,-1.7922
2021-01-27,-1.5926
2021-01-26,-1.1613
2021-01-25,-0.9919
2021-01-22,-0.8264
2021-01-21,-0.7247
2021-01-20,-0.6611
2021-01-19,-0.7658
2021-01-15,-0.8525
2021-01-14,-0.6422
2021-01-13,-0.6348
2021-01-12,-0.4867
2021-01-11,-0.3490
2021-01-08,-0.0917
2021-01-07,0.0888
2021-01-06,0.1842
2021-01-05,0.3826
2021-01-04,0.6013
2020-12-31,1.2883
2020-12-30,1.6143
2020-12-29,1.8855
2020-12-28,2.2237
2020-12-24,2.6305
2020-12-23,3.0626
2020-12-22,3.4534
2020-12-21,3.9439
2020-12-18,4.4891
2020-12-17,5.1002
2020-12-16,5.7395
2020-12-15,6.2634
2020-12-14,6.6764
2020-12-11,7.1447
2020-12-10,7.5586
2020-12-09,7.7843
2020-12-08,8.0591
2020-12-07,8.0713
2020-12-04,7.8720
2020-12-03,7.7369
2020-12-02,7.2031
2020-12-01,7.0411
2020-11-30,7.2579
2020-11-27,7.5373
2020-11-25,7.4795
2020-11-24,7.2176
2020-11-23,6.7005
2020-11-20,6.2781
2020-11-19,6.2692
2020-11-18,5.8175
2020-11-17,5.2582
2020-11-16,4.0399
2020-11-13,2.8108
2020-11-12,2.0747
2020-11-11,1.7211
2020-11-10,0.8998
2020-11-09,-0.5996
2020-11-06,-1.9454
2020-11-05,-2.2390
2020-11-04,-2.5384
2020-11-03,-2.5270
2020-11-02,-2.6088
2020-10-30,-2.3497
2020-10-29,-1.7230
2020-10-28,-1.1593
2020-10-27,-0.4254
2020-10-26,0.0667
2020-10-23,0.3461
2020-10-22,0.2965
2020-10-21,0.1235
2020-10-20,0.2213
2020-10-19,0.1348
2020-10-16,0.0303
2020-10-15,-0.1188
2020-10-14,-0.1150
2020-10-13,-0.0466
2020-10-12,0.1090
2020-10-09,-0.0155
2020-10-08,-0.1733
2020-10-07,-0.4143
2020-10-06,-0.5056
2020-10-05,-0.2998
2020-10-02,-0.7575
2020-10-01,-1.1381
2020-09-30,-1.5949
2020-09-29,-1.9918
2020-09-28,-2.3644
2020-09-25,-2.9638
2020-09-24,-3.0442
2020-09-23,-2.4738
2020-09-22,-2.0456
2020-09-21,-1.8262
2020-09-18,-1.4964
2020-09-17,-1.3516
2020-09-16,-1.5387
2020-09-15,-1.7509
2020-09-14,-1.7532
2020-09-11,-1.8450
2020-09-10,-1.6244
2020-09-09,-1.1704
2020-09-08,-0.7661
2020-09-04,-0.2626
2020-09-03,-0.2085
2020-09-02,-0.0023
2020-09-01,-0.0929
2020-08-31,-0.0495
2020-08-28,0.0229
2020-08-27,-0.1189
2020-08-26,-0.2043
2020-08-25,-0.1747
2020-08-24,-0.3013
2020-08-21,-0.6683
2020-08-20,-0.4894
2020-08-19,-0.3778
2020-08-18,-0.2123
2020-08-17,-0.0550
2020-08-14,0.0418
2020-08-13,-0.1909
2020-08-12,-0.2890
2020-08-11,-0.4519
2020-08-10,-0.9311
2020-08-07,-1.4896
2020-08-06,-1.6206
2020-08-05,-1.8947
2020-08-04,-2.3419
2020-08-03,-2.3250
2020-07-31,-2.1044
2020-07-30,-1.5457
2020-07-29,-1.0528
2020-07-28,-0.6519
2020-07-27,-0.4134
2020-07-24,-0.0690
2020-07-23,0.1666
2020-07-22,0.3109
2020-07-21,0.3006
2020-07-20,0.3489
2020-07-17,0.6446
2020-07-16,0.9414
2020-07-15,1.1347
2020-07-14,0.8432
2020-07-13,0.9092
2020-07-10,1.2241
2020-07-09,1.4505
2020-07-08,2.0079
2020-07-07,2.3088
2020-07-06,2.7264
2020-07-02,2.7165
2020-07-01,3.0598
2020-06-30,3.4811
2020-06-29,3.8027
2020-06-26,3.5314
2020-06-25,4.5010
2020-06-24,5.4002
2020-06-23,6.3694
2020-06-22,6.9031
2020-06-19,7.4486
2020-06-18,8.1182
2020-06-17,8.5647
2020-06-16,8.9906
2020-06-15,9.1026
2020-06-12,9.4797
2020-06-11,9.8937
2020-06-10,11.3802
2020-06-09,11.2194
2020-06-08,10.0006
2020-06-05,7.2700
2020-06-04,5.0192
2020-06-03,3.3367
2020-06-02,1.8277
2020-06-01,1.2486
2020-05-29,0.6184
2020-05-28,0.2020
2020-05-27,-0.6328
2020-05-26,-1.6808
2020-05-22,-2.6432
2020-05-21,-3.2850
2020-05-20,-4.1721
2020-05-19,-4.8012
2020-05-18,-5.3078
2020-05-15,-6.2697
2020-05-14,-6.1896
2020-05-13,-6.2058
2020-05-12,-6.0684
2020-05-11,-6.1025
2020-05-08,-6.3455
2020-05-07,-6.9099
2020-05-06,-7.1680
2020-05-05,-6.8932
2020-05-04,-6.7267
2020-05-01,-6.8759
2020-04-30,-7.1130
2020-04-29,-7.8717
2020-04-28,-8.5774
2020-04-27,-8.7965
2020-04-24,-8.7740
2020-04-23,-8.6611
2020-04-22,-9.0255
2020-04-21,-9.1760
2020-04-20,-9.3440
2020-04-17,-9.9335
2020-04-16,-11.2545
2020-04-15,-11.4215
2020-04-14,-12.2833
2020-04-13,-12.8726
2020-04-09,-13.8732
2020-04-08,-15.2527
2020-04-07,-16.4553
2020-04-06,-17.4020
2020-04-03,-18.8483
2020-04-02,-18.8353
2020-04-01,-18.5565
2020-03-31,-18.4992
2020-03-30,-19.3619
2020-03-27,-20.4004
2020-03-26,-22.0366
2020-03-25,-24.9287
2020-03-24,-26.9064
2020-03-23,-27.1939
2020-03-20,-26.0538
2020-03-19,-23.9672
2020-03-18,-21.5284
2020-03-17,-18.7589
2020-03-16,-16.4052
2020-03-13,-13.7513
2020-03-12,-12.1453
2020-03-11,-9.5206
2020-03-10,-7.5686
2020-03-09,-6.6227
2020-03-06,-5.2515
2020-03-05,-4.7027
2020-03-04,-3.8956
2020-03-03,-3.5954
2020-03-02,-3.0900
2020-02-28,-2.6970
2020-02-27,-1.7160
2020-02-26,-0.8669
2020-02-25,-0.3427
2020-02-24,0.3680
2020-02-21,0.8415
2020-02-20,1.0522
2020-02-19,1.1267
2020-02-18,1.1439
2020-02-14,1.1312
2020-02-13,1.0489
2020-02-12,0.8560
2020-02-11,0.5162
2020-02-10,0.1648
2020-02-07,-0.2974
2020-02-06,-0.6390
2020-02-05,-1.2151
2020-02-04,-1.5597
2020-02-03,-1.6092
2020-01-31,-1.5881
2020-01-30,-1.6105
2020-01-29,-1.7744
2020-01-28,-1.9175
2020-01-27,-1.9005
2020-01-24,-1.8538
2020-01-23,-1.9701
2020-01-22,-1.9260
2020-01-21,-1.5710
2020-01-17,-1.2360
2020-01-16,-1.1245
2020-01-15,-1.2068
2020-01-14,-1.2271
2020-01-13,-1.3132
2020-01-10,-1.3392
2020-01-09,-1.3441
2020-01-08,-1.5264
2020-01-07,-1.5856
2020-01-06,-1.8180
2020-01-03,-1.9802
2020-01-02,-2.1287
2019-12-31,-2.3043
2019-12-30,-2.2655
2019-12-27,-2.2044
2019-12-26,-2.2091
2019-12-24,-2.1777
2019-12-23,-2.1997
2019-12-20,-2.3328
2019-12-19,-2.1847
2019-12-18,-2.1302
2019-12-17,-1.9488
2019-12-16,-1.5853
