Dates,EMA Values
2022-03-17,197.6301
2022-03-16,197.9338
2022-03-15,198.2988
2022-03-14,199.0502
2022-03-11,200.0106
2022-03-10,200.9813
2022-03-09,201.9034
2022-03-08,202.8562
2022-03-07,204.0421
2022-03-04,205.4655
2022-03-03,206.4706
2022-03-02,207.1898
2022-03-01,207.5727
2022-02-28,208.0895
2022-02-25,208.2017
2022-02-24,208.4761
2022-02-23,208.8861
2022-02-22,209.3950
2022-02-18,209.8299
2022-02-17,209.8625
2022-02-16,209.7108
2022-02-15,209.3345
2022-02-14,208.9918
2022-02-11,208.9490
2022-02-10,208.8122
2022-02-09,208.4066
2022-02-08,208.1024
2022-02-07,207.8915
2022-02-04,207.7270
2022-02-03,207.7792
2022-02-02,207.8359
2022-02-01,207.8488
2022-01-31,207.8287
2022-01-28,208.1385
2022-01-27,208.8555
2022-01-26,209.6354
2022-01-25,210.2625
2022-01-24,210.5140
2022-01-21,210.7718
2022-01-20,210.9894
2022-01-19,210.8587
2022-01-18,210.6048
2022-01-14,210.0168
2022-01-13,209.3661
2022-01-12,208.7729
2022-01-11,208.4187
2022-01-10,208.1085
2022-01-07,208.0594
2022-01-06,207.7557
2022-01-05,207.6094
2022-01-04,207.3865
2022-01-03,207.1317
2021-12-31,207.1020
2021-12-30,207.3380
2021-12-29,207.5269
2021-12-28,207.6847
2021-12-27,207.7482
2021-12-23,207.9350
2021-12-22,208.0867
2021-12-21,208.3478
2021-12-20,208.7081
2021-12-17,209.5337
2021-12-16,210.2237
2021-12-15,211.0169
2021-12-14,211.6531
2021-12-13,212.3124
2021-12-10,212.9210
2021-12-09,213.2419
2021-12-08,213.4738
2021-12-07,213.5736
2021-12-06,213.7672
2021-12-03,214.0891
2021-12-02,214.7258
2021-12-01,215.2297
2021-11-30,216.3334
2021-11-29,217.0878
2021-11-26,217.8465
2021-11-24,218.6072
2021-11-23,218.9340
2021-11-22,219.3341
2021-11-19,219.7192
2021-11-18,219.9473
2021-11-17,219.6493
2021-11-16,219.3647
2021-11-15,219.1021
2021-11-12,218.5312
2021-11-11,218.4320
2021-11-10,218.3933
2021-11-09,218.3890
2021-11-08,218.2910
2021-11-05,218.1118
2021-11-04,217.8527
2021-11-03,218.0496
2021-11-02,218.2402
2021-11-01,218.4634
2021-10-29,218.6219
2021-10-28,219.0951
2021-10-27,219.5541
2021-10-26,220.0824
2021-10-25,220.5017
2021-10-22,220.8132
2021-10-21,221.1333
2021-10-20,221.4106
2021-10-19,221.6245
2021-10-18,221.8553
2021-10-15,222.0542
2021-10-14,222.2589
2021-10-13,222.4556
2021-10-12,222.4832
2021-10-11,222.4388
2021-10-08,222.2751
2021-10-07,222.1071
2021-10-06,221.9287
2021-10-05,221.8037
2021-10-04,221.6969
2021-10-01,221.6115
2021-09-30,221.4324
2021-09-29,221.4933
2021-09-28,221.3354
2021-09-27,221.4549
2021-09-24,221.3444
2021-09-23,221.3426
2021-09-22,221.3525
2021-09-21,221.5309
2021-09-20,222.0624
2021-09-17,222.5752
2021-09-16,222.9513
2021-09-15,223.3428
2021-09-14,223.7151
2021-09-13,224.2109
2021-09-10,224.6080
2021-09-09,225.1920
2021-09-08,225.6513
2021-09-07,226.2338
2021-09-03,226.7233
2021-09-02,227.0725
2021-09-01,227.3273
2021-08-31,227.7031
2021-08-30,228.0379
2021-08-27,228.4615
2021-08-26,228.7354
2021-08-25,229.2348
2021-08-24,229.5697
2021-08-23,229.9019
2021-08-20,230.3306
2021-08-19,231.0514
2021-08-18,231.8225
2021-08-17,232.3459
2021-08-16,232.7592
2021-08-13,232.9102
2021-08-12,232.8469
2021-08-11,232.6292
2021-08-10,232.3492
2021-08-09,232.2092
2021-08-06,232.2067
2021-08-05,232.2425
2021-08-04,232.3364
2021-08-03,232.5694
2021-08-02,232.7114
2021-07-30,233.0122
2021-07-29,233.2789
2021-07-28,233.3462
2021-07-27,233.4187
2021-07-26,233.8737
2021-07-23,234.2012
2021-07-22,234.7188
2021-07-21,235.2841
2021-07-20,235.8042
2021-07-19,236.5656
2021-07-16,237.7728
2021-07-15,238.5905
2021-07-14,239.2366
2021-07-13,239.8401
2021-07-12,240.3152
2021-07-09,240.3979
2021-07-08,240.4309
2021-07-07,240.5803
2021-07-06,240.9395
2021-07-02,241.1354
2021-07-01,241.3173
2021-06-30,241.3820
2021-06-29,241.4564
2021-06-28,241.6889
2021-06-25,241.7595
2021-06-24,241.4893
2021-06-23,241.1186
2021-06-22,241.0186
2021-06-21,240.9059
2021-06-18,240.7273
2021-06-17,240.8652
2021-06-16,240.9323
2021-06-15,240.8777
2021-06-14,240.6466
2021-06-11,240.4632
2021-06-10,240.1850
2021-06-09,239.8521
2021-06-08,239.5171
2021-06-07,238.9766
