Dates,ROC Values
2020-09-29,-6.2034
2020-09-28,-5.4537
2020-09-25,-12.6861
2020-09-24,-22.2890
2020-09-23,-15.9924
2020-09-22,-10.7316
2020-09-21,-12.3795
2020-09-18,-7.0060
2020-09-17,-6.9691
2020-09-16,-6.3842
2020-09-15,-12.9956
2020-09-14,-8.5504
2020-09-11,-11.1413
2020-09-10,-13.9716
2020-09-09,-17.3325
2020-09-08,-5.2526
2020-09-04,-2.1901
2020-09-03,-4.4824
2020-09-02,-6.9725
2020-09-01,-8.7100
2020-08-31,-8.1275
2020-08-28,-8.5756
2020-08-27,-9.5253
2020-08-26,-13.0809
2020-08-25,-8.4896
2020-08-24,-5.9311
2020-08-21,-1.4706
2020-08-20,-16.6314
2020-08-19,-21.9018
2020-08-18,-26.1475
2020-08-17,-16.2683
2020-08-14,-3.3749
2020-08-13,0.9067
2020-08-12,14.4348
2020-08-11,18.9841
2020-08-10,23.0099
2020-08-07,13.4828
2020-08-06,15.1685
2020-08-05,20.4173
2020-08-04,20.0247
2020-08-03,16.7410
2020-07-31,18.5119
2020-07-30,24.1567
2020-07-29,22.5709
2020-07-28,42.3667
2020-07-27,38.9243
2020-07-24,43.0123
2020-07-23,40.9120
2020-07-22,39.4694
2020-07-21,33.8654
2020-07-20,35.5771
2020-07-17,44.1490
2020-07-16,42.5040
2020-07-15,42.9636
2020-07-14,34.9329
2020-07-13,24.5568
2020-07-10,28.3741
2020-07-09,31.9726
2020-07-08,39.9440
2020-07-07,38.6882
2020-07-06,36.4237
2020-07-02,33.9631
2020-07-01,32.2673
2020-06-30,27.6374
2020-06-29,26.2922
2020-06-26,26.6463
2020-06-25,19.7972
2020-06-24,25.3121
2020-06-23,27.5232
2020-06-22,24.1570
2020-06-19,27.3371
2020-06-18,35.8172
2020-06-17,29.4213
2020-06-16,58.8259
2020-06-15,54.8958
2020-06-12,44.9962
2020-06-11,13.9869
2020-06-10,33.5763
2020-06-09,33.7901
2020-06-08,27.6655
2020-06-05,29.4210
2020-06-04,44.3452
2020-06-03,63.9462
2020-06-02,61.3620
2020-06-01,54.9381
2020-05-29,43.1446
2020-05-28,20.6863
2020-05-27,15.3615
2020-05-26,-14.9647
2020-05-22,-11.1793
2020-05-21,-26.4861
2020-05-20,-42.2882
2020-05-19,-42.5804
2020-05-18,-48.3704
2020-05-15,-53.9117
2020-05-14,-56.7251
2020-05-13,-56.7030
2020-05-12,-56.7117
2020-05-11,-53.1424
2020-05-08,-53.6280
2020-05-07,-57.9011
2020-05-06,-59.9329
2020-05-05,-60.5536
2020-05-04,-60.2095
2020-05-01,-60.3396
2020-04-30,-58.3151
2020-04-29,-58.9825
2020-04-28,-61.4379
2020-04-27,-62.4643
2020-04-24,-62.6556
2020-04-23,-59.7684
2020-04-22,-60.6061
2020-04-21,-59.2733
2020-04-20,-57.6865
2020-04-17,-52.9895
2020-04-16,-57.5251
2020-04-15,-53.5269
2020-04-14,-55.4324
2020-04-13,-54.1562
2020-04-09,-52.5650
2020-04-08,-53.3263
2020-04-07,-55.0130
2020-04-06,-53.6723
2020-04-03,-60.5820
2020-04-02,-59.8677
2020-04-01,-58.0421
2020-03-31,-53.7146
2020-03-30,-53.8576
2020-03-27,-50.5849
2020-03-26,-45.3491
2020-03-25,-51.6439
2020-03-24,-61.0677
2020-03-23,-68.4090
2020-03-20,-71.1563
2020-03-19,-70.8563
2020-03-18,-69.2872
2020-03-17,-62.4702
2020-03-16,-60.8824
2020-03-13,-47.4398
2020-03-12,-52.2769
2020-03-11,-42.3840
2020-03-10,-29.5603
2020-03-09,-31.3718
2020-03-06,-21.8182
2020-03-05,-20.1431
2020-03-04,-14.5976
2020-03-03,-14.6298
2020-03-02,-11.0080
2020-02-28,-15.3642
2020-02-27,-15.2735
2020-02-26,-11.2242
2020-02-25,-12.5820
2020-02-24,-8.0754
2020-02-21,-5.3670
2020-02-20,-4.4605
2020-02-19,-1.5483
2020-02-18,-2.2729
2020-02-14,-2.7122
2020-02-13,-2.9013
2020-02-12,-5.1150
2020-02-11,-6.4076
2020-02-10,-7.7213
2020-02-07,-9.7500
2020-02-06,-8.0546
2020-02-05,-10.0671
2020-02-04,-14.2811
2020-02-03,-13.8965
2020-01-31,-13.8554
2020-01-30,-13.0166
2020-01-29,-12.3612
2020-01-28,-12.6731
2020-01-27,-12.7535
2020-01-24,-11.9659
2020-01-23,-9.4615
2020-01-22,-13.5205
2020-01-21,-11.0160
2020-01-17,-9.0083
2020-01-16,-4.8935
2020-01-15,-3.9089
2020-01-14,-1.6618
2020-01-13,-4.0284
2020-01-10,-4.9043
2020-01-09,-0.7644
2020-01-08,-1.9287
2020-01-07,-1.5470
