Dates,SAR Values
2019-09-17,340.1139
2019-09-16,338.0394
2019-09-13,335.8557
2019-09-12,333.5571
2019-09-11,331.6622
2019-09-10,330.6192
2019-09-09,329.5440
2019-09-06,328.4355
2019-09-05,327.2927
2019-09-04,326.1145
2019-09-03,324.9000
2019-08-30,323.6478
2019-08-29,322.3570
2019-08-28,321.0262
2019-08-27,319.6542
2019-08-26,318.2399
2019-08-23,316.7817
2019-08-22,316.0571
2019-08-21,315.8295
2019-08-20,335.6146
2019-08-19,337.8129
2019-08-16,340.2555
2019-08-15,342.9695
2019-08-14,345.5696
2019-08-13,347.8937
2019-08-12,350.4198
2019-08-09,353.1656
2019-08-08,356.1502
2019-08-07,359.3943
2019-08-06,362.2702
2019-08-05,365.3626
2019-08-02,367.8460
2019-08-01,369.9892
2019-07-31,371.6295
2019-07-30,373.3382
2019-07-29,374.5819
2019-07-26,375.3700
2019-07-25,375.7312
2019-07-24,343.3943
2019-07-23,342.7344
2019-07-22,342.0609
2019-07-19,341.7613
2019-07-18,368.2930
2019-07-17,368.8344
2019-07-16,369.3869
2019-07-15,369.9507
2019-07-12,370.5260
2019-07-11,371.1130
2019-07-10,371.7121
2019-07-09,372.3233
2019-07-08,372.6171
2019-07-05,344.9365
2019-07-03,343.7832
2019-07-02,342.5817
2019-07-01,341.3303
2019-06-28,340.0266
2019-06-27,338.6687
2019-06-26,337.2542
2019-06-25,335.7807
2019-06-24,334.2459
2019-06-21,332.6471
2019-06-20,330.9817
2019-06-19,329.2469
2019-06-18,328.0471
2019-06-17,327.5768
2019-06-14,327.0968
2019-06-13,326.6071
2019-06-12,326.1074
2019-06-11,325.5974
2019-06-10,325.0771
2019-06-07,324.8354
2019-06-06,349.2404
2019-06-05,350.7982
2019-06-04,352.4554
2019-06-03,354.2184
2019-05-31,355.4376
2019-05-30,356.7210
2019-05-29,358.0719
2019-05-28,359.4939
2019-05-24,360.9907
2019-05-23,362.5664
2019-05-22,364.2249
2019-05-21,365.9708
2019-05-20,367.8085
2019-05-17,369.7430
2019-05-16,371.7793
2019-05-15,373.9227
2019-05-14,376.1790
2019-05-13,378.5540
2019-05-10,380.1047
2019-05-09,381.7199
2019-05-08,382.8527
2019-05-07,383.5896
2019-05-06,383.8838
2019-05-03,384.1811
2019-05-02,384.4813
2019-05-01,384.7845
2019-04-30,385.0908
2019-04-29,385.4003
2019-04-26,385.7128
2019-04-25,386.0285
2019-04-24,386.3474
2019-04-23,386.6695
2019-04-22,386.9948
2019-04-18,387.3235
2019-04-17,387.6554
2019-04-16,387.9907
2019-04-15,388.3294
2019-04-12,388.6716
2019-04-11,389.0171
2019-04-10,389.3662
2019-04-09,354.8665
2019-04-08,354.1624
2019-04-05,353.4440
2019-04-04,353.0969
