Dates,KAMA Values
2021-09-30,219.4036
2021-09-29,219.3882
2021-09-28,218.9500
2021-09-27,218.9732
2021-09-24,218.5284
2021-09-23,218.2449
2021-09-22,218.1252
2021-09-21,218.1620
2021-09-20,218.5866
2021-09-17,219.2170
2021-09-16,219.5621
2021-09-15,219.7324
2021-09-14,219.9012
2021-09-13,220.2215
2021-09-10,220.4895
2021-09-09,220.8516
2021-09-08,221.1358
2021-09-07,221.8945
2021-09-03,222.1288
2021-09-02,222.2455
2021-09-01,222.3333
2021-08-31,222.3606
2021-08-30,222.3962
2021-08-27,222.6712
2021-08-26,222.7314
2021-08-25,223.8432
2021-08-24,224.2754
2021-08-23,224.5153
2021-08-20,224.8563
2021-08-19,226.8706
2021-08-18,228.9893
2021-08-17,229.4155
2021-08-16,229.6893
2021-08-13,229.7019
2021-08-12,229.3713
2021-08-11,228.9551
2021-08-10,228.2400
2021-08-09,227.3382
2021-08-06,227.1557
2021-08-05,226.9097
2021-08-04,226.7459
2021-08-03,226.7483
2021-08-02,226.5644
2021-07-30,226.7153
2021-07-29,226.7221
2021-07-28,226.5771
2021-07-27,226.4681
2021-07-26,226.5527
2021-07-23,226.5834
2021-07-22,227.0145
2021-07-21,227.4116
2021-07-20,227.5462
2021-07-19,228.3813
2021-07-16,234.0936
2021-07-15,237.5276
2021-07-14,239.9189
2021-07-13,241.0387
2021-07-12,242.0085
2021-07-09,242.2461
2021-07-08,242.4322
2021-07-07,242.6013
2021-07-06,243.5035
2021-07-02,243.9600
2021-07-01,244.0012
2021-06-30,244.0239
2021-06-29,244.0738
2021-06-28,244.5140
2021-06-25,244.6145
2021-06-24,244.5867
2021-06-23,244.5153
2021-06-22,244.5464
2021-06-21,244.6003
2021-06-18,244.5622
2021-06-17,246.0607
2021-06-16,247.3359
2021-06-15,248.4434
2021-06-14,248.6665
2021-06-11,248.7091
2021-06-10,248.7382
2021-06-09,248.7521
2021-06-08,248.7777
2021-06-07,248.2736
2021-06-04,247.6287
2021-06-03,247.2143
2021-06-02,246.5487
2021-06-01,243.9775
2021-05-28,241.1673
2021-05-27,240.0986
2021-05-26,235.9186
2021-05-25,234.1335
2021-05-24,233.6465
2021-05-21,233.5728
2021-05-20,233.5657
2021-05-19,233.6271
2021-05-18,233.7895
2021-05-17,233.9665
2021-05-14,234.1700
2021-05-13,234.3163
2021-05-12,235.5102
2021-05-11,237.4475
2021-05-10,238.4905
2021-05-07,238.8561
2021-05-06,238.9109
2021-05-05,239.1693
2021-05-04,239.8339
2021-05-03,239.8696
2021-04-30,240.1427
2021-04-29,240.7380
2021-04-28,241.2753
2021-04-27,242.0400
2021-04-26,242.0047
2021-04-23,242.0306
2021-04-22,242.4394
2021-04-21,244.5504
2021-04-20,245.9370
2021-04-19,248.8806
2021-04-16,249.7719
2021-04-15,249.8143
2021-04-14,249.7882
2021-04-13,249.7741
2021-04-12,249.7243
2021-04-09,249.7291
2021-04-08,249.6585
2021-04-07,249.0664
2021-04-06,248.8350
2021-04-05,248.7457
2021-04-01,248.6108
2021-03-31,248.5548
2021-03-30,248.3372
2021-03-29,248.2979
2021-03-26,248.1864
2021-03-25,248.5688
2021-03-24,248.5841
2021-03-23,248.7129
2021-03-22,248.8652
2021-03-19,248.6799
2021-03-18,247.8513
2021-03-17,246.9875
2021-03-16,244.6571
2021-03-15,243.2995
2021-03-12,237.0356
2021-03-11,222.8064
2021-03-10,215.9507
2021-03-09,214.5203
2021-03-08,213.6020
2021-03-05,213.2707
2021-03-04,213.1293
2021-03-03,212.6435
2021-03-02,212.1742
2021-03-01,212.0275
2021-02-26,211.6572
2021-02-25,211.6551
2021-02-24,211.5971
2021-02-23,210.5913
2021-02-22,210.5843
2021-02-19,210.5396
2021-02-18,210.3305
2021-02-17,210.3438
2021-02-16,209.6814
2021-02-12,208.0316
2021-02-11,207.5050
2021-02-10,207.1851
2021-02-09,206.4550
2021-02-08,205.8365
2021-02-05,205.5870
2021-02-04,205.5641
2021-02-03,205.4919
2021-02-02,205.4589
2021-02-01,205.7689
2021-01-29,206.2832
2021-01-28,207.7085
2021-01-27,208.3006
2021-01-26,209.9161
2021-01-25,210.1431
2021-01-22,210.4207
2021-01-21,210.6186
2021-01-20,210.6804
2021-01-19,210.6767
2021-01-15,210.6753
2021-01-14,210.9767
2021-01-13,211.0107
2021-01-12,211.2100
2021-01-11,211.3310
2021-01-08,211.6476
2021-01-07,211.7621
2021-01-06,211.7284
2021-01-05,211.7695
2021-01-04,211.7776
2020-12-31,216.4463
2020-12-30,217.4564
2020-12-29,217.8031
2020-12-28,218.3858
2020-12-24,219.3593
2020-12-23,220.3863
2020-12-22,220.5394
2020-12-21,221.1434
2020-12-18,221.7960
2020-12-17,222.0316
2020-12-16,222.1439
2020-12-15,222.1111
2020-12-14,221.5490
2020-12-11,220.9609
2020-12-10,220.5004
2020-12-09,219.4907
2020-12-08,218.8087
2020-12-07,216.3262
2020-12-04,211.3014
2020-12-03,208.8556
2020-12-02,203.5806
2020-12-01,202.5914
2020-11-30,202.2100
2020-11-27,201.4646
2020-11-25,198.4288
2020-11-24,195.6751
2020-11-23,193.5694
2020-11-20,191.7723
2020-11-19,190.7440
2020-11-18,187.8227
2020-11-17,184.6274
2020-11-16,177.5367
2020-11-13,170.8397
2020-11-12,167.1832
2020-11-11,166.0088
2020-11-10,162.7081
2020-11-09,157.6675
2020-11-06,156.0336
2020-11-05,155.9572
2020-11-04,155.8896
2020-11-03,156.1548
2020-11-02,156.3298
2020-10-30,157.4699
2020-10-29,161.2164
2020-10-28,163.0713
2020-10-27,164.9202
2020-10-26,165.3798
2020-10-23,165.5828
2020-10-22,165.5752
2020-10-21,165.5422
2020-10-20,165.5557
2020-10-19,165.3927
2020-10-16,165.3570
2020-10-15,165.3450
2020-10-14,165.3652
2020-10-13,165.3872
2020-10-12,165.4141
2020-10-09,165.3986
2020-10-08,165.2899
2020-10-07,164.9640
2020-10-06,164.9820
2020-10-05,165.0325
2020-10-02,164.5039
2020-10-01,164.4078
2020-09-30,164.3915
2020-09-29,164.3840
2020-09-28,164.3874
2020-09-25,164.3781
2020-09-24,164.5060
2020-09-23,165.8390
2020-09-22,166.6961
2020-09-21,166.9387
2020-09-18,167.9619
2020-09-17,168.2276
2020-09-16,168.2533
2020-09-15,168.2688
2020-09-14,168.4925
2020-09-11,168.6814
2020-09-10,169.6558
2020-09-09,171.0971
2020-09-08,172.3168
2020-09-04,173.9511
2020-09-03,173.9960
2020-09-02,174.0280
2020-09-01,174.0046
2020-08-31,174.0254
2020-08-28,174.0357
2020-08-27,174.0152
2020-08-26,174.0142
2020-08-25,174.0507
2020-08-24,174.0330
2020-08-21,174.0012
2020-08-20,174.0883
2020-08-19,174.1507
2020-08-18,174.2773
2020-08-17,174.3604
2020-08-14,174.4655
2020-08-13,173.8871
2020-08-12,173.8276
2020-08-11,173.7635
2020-08-10,173.5168
2020-08-07,173.2908
2020-08-06,173.3423
2020-08-05,173.3625
2020-08-04,173.3417
2020-08-03,174.3223
2020-07-31,175.4150
2020-07-30,179.2111
2020-07-29,182.8093
2020-07-28,187.1638
2020-07-27,187.9367
2020-07-24,188.3168
2020-07-23,188.5869
2020-07-22,188.7340
2020-07-21,188.7760
2020-07-20,188.8228
2020-07-17,189.5869
2020-07-16,189.7878
2020-07-15,189.8639
2020-07-14,189.8934
2020-07-13,190.4788
2020-07-10,190.6678
2020-07-09,190.7763
2020-07-08,190.9318
2020-07-07,191.1117
2020-07-06,191.3678
2020-07-02,191.3861
2020-07-01,191.7078
2020-06-30,192.0855
2020-06-29,192.4353
2020-06-26,192.4150
2020-06-25,195.8682
2020-06-24,196.1711
2020-06-23,197.5059
2020-06-22,198.2232
2020-06-19,199.2996
2020-06-18,199.5973
2020-06-17,199.6694
2020-06-16,199.8159
2020-06-15,199.9264
2020-06-12,200.3528
2020-06-11,200.9266
2020-06-10,201.6002
2020-06-09,201.3569
2020-06-08,197.0431
2020-06-05,176.2294
2020-06-04,161.2779
2020-06-03,150.7179
2020-06-02,141.2633
2020-06-01,139.6655
2020-05-29,137.0641
2020-05-28,135.8395
2020-05-27,132.6166
2020-05-26,130.1188
2020-05-22,129.0556
2020-05-21,128.9357
2020-05-20,128.5546
2020-05-19,128.3529
2020-05-18,128.3203
2020-05-15,128.2323
2020-05-14,128.8966
2020-05-13,129.6211
2020-05-12,130.4258
2020-05-11,130.5295
2020-05-08,130.5369
2020-05-07,130.4897
2020-05-06,130.5514
2020-05-05,131.1147
2020-05-04,131.4179
2020-05-01,131.4154
2020-04-30,131.2093
2020-04-29,131.0423
2020-04-28,130.9214
2020-04-27,130.9129
2020-04-24,131.0232
2020-04-23,131.1495
2020-04-22,131.0202
2020-04-21,130.9659
2020-04-20,130.8332
2020-04-17,130.4046
2020-04-16,128.5566
2020-04-15,128.5083
2020-04-14,128.3750
2020-04-13,128.0979
2020-04-09,127.5461
2020-04-08,126.1004
2020-04-07,125.7680
2020-04-06,125.5246
2020-04-03,124.2350
2020-04-02,124.2246
2020-04-01,124.2531
2020-03-31,124.0209
2020-03-30,123.2952
2020-03-27,122.5675
2020-03-26,122.2305
2020-03-25,120.8431
2020-03-24,119.8290
2020-03-23,118.5317
2020-03-20,122.1629
2020-03-19,134.2038
2020-03-18,149.4112
2020-03-17,170.3099
2020-03-16,188.0497
2020-03-13,210.7586
2020-03-12,219.1677
2020-03-11,242.3350
2020-03-10,260.0026
2020-03-09,266.5268
2020-03-06,278.4360
2020-03-05,282.3743
2020-03-04,288.6872
2020-03-03,289.9361
2020-03-02,292.3896
2020-02-28,293.1327
2020-02-27,305.7652
2020-02-26,318.1129
2020-02-25,323.5182
2020-02-24,333.6083
2020-02-21,335.4914
2020-02-20,335.8062
2020-02-19,335.7850
2020-02-18,335.4236
2020-02-14,334.8473
2020-02-13,333.9760
2020-02-12,332.9787
2020-02-11,330.9939
2020-02-10,329.0128
2020-02-07,326.5891
2020-02-06,326.1443
2020-02-05,324.3841
2020-02-04,324.0147
2020-02-03,324.1556
2020-01-31,324.4303
2020-01-30,324.8169
2020-01-29,324.8848
2020-01-28,325.0455
2020-01-27,325.6124
2020-01-24,326.1815
2020-01-23,326.4449
2020-01-22,327.0174
2020-01-21,331.3493
2020-01-17,333.7328
2020-01-16,334.2390
2020-01-15,334.2745
2020-01-14,334.3926
2020-01-13,334.5168
2020-01-10,334.5441
2020-01-09,334.5717
2020-01-08,334.5757
2020-01-07,334.7601
2020-01-06,334.7324
2020-01-03,334.7465
2020-01-02,334.7844
2019-12-31,334.8711
2019-12-30,334.9547
2019-12-27,335.6962
2019-12-26,336.2609
2019-12-24,337.0600
2019-12-23,337.4287
2019-12-20,337.5334
2019-12-19,340.1012
2019-12-18,340.5518
2019-12-17,341.7185
2019-12-16,344.7466
2019-12-13,348.7125
2019-12-12,350.3279
2019-12-11,351.2984
2019-12-10,351.8781
2019-12-09,353.1696
2019-12-06,353.7656
2019-12-05,353.8711
2019-12-04,356.4798
2019-12-03,357.7256
2019-12-02,358.6754
2019-11-29,359.3284
2019-11-27,359.2916
2019-11-26,359.1212
2019-11-25,358.0856
2019-11-22,357.6768
2019-11-21,356.3519
2019-11-20,356.0969
2019-11-19,354.9232
2019-11-18,354.5341
2019-11-15,353.3691
2019-11-14,350.9842
2019-11-13,348.7987
2019-11-12,348.0402
2019-11-11,347.4115
2019-11-08,345.4664
2019-11-07,345.2965
2019-11-06,344.6860
2019-11-05,344.3813
2019-11-04,343.2125
2019-11-01,342.7850
2019-10-31,342.7948
2019-10-30,343.4748
2019-10-29,343.6039
2019-10-28,343.5170
2019-10-25,344.5446
2019-10-24,346.0957
2019-10-23,346.6974
2019-10-22,348.4998
2019-10-21,351.9564
2019-10-18,361.9781
2019-10-17,368.5794
2019-10-16,368.6542
2019-10-15,368.6735
2019-10-14,368.7140
2019-10-11,368.7095
2019-10-10,368.6343
2019-10-09,368.8739
2019-10-08,368.7370
2019-10-07,368.6995
2019-10-04,368.6814
2019-10-03,368.6428
2019-10-02,368.7001
2019-10-01,369.5386
2019-09-30,369.4799
2019-09-27,369.4216
2019-09-26,369.2829
2019-09-25,368.1901
2019-09-24,368.0072
2019-09-23,367.5432
2019-09-20,367.1420
2019-09-19,366.6508
2019-09-18,364.9224
2019-09-17,361.8177
2019-09-16,358.5547
2019-09-13,357.7833
2019-09-12,356.7386
2019-09-11,355.9504
2019-09-10,352.4233
2019-09-09,351.8979
2019-09-06,351.8666
2019-09-05,351.5604
2019-09-04,351.0495
2019-09-03,350.8670
2019-08-30,350.9240
2019-08-29,347.9192
2019-08-28,344.2788
2019-08-27,340.0059
2019-08-26,339.0614
2019-08-23,336.8670
2019-08-22,335.7770
2019-08-21,334.7477
2019-08-20,334.6968
2019-08-19,334.7447
2019-08-16,334.8331
2019-08-15,335.0392
2019-08-14,335.1895
2019-08-13,336.9864
2019-08-12,337.4893
2019-08-09,337.6301
2019-08-08,337.6989
2019-08-07,337.8704
2019-08-06,339.9169
2019-08-05,342.8041
2019-08-02,347.0969
2019-08-01,350.1088
2019-07-31,352.0037
2019-07-30,353.5623
2019-07-29,354.0004
2019-07-26,355.3125
2019-07-25,356.3402
