Dates,MINUS_DM Values
2022-01-28,104.3035
2022-01-27,101.4627
2022-01-26,100.1865
2022-01-25,96.4861
2022-01-24,98.4552
2022-01-21,88.1584
2022-01-20,80.9269
2022-01-19,78.9866
2022-01-18,73.1292
2022-01-14,74.6217
2022-01-13,76.1445
2022-01-12,77.6985
2022-01-11,79.2842
2022-01-10,80.9022
2022-01-07,77.1936
2022-01-06,78.7690
2022-01-05,76.3459
2022-01-04,77.9040
2022-01-03,79.4939
2021-12-31,81.1162
2021-12-30,80.1492
2021-12-29,81.7849
2021-12-28,83.4540
2021-12-27,85.1571
2021-12-23,84.6297
2021-12-22,86.3568
2021-12-21,88.1192
2021-12-20,89.9176
2021-12-17,89.0792
2021-12-16,88.2848
2021-12-15,90.0866
2021-12-14,86.9659
2021-12-13,88.3632
2021-12-10,82.0747
2021-12-09,81.9945
2021-12-08,81.1067
2021-12-07,82.7619
2021-12-06,84.4509
2021-12-03,86.1744
2021-12-02,87.9331
2021-12-01,89.7276
2021-11-30,85.5894
2021-11-29,85.8259
2021-11-26,87.5775
2021-11-24,76.2321
2021-11-23,76.8695
2021-11-22,77.2342
2021-11-19,74.4431
2021-11-18,64.0021
2021-11-17,65.3083
2021-11-16,65.3044
2021-11-15,65.1983
2021-11-12,66.5289
2021-11-11,67.8866
2021-11-10,69.2721
2021-11-09,70.6858
2021-11-08,67.4651
2021-11-05,68.8419
2021-11-04,70.2469
2021-11-03,71.6805
2021-11-02,73.1434
2021-11-01,74.6361
2021-10-29,76.1593
2021-10-28,77.7135
2021-10-27,78.2383
2021-10-26,77.2432
2021-10-25,75.2277
2021-10-22,75.8701
2021-10-21,76.1583
2021-10-20,77.1615
2021-10-19,78.7362
2021-10-18,80.3431
2021-10-15,79.7073
2021-10-14,80.5573
2021-10-13,79.8351
2021-10-12,77.6277
2021-10-11,76.9670
2021-10-08,78.5378
2021-10-07,79.6304
2021-10-06,81.2555
2021-10-05,79.6281
2021-10-04,81.2532
2021-10-01,82.9114
2021-09-30,84.6035
2021-09-29,80.8199
2021-09-28,82.4693
2021-09-27,76.5427
2021-09-24,78.1048
2021-09-23,79.6988
2021-09-22,81.3253
2021-09-21,82.9850
2021-09-20,84.6786
2021-09-17,80.9169
2021-09-16,81.1397
2021-09-15,82.7956
2021-09-14,84.0864
2021-09-13,85.8024
2021-09-10,87.3086
2021-09-09,88.4781
2021-09-08,90.2838
2021-09-07,90.4325
2021-09-03,86.8801
2021-09-02,88.0205
2021-09-01,89.8168
2021-08-31,91.6498
2021-08-30,93.0665
2021-08-27,94.9659
2021-08-26,96.9039
2021-08-25,95.6265
2021-08-24,96.8637
2021-08-23,98.8405
2021-08-20,100.8577
2021-08-19,102.1099
2021-08-18,96.8775
2021-08-17,97.9362
2021-08-16,92.4451
2021-08-13,87.0411
2021-08-12,86.5468
2021-08-11,88.3131
2021-08-10,90.1154
2021-08-09,91.9545
2021-08-06,90.2291
2021-08-05,92.0705
2021-08-04,93.9495
2021-08-03,95.8668
2021-08-02,94.1804
2021-07-30,95.5617
2021-07-29,91.6752
2021-07-28,93.3317
2021-07-27,95.2364
2021-07-26,97.1800
2021-07-23,99.1633
2021-07-22,101.1870
2021-07-21,102.6500
2021-07-20,104.7449
2021-07-19,106.8826
2021-07-16,96.5804
2021-07-15,94.7084
2021-07-14,93.0697
2021-07-13,91.0304
2021-07-12,84.4161
2021-07-09,86.1389
2021-07-08,87.8968
2021-07-07,85.2415
2021-07-06,83.9710
2021-07-02,85.6847
2021-07-01,82.1885
2021-06-30,83.8658
2021-06-29,85.5774
2021-06-28,84.0381
2021-06-25,76.1920
2021-06-24,77.7469
2021-06-23,79.3336
2021-06-22,80.9526
2021-06-21,82.6047
2021-06-18,84.2905
2021-06-17,84.4495
2021-06-16,81.8669
2021-06-15,80.0784
2021-06-14,81.7127
2021-06-11,81.9721
2021-06-10,81.2777
2021-06-09,82.9364
2021-06-08,82.4963
2021-06-07,84.1799
2021-06-04,85.8979
2021-06-03,86.4264
2021-06-02,83.1596
2021-06-01,84.8567
2021-05-28,86.5885
2021-05-27,86.4985
2021-05-26,88.2638
2021-05-25,90.0651
2021-05-24,91.9031
2021-05-21,93.7787
2021-05-20,95.6926
2021-05-19,97.6455
2021-05-18,93.3627
2021-05-17,95.2681
2021-05-14,96.4266
2021-05-13,98.3945
2021-05-12,98.8107
2021-05-11,97.5415
2021-05-10,90.7057
2021-05-07,92.5568
2021-05-06,94.4457
2021-05-05,95.3375
2021-05-04,97.2831
2021-05-03,90.9420
2021-04-30,92.7979
2021-04-29,94.6918
2021-04-28,95.5528
2021-04-27,90.8090
2021-04-26,91.9582
2021-04-23,93.8348
2021-04-22,95.4743
2021-04-21,97.4228
2021-04-20,97.2477
2021-04-19,89.1508
2021-04-16,86.8771
2021-04-15,85.3860
2021-04-14,85.2408
2021-04-13,86.9804
2021-04-12,88.7556
2021-04-09,87.3547
2021-04-08,89.1374
2021-04-07,89.4055
2021-04-06,87.3176
2021-04-05,87.4815
2021-04-01,89.2668
2021-03-31,88.9968
2021-03-30,90.8130
2021-03-29,92.6664
2021-03-26,94.5575
2021-03-25,96.4872
2021-03-24,90.9462
2021-03-23,92.4247
2021-03-22,83.3619
2021-03-19,83.8897
2021-03-18,82.1119
2021-03-17,83.7877
2021-03-16,85.1507
2021-03-15,76.3681
2021-03-12,77.9266
2021-03-11,79.5169
2021-03-10,81.1397
2021-03-09,82.7956
2021-03-08,84.4853
2021-03-05,86.2095
2021-03-04,82.9689
2021-03-03,78.1928
2021-03-02,79.7885
2021-03-01,81.4169
2021-02-26,83.0785
2021-02-25,81.2841
2021-02-24,82.9430
2021-02-23,84.6357
2021-02-22,82.0773
2021-02-19,83.7523
2021-02-18,85.4615
2021-02-17,82.5118
2021-02-16,84.1957
2021-02-12,85.9140
2021-02-11,87.6673
2021-02-10,86.8553
2021-02-09,88.6279
2021-02-08,90.4366
2021-02-05,92.2822
2021-02-04,92.7778
2021-02-03,94.6712
2021-02-02,96.6033
2021-02-01,98.5748
2021-01-29,100.3211
2021-01-28,99.4298
2021-01-27,101.4590
2021-01-26,93.3871
2021-01-25,95.2930
2021-01-22,92.1663
2021-01-21,91.9350
2021-01-20,88.8419
2021-01-19,90.6550
2021-01-15,92.5051
2021-01-14,90.3011
2021-01-13,92.1440
2021-01-12,94.0244
2021-01-11,95.9433
2021-01-08,90.6105
2021-01-07,88.7607
2021-01-06,90.5722
2021-01-05,92.4206
2021-01-04,94.3067
2020-12-31,85.8141
2020-12-30,85.8664
2020-12-29,86.5627
2020-12-28,88.3293
2020-12-24,89.2265
2020-12-23,87.7107
2020-12-22,89.5007
2020-12-21,91.3273
2020-12-18,85.5278
2020-12-17,85.3141
2020-12-16,82.1921
2020-12-15,83.8694
2020-12-14,81.4892
2020-12-11,83.1523
2020-12-10,84.8493
2020-12-09,86.3156
2020-12-08,81.7710
2020-12-07,80.7357
2020-12-04,82.3834
2020-12-03,84.0647
2020-12-02,85.7803
2020-12-01,87.5309
2020-11-30,89.3172
2020-11-27,83.4653
2020-11-25,85.1687
2020-11-24,84.1824
2020-11-23,85.9004
2020-11-20,87.6534
2020-11-19,88.6967
2020-11-18,87.3443
2020-11-17,89.1268
2020-11-16,90.9457
2020-11-13,92.8017
2020-11-12,94.6957
2020-11-11,92.3833
2020-11-10,94.2687
2020-11-09,96.1925
2020-11-06,98.1557
2020-11-05,100.1588
2020-11-04,102.2029
2020-11-03,104.2887
2020-11-02,106.4170
2020-10-30,108.5888
2020-10-29,105.6824
2020-10-28,106.4106
2020-10-27,101.4394
2020-10-26,99.3770
2020-10-23,94.2622
2020-10-22,96.1859
2020-10-21,98.1489
2020-10-20,97.7438
2020-10-19,99.7386
2020-10-16,100.5904
2020-10-15,102.6432
2020-10-14,100.9013
2020-10-13,102.9605
2020-10-12,101.1229
2020-10-09,102.2989
2020-10-08,104.3866
2020-10-07,106.5170
2020-10-06,108.6908
2020-10-05,102.5620
2020-10-02,104.6551
2020-10-01,102.9440
2020-09-30,105.0449
2020-09-29,107.1887
2020-09-28,109.3762
2020-09-25,111.6084
2020-09-24,113.8861
2020-09-23,110.2205
2020-09-22,108.3271
2020-09-21,110.5378
2020-09-18,105.8345
2020-09-17,107.9944
2020-09-16,110.1984
2020-09-15,109.3657
2020-09-14,111.5976
2020-09-11,113.8751
2020-09-10,114.9236
2020-09-09,117.2690
2020-09-08,116.0908
2020-09-04,114.8886
2020-09-03,113.0291
2020-09-02,115.3359
2020-09-01,117.6897
2020-08-31,117.5915
2020-08-28,119.1036
2020-08-27,120.5239
2020-08-26,122.9836
2020-08-25,124.3812
2020-08-24,126.9196
2020-08-21,129.5098
2020-08-20,132.1529
2020-08-19,131.5540
2020-08-18,134.2387
2020-08-17,134.5308
2020-08-14,136.3157
2020-08-13,139.0159
2020-08-12,141.0775
2020-08-11,137.4873
2020-08-10,140.2931
2020-08-07,143.1563
2020-08-06,144.1390
2020-08-05,147.0807
2020-08-04,150.0823
2020-08-03,153.1452
2020-07-31,153.3625
2020-07-30,152.0229
2020-07-29,153.4826
2020-07-28,150.5128
2020-07-27,152.7988
2020-07-24,151.2233
2020-07-23,152.4523
2020-07-22,155.5636
2020-07-21,157.3506
2020-07-20,160.5618
2020-07-17,159.8284
2020-07-16,161.2637
2020-07-15,160.5650
2020-07-14,163.8418
2020-07-13,166.2161
2020-07-10,169.6083
2020-07-09,169.9472
2020-07-08,170.6604
2020-07-07,170.9392
2020-07-06,171.4176
2020-07-02,174.9159
2020-07-01,178.4856
2020-06-30,182.1282
2020-06-29,185.8451
2020-06-26,189.6378
2020-06-25,191.4774
2020-06-24,188.7728
2020-06-23,184.9927
2020-06-22,188.7681
2020-06-19,189.8950
2020-06-18,191.0877
2020-06-17,190.8548
2020-06-16,193.3723
2020-06-15,197.3186
2020-06-12,201.3455
2020-06-11,205.4546
2020-06-10,177.6170
2020-06-09,165.2418
2020-06-08,162.6447
2020-06-05,165.9640
2020-06-04,169.3510
2020-06-03,172.8071
2020-06-02,176.3338
2020-06-01,179.9325
2020-05-29,183.6046
2020-05-28,181.1169
2020-05-27,184.8132
2020-05-26,188.5849
2020-05-22,192.4335
2020-05-21,195.9789
2020-05-20,199.9785
2020-05-19,204.0597
2020-05-18,208.2241
2020-05-15,212.4736
2020-05-14,216.8098
2020-05-13,215.6835
2020-05-12,214.0965
2020-05-11,215.6586
2020-05-08,216.3761
2020-05-07,220.7920
2020-05-06,225.2979
2020-05-05,226.1917
2020-05-04,230.8079
2020-05-01,226.8550
2020-04-30,231.4847
2020-04-29,233.2089
2020-04-28,237.9682
2020-04-27,242.8247
2020-04-24,243.1885
2020-04-23,240.2740
2020-04-22,245.1775
2020-04-21,249.2324
2020-04-20,247.1249
2020-04-17,249.6172
2020-04-16,254.7115
2020-04-15,259.9096
2020-04-14,257.9690
2020-04-13,256.8459
2020-04-09,258.1795
2020-04-08,263.4485
2020-04-07,268.8250
2020-04-06,274.3112
2020-04-03,279.9094
2020-04-02,285.6219
2020-04-01,281.2676
2020-03-31,267.6200
2020-03-30,273.0816
2020-03-27,263.4914
2020-03-26,256.9913
2020-03-25,262.2360
2020-03-24,267.5878
2020-03-23,273.0487
2020-03-20,278.6212
2020-03-19,284.3073
2020-03-18,290.1095
2020-03-17,283.5301
2020-03-16,261.2450
2020-03-13,233.2954
2020-03-12,238.0565
2020-03-11,210.0710
2020-03-10,185.7867
2020-03-09,180.0170
2020-03-06,157.7419
2020-03-05,150.9101
2020-03-04,136.2756
2020-03-03,137.9649
2020-03-02,140.7805
2020-02-28,143.6536
2020-02-27,131.5955
2020-02-26,114.1076
2020-02-25,116.4364
2020-02-24,105.8534
2020-02-21,93.8300
2020-02-20,90.4796
