Dates,TRIMA Values
2021-03-22,185.0342
2021-03-19,184.6605
2021-03-18,184.2962
2021-03-17,183.9391
2021-03-16,183.5894
2021-03-15,183.2475
2021-03-12,182.9126
2021-03-11,182.5857
2021-03-10,182.2669
2021-03-09,181.9542
2021-03-08,181.6474
2021-03-05,181.3440
2021-03-04,181.0426
2021-03-03,180.7435
2021-03-02,180.4455
2021-03-01,180.1503
2021-02-26,179.8564
2021-02-25,179.5635
2021-02-24,179.2711
2021-02-23,178.9804
2021-02-22,178.6926
2021-02-19,178.4052
2021-02-18,178.1194
2021-02-17,177.8382
2021-02-16,177.5615
2021-02-12,177.2896
2021-02-11,177.0219
2021-02-10,176.7567
2021-02-09,176.4925
2021-02-08,176.2289
2021-02-05,175.9675
2021-02-04,175.7079
2021-02-03,175.4501
2021-02-02,175.1959
2021-02-01,174.9460
2021-01-29,174.6974
2021-01-28,174.4498
2021-01-27,174.2017
2021-01-26,173.9537
2021-01-25,173.7056
2021-01-22,173.4579
2021-01-21,173.2101
2021-01-20,172.9627
2021-01-19,172.7138
2021-01-15,172.4638
2021-01-14,172.2127
2021-01-13,171.9623
2021-01-12,171.7144
2021-01-11,171.4695
2021-01-08,171.2295
2021-01-07,170.9918
2021-01-06,170.7529
2021-01-05,170.5106
2021-01-04,170.2638
2020-12-31,170.0126
2020-12-30,169.7558
2020-12-29,169.4980
2020-12-28,169.2405
2020-12-24,168.9871
2020-12-23,168.7367
2020-12-22,168.4942
2020-12-21,168.2645
2020-12-18,168.0474
2020-12-17,167.8454
2020-12-16,167.6577
2020-12-15,167.4861
2020-12-14,167.3306
2020-12-11,167.1918
2020-12-10,167.0676
2020-12-09,166.9592
2020-12-08,166.8693
2020-12-07,166.7979
2020-12-04,166.7462
2020-12-03,166.7146
2020-12-02,166.7029
2020-12-01,166.7129
2020-11-30,166.7436
2020-11-27,166.7942
2020-11-25,166.8647
2020-11-24,166.9553
2020-11-23,167.0650
2020-11-20,167.1938
2020-11-19,167.3409
2020-11-18,167.5053
2020-11-17,167.6852
2020-11-16,167.8803
2020-11-13,168.0932
2020-11-12,168.3227
2020-11-11,168.5665
2020-11-10,168.8221
2020-11-09,169.0898
2020-11-06,169.3697
2020-11-05,169.6611
2020-11-04,169.9608
2020-11-03,170.2679
2020-11-02,170.5832
2020-10-30,170.9100
2020-10-29,171.2473
2020-10-28,171.5897
2020-10-27,171.9352
